Bokmål Norwegian	Eastphalian	probability
b	b	0.986
b	-	0.035
d	d	0.715
d	t	0.236
d	p	0.049
e	ˈuː	0.245
f	f	0.945
f	ʃ	0.057
h	h	0.95
h	k	0.054
i	ɪ	1.0
j	ˈeː	0.288
j	-	0.193
j	ɣ	0.164
j	ˈɛː	0.108
j	x	0.079
k	k	0.898
k	ʃ	0.082
kʰ	k	0.768
kʰ	f	0.131
kː	ŋ_k	0.667
kː	k	0.333
l	l	1.0
lː	l	0.622
lː	l_d	0.274
lː	k	0.079
m	m	0.938
m	f	0.063
mː	m	1.0
n	n	0.796
n	m	0.077
n	-	0.07
n	t	0.051
nː	n	0.498
nː	n_d	0.345
nː	t	0.058
nː	l	0.057
nː	-	0.047
p	p	0.889
p	b	0.087
s	s	0.59
s	z	0.342
s	ç	0.041
s	t	0.037
s_k	ʃ	1.0
sː	ʃ	0.66
sː	s	0.162
t	t	0.959
t	-	0.048
tʰ	d	0.572
tʰ	t	0.425
tː	x	0.407
tː	ç_t	0.326
tː	t	0.247
ç	k	0.594
ç	d	0.392
ŋ	n	0.186
ŋ	ç	0.186
ŋː	ŋ	1.0
ə	-	0.414
ə	ə	0.338
ə	n	0.212
ɡ	ɣ	0.431
ɡ	j	0.128
ɡ	-	0.116
ɡ	x	0.114
ɡ	ɡ	0.084
ɡː	k	0.361
ɡː	ɣ	0.361
ɡː	-	0.206
ɪ	-	0.186
ɪ	ɪ	0.186
ɳ	n	0.683
ɳ	-	0.223
ɾ	ɐ	0.496
ɾ	r	0.388
ɾ	-	0.043
ɾ	d_ɐ	0.036
ʂ	z	1.0
ʃ	ʃ	1.0
ʈ	t	0.245
ʈː	t	0.245
ʋ	v	0.545
ʋ	f	0.144
ʋ	w	0.144
ʋ	-	0.116
ʋ	m	0.042
ˈeː	ˈɛɪ̯	0.486
ˈeː	ˈɛː	0.198
ˈeː	ˈeː	0.095
ˈeː	ˈɪ	0.095
ˈeː	ˈa	0.092
ˈiː	ˈiː	0.563
ˈiː	ˈɪ	0.206
ˈiː	ˈɛɪ̯	0.113
ˈiː	ˈɛ	0.073
ˈiː	ˈeː	0.039
ˈoː	ˈɒː	0.469
ˈoː	ˈaʊ̯	0.136
ˈoː	ˈeo̯	0.136
ˈoː	ˈoː	0.136
ˈoː	ˈaː	0.1
ˈuː	ˈaʊ̯	0.517
ˈuː	ˈoː	0.131
ˈuː	ˈɛɪ̯	0.087
ˈuː	ˈʊ	0.08
ˈuː	-	0.069
ˈyː	ˈɛɪ̯	0.509
ˈyː	ˈyː	0.215
ˈyː	ˈiː	0.123
ˈyː	ˈɪ	0.123
ˈæ	ˈa	0.186
ˈæ	ˈɛ	0.186
ˈæɪ̯	ˈɛɪ̯	0.343
ˈæɪ̯	ˈiː	0.209
ˈæɪ̯	ˈɛː	0.207
ˈæɪ̯	ˈɛ	0.119
ˈæː	ˈiː	0.315
ˈæː	ˈɛː	0.315
ˈæː	-	0.12
ˈæː	ɐ	0.12
ˈøː	ˈeo̯	0.331
ˈøː	ˈɔʏ̯	0.185
ˈøː	ˈeo̯_t	0.161
ˈøː	ɐ	0.082
ˈøː	ˈɛ	0.082
ˈœ	ˈɔʏ̯	0.18
ˈœ	w	0.136
ˈœ	ˈøː	0.136
ˈœ	ˈɪ	0.136
ˈœ	ˈeo̯	0.102
ˈœʏ̯	ˈeo̯	0.495
ˈɑ	ˈa	0.698
ˈɑ	ˈɔ	0.102
ˈɑ	ˈɒː	0.084
ˈɑ	ˈaː	0.054
ˈɑ	ˈɛː	0.054
ˈɑː	ˈɒː	0.54
ˈɑː	ˈɛ	0.123
ˈɑː	ˈɛə̯	0.123
ˈɑː	ˈa	0.081
ˈɑː	ˈaː	0.059
ˈɔ	ˈa	0.229
ˈɔ	ˈʏ	0.229
ˈɔ	ˈoː	0.149
ˈɔ	ˈœ	0.149
ˈɔ	ˈɔ	0.149
ˈɛ	ˈɪ	0.264
ˈɛ	ˈɛ	0.207
ˈɛ	ˈa	0.191
ˈɛ	ˈʏ	0.088
ˈɛ	ˈiː	0.07
ˈɪ	ˈɪ	0.833
ˈɪ	ˈɛː	0.107
ˈɪ	r	0.06
ˈʉ	ˈʊ	0.417
ˈʉ	v_ˈʊ	0.182
ˈʉ	ˈœ	0.104
ˈʉ	ˈɔ	0.104
ˈʉ	ˈɪ	0.104
ˈʉː	ˈuː	0.601
ˈʉː	ˈeː	0.109
ˈʉː	ˈɛ	0.087
ˈʉː	ˈɔ	0.084
ˈʉː	ˈaʊ̯	0.063
ˈʊ	ˈʊ	0.441
ˈʊ	ˈuː	0.334
ˈʊ	ˈɔ	0.108
ˈʊ	ˈoː	0.044
ˈʏ	ˈʏ	0.457
ˈʏ	ˈɔ	0.211
ˈʏ	ˈɪ	0.211
ˈʏ	ˈyː	0.09
