Eastphalian	Bavarian	probability
b	b̥	0.902
b	f	0.056
d	d̥	0.925
d	t	0.056
f	f	0.877
f	-	0.075
h	h	1.0
j	ɡ̊	0.638
j	j	0.288
j	ŋ	0.074
k	kʰ	0.427
k	x	0.213
k	k	0.139
k	-	0.124
k	ç	0.085
l	l	0.492
l	j	0.488
m	m	0.863
m	a	0.088
n	n	0.736
n	-	0.242
p	f	0.609
p	p	0.256
p	p͡f	0.135
r	r	0.99
s	ʃ	0.561
s	s	0.439
t	s	0.367
t	ʦ	0.293
t	t	0.224
t	d̥	0.115
v	ʋ	0.775
v	b̥	0.105
v	m	0.101
w	ʋ	1.0
x	x	0.839
x	ɡ̊	0.161
z	s	0.779
z	r	0.221
ç	ɡ̊	0.431
ç	-	0.284
ç	x	0.284
ŋ	ŋ	1.0
ɐ	ɐ	0.438
ɐ	a	0.314
ɐ	d̥_a	0.072
ɐ	r	0.068
ɐ	ˈoɐ̯	0.058
ɒː	eɐ̯	1.0
ə	-	0.622
ə	ə	0.216
ə	a	0.119
ɡ	ɡ̊	1.0
ɣ	ɡ̊	0.613
ɣ	-	0.325
ɣ	k	0.062
ɪ	-	0.432
ɪ	ŋ	0.432
ɪ	i	0.136
ʃ	ʃ	0.966
ˈa	ˈa	0.318
ˈa	ˈo	0.227
ˈa	ˈɔ	0.116
ˈa	ˈɒː	0.091
ˈa	ˈɒ	0.07
ˈa	-	0.062
ˈaʊ̯	ˈuɐ̯	0.643
ˈaʊ̯	ˈeɐ̯	0.357
ˈaː	ˈoː	0.418
ˈaː	ˈɒ	0.37
ˈaː	ˈɒː	0.212
ˈeo̯	ˈaː	0.425
ˈeo̯	ˈou̯	0.401
ˈeo̯	ˈoɐ̯	0.127
ˈeː	ˈeː	0.217
ˈeː	ˈai̯	0.189
ˈeː	ˈɛ	0.189
ˈeː	ˈe	0.164
ˈeː	ˈiː	0.122
ˈeː	ˈo	0.117
ˈiː	ˈai̯	0.696
ˈiː	ˈi	0.28
ˈoː	ˈo	0.307
ˈoː	ˈi	0.202
ˈoː	ˈu	0.196
ˈoː	ˈoː	0.114
ˈoː	ˈeː	0.112
ˈuː	ˈau̯	0.805
ˈuː	ˈoː	0.108
ˈuː	ˈu	0.087
ˈyː	ˈai̯	1.0
ˈøː	ˈeː	1.0
ˈœ	ˈɛ	0.66
ˈœ	ˈe	0.34
ˈɒː	ˈoː	0.29
ˈɒː	ˈe	0.148
ˈɒː	ˈɒː	0.118
ˈɒː	ˈɒ	0.112
ˈɒː	ˈɔ	0.112
ˈɒː	ˈaː	0.098
ˈɒː	ˈɛː	0.068
ˈɔ	ˈo	0.385
ˈɔ	ˈu	0.248
ˈɔ	ˈɛ	0.184
ˈɔ	ˈɔ	0.112
ˈɔ	ˈaː	0.071
ˈɔʏ̯	ˈuɐ̯	0.351
ˈɔʏ̯	ˈeɐ̯	0.259
ˈɔʏ̯	ˈiɐ̯	0.178
ˈɔʏ̯	ˈe	0.135
ˈɔʏ̯	ˈu	0.077
ˈɛ	ˈe	0.336
ˈɛ	ˈi	0.225
ˈɛ	ˈɛ	0.168
ˈɛ	ˈo	0.142
ˈɛ	ˈoː	0.074
ˈɛ	ˈu	0.055
ˈɛə̯	ˈa	1.0
ˈɛɪ̯	ˈiɐ̯	0.274
ˈɛɪ̯	ˈiː	0.195
ˈɛɪ̯	ˈoɐ̯	0.121
ˈɛɪ̯	ˈeɐ̯	0.095
ˈɛɪ̯	ˈu	0.092
ˈɛɪ̯	ˈai̯	0.09
ˈɛɪ̯	ˈɛː	0.055
ˈɛː	ˈɛ	0.298
ˈɛː	ˈa	0.285
ˈɛː	ˈi	0.209
ˈɛː	ˈeː	0.141
ˈɛː	ˈe	0.067
ˈɪ	ˈi	0.717
ˈɪ	ˈa	0.083
ˈɪ	ˈɛ	0.065
ˈʊ	ˈu	0.465
ˈʊ	ˈo	0.274
ˈʊ	ˈau̯	0.139
ˈʊ	ˈuɐ̯	0.1
ˈʏ	ˈai̯	0.382
ˈʏ	ˈʏ	0.304
ˈʏ	ˈu	0.235
ˈʏ	ˈe	0.08
