American English	Bokmål Norwegian	probability
b	b	1.0
d	d	0.607
d	-	0.36
f	f	0.714
f	ʋ	0.173
f	-	0.078
h	h	0.943
h	-	0.058
i	i	0.461
i	ə	0.265
i	ɪ	0.265
j	-	0.488
j	ˈoː	0.205
j	ɡ	0.113
k	k	0.718
k	lː	0.125
k	kː	0.086
kʰ	kʰ	1.0
l	l	0.887
l	-	0.056
l	lː	0.056
m	m	0.773
m	mː_ə	0.094
m	mː	0.054
m	n	0.054
n	n	0.649
n	-	0.178
n	nː	0.145
n_d	nː	1.0
oʊ̯	-	0.53
oʊ̯	ə	0.461
p	p	0.743
p	-	0.145
p	ɾ	0.097
pʰ	pʰ	1.0
s	s	0.896
s	ʂ	0.052
t	t	0.506
t	tː	0.153
t	-	0.079
t	tː_ə	0.079
t	t_ə	0.078
tʰ	tʰ	0.863
tʰ	ç	0.136
v	ʋ	0.506
v	-	0.275
v	ʋ_ə	0.134
v	m	0.065
w	ʋ	0.623
w	-	0.344
w_ˈʊ	ˈʉ	1.0
z	s_ə	1.0
ð	d	0.66
ð	nː	0.153
ð_ɚ	ɾ	1.0
ŋ	ŋː	0.883
ŋ	ŋ	0.102
ŋ_k	kː	1.0
ə	ə	0.579
ə	-	0.209
ə	ˈɛ	0.209
ɚ	ə_ɾ	0.323
ɚ	ɾ	0.261
ɚ	ɾ_ə	0.239
ɚ	-	0.054
ɡ	ɡ	0.588
ɡ	-	0.216
ɡ	ɡː	0.124
ɡ	j	0.061
ɪ	ɪ	0.365
ɪ	ə	0.176
ɫ	l	0.777
ɫ	lː	0.221
ɫ_d	lː	0.482
ɹ	ɾ	0.932
ɹ_n	ɳ	1.0
ɾ	d	0.318
ɾ	nː	0.153
ʃ	s_k	0.693
ʃ	f	0.129
ʃ	ʃ	0.124
ʤ	ɡː	1.0
ʧ	ç	0.517
ʧ	k	0.45
ˈaɪ̯	ˈiː	0.311
ˈaɪ̯	ˈɪ	0.154
ˈaɪ̯	ˈʉː	0.154
ˈaɪ̯	ˈɛ	0.117
ˈaɪ̯	ˈyː	0.108
ˈaɪ̯	j	0.061
ˈaɪ̯	ˈɑ	0.051
ˈaɪ̯_d	ˈiː	0.482
ˈaʊ̯	ˈʉː	0.766
ˈaʊ̯	ˈʉ	0.126
ˈaʊ̯	ˈʊ	0.062
ˈeɪ̯	ˈɑː	0.372
ˈeɪ̯	ˈæɪ̯	0.249
ˈeɪ̯	ˈɑ	0.17
ˈeɪ̯	ˈiː	0.076
ˈeɪ̯	ˈɔ	0.055
ˈeɪ̯	ˈoː	0.054
ˈi	ˈoː	0.174
ˈi	ˈøː	0.171
ˈi	ˈeː	0.147
ˈi	ˈyː	0.141
ˈi	ˈœ	0.12
ˈi	ˈiː	0.059
ˈi	-	0.053
ˈoʊ̯	ˈæɪ̯	0.285
ˈoʊ̯	ˈɛ	0.211
ˈoʊ̯	ˈoː	0.139
ˈoʊ̯	ˈøː	0.121
ˈoʊ̯	ˈɑ	0.084
ˈoʊ̯	ˈeː	0.066
ˈoʊ̯	ˈʉ	0.061
ˈu	ˈoː	0.351
ˈu	ˈuː	0.343
ˈu	ˈyː	0.149
ˈu	ˈɑ	0.099
ˈæ	ˈɑ	0.573
ˈæ	ˈɛ	0.156
ˈæ	ˈeː	0.103
ˈæ	ˈɑː	0.103
ˈæ	ˈæ	0.057
ˈɑ	ˈɑ	0.565
ˈɑ	ˈœ	0.105
ˈɑ	ˈɑː	0.105
ˈɑ	ˈæː	0.077
ˈɑ	ˈʉː	0.077
ˈɑ	ˈeː	0.059
ˈɔ	ˈuː	0.372
ˈɔ	ˈɑ	0.209
ˈɔ	ˈiː	0.12
ˈɔ	ˈɛː	0.12
ˈɔ	ˈɔ	0.088
ˈɔ	ˈɛ	0.062
ˈɛ	ˈøː	0.223
ˈɛ	ˈɛ	0.142
ˈɛ	ˈʉː	0.127
ˈɛ	ˈoː	0.099
ˈɛ	ˈæː	0.067
ˈɝ	ˈuː	0.5
ˈɝ	ˈɪ	0.25
ˈɝ	ˈʊ	0.25
ˈɪ	ˈɪ	0.236
ˈɪ	ˈʏ	0.201
ˈɪ	ˈœ	0.143
ˈɪ	ˈiː	0.132
ˈɪ	ˈɛ	0.078
ˈɪ	ˈeː	0.068
ˈʊ	ˈuː	0.758
ˈʊ	ˈʉ	0.178
ˈʌ	ˈuː	0.226
ˈʌ	ˈʊ	0.226
ˈʌ	ˈɔ	0.135
ˈʌ	ˈʉ	0.116
ˈʌ	ˈɑ	0.103
ˈʌ	ˈeː	0.089
ˈʌ	ˈœ	0.053
θ	tʰ	0.485
θ	-	0.158
θ	nː	0.137
θ	ɾ	0.091
θ	ç	0.058
θ	d	0.054
