American English	Bokmål Norwegian	probability
b	b	1.0
d	d	0.647
d	-	0.319
d	n	0.034
d	tʰ	0.029
f	f	0.713
f	ʋ	0.167
f	-	0.087
f	ɡ	0.038
h	h	0.943
h	-	0.058
i	i	0.461
i	ɪ	0.265
i	ə	0.265
j	-	0.488
j	ˈoː	0.205
j	ɡ	0.113
k	k	0.718
k	lː	0.125
k	kː	0.086
kʰ	kʰ	1.0
l	l	0.894
l	lː	0.053
l	-	0.053
m	m	0.769
m	mː	0.138
m	n	0.05
m	ʂ	0.044
n	n	0.615
n	-	0.205
n	nː	0.154
n	ŋ	0.03
n_d	nː	1.0
oʊ̯	-	0.53
oʊ̯	ə	0.461
p	p	0.743
p	-	0.145
p	ɾ	0.097
pʰ	pʰ	1.0
s	s	0.888
s	ʂ	0.06
s	sː	0.05
t	t	0.61
t	tː	0.205
t	-	0.08
t	ʈ	0.046
t	s	0.046
tʰ	tʰ	0.863
tʰ	ç	0.136
v	ʋ	0.506
v	-	0.275
v	ʋ_ə	0.134
v	m	0.065
w	ʋ	0.618
w	-	0.329
w	ˈuː	0.052
w_ˈʊ	ˈʉ	1.0
z	s_ə	1.0
ð	d	0.66
ð	nː	0.153
ð_ɚ	ɾ	1.0
ŋ	ŋː	0.883
ŋ	ŋ	0.102
ŋ_k	kː	1.0
ə	ə	0.579
ə	-	0.209
ə	ˈɛ	0.209
ɚ	ə_ɾ	0.305
ɚ	ɾ	0.271
ɚ	ɾ_ə	0.225
ɚ	-	0.112
ɚ	lː	0.046
ɡ	ɡ	0.588
ɡ	-	0.216
ɡ	ɡː	0.124
ɡ	j	0.061
ɪ	ɪ	0.365
ɪ	ə	0.176
ɫ	l	0.777
ɫ	lː	0.221
ɫ_d	lː	0.482
ɹ	ɾ	0.932
ɹ	-	0.038
ɹ	ɳ	0.034
ɹ_n	ɳ	1.0
ɾ	d	0.318
ɾ	nː	0.153
ʃ	s_k	0.693
ʃ	f	0.129
ʃ	ʃ	0.124
ʤ	ɡː	1.0
ʧ	ç	0.517
ʧ	k	0.45
ˈaɪ̯	ˈiː	0.3
ˈaɪ̯	ˈʉː	0.161
ˈaɪ̯	ˈɪ	0.161
ˈaɪ̯	ˈyː	0.137
ˈaɪ̯	ˈɛ	0.104
ˈaɪ̯_d	ˈiː	0.482
ˈaʊ̯	ˈʉː	0.766
ˈaʊ̯	ˈʉ	0.126
ˈaʊ̯	ˈʊ	0.062
ˈeɪ̯	ˈɑː	0.387
ˈeɪ̯	ˈæɪ̯	0.259
ˈeɪ̯	ˈɑ	0.177
ˈeɪ̯	ˈiː	0.078
ˈeɪ̯	ˈoː	0.055
ˈi	ˈøː	0.187
ˈi	ˈoː	0.165
ˈi	ˈeː	0.145
ˈi	ˈyː	0.133
ˈi	ˈœ	0.114
ˈoʊ̯	ˈæɪ̯	0.285
ˈoʊ̯	ˈoː	0.139
ˈoʊ̯	ˈøː	0.121
ˈoʊ̯	ˈɛ	0.121
ˈoʊ̯	j	0.084
ˈu	ˈuː	0.44
ˈu	ˈoː	0.305
ˈu	ˈyː	0.13
ˈu	ˈɑ	0.089
ˈæ	ˈɑ	0.573
ˈæ	ˈɛ	0.156
ˈæ	ˈɑː	0.103
ˈæ	ˈeː	0.103
ˈæ	ˈæ	0.057
ˈɑ	ˈɑ	0.565
ˈɑ	ˈɑː	0.105
ˈɑ	ˈœ	0.105
ˈɑ	ˈæː	0.077
ˈɑ	ˈʉː	0.077
ˈɔ	ˈuː	0.372
ˈɔ	ˈɑ	0.209
ˈɔ	ˈiː	0.12
ˈɔ	ˈɛː	0.12
ˈɔ	ˈɔ	0.088
ˈɛ	ˈøː	0.154
ˈɛ	ˈɛ	0.154
ˈɛ	ˈʉː	0.138
ˈɛ	ˈoː	0.108
ˈɛ	ˈæː	0.071
ˈɛ_d	ˈøː	1.0
ˈɝ	ˈuː	0.5
ˈɝ	ˈʊ	0.25
ˈɝ	ˈɪ	0.25
ˈɪ	ˈɪ	0.236
ˈɪ	ˈʏ	0.201
ˈɪ	ˈœ	0.143
ˈɪ	ˈiː	0.132
ˈɪ	ˈeː	0.078
ˈʊ	ˈuː	0.758
ˈʊ	ˈʉ	0.178
ˈʌ	ˈʊ	0.226
ˈʌ	ˈuː	0.226
ˈʌ	ˈɔ	0.135
ˈʌ	ˈʉ	0.116
ˈʌ	ˈɑ	0.103
θ	tʰ	0.485
θ	-	0.158
θ	nː	0.137
θ	ɾ	0.091
θ	ç	0.058
