American English	English	probability
b	b	0.956
d	d	1.0
f	f	1.0
h	h	1.0
i	ɪ	0.917
i	ˈiː	0.083
j	j	1.0
k	k	1.0
kʰ	kʰ	1.0
l	l	1.0
m	m	0.924
m	-	0.076
n	n	1.0
oʊ̯	əʊ̯	1.0
p	p	1.0
pʰ	pʰ	1.0
s	s	1.0
t	t	1.0
tʰ	tʰ	0.951
tː	t	1.0
v	v	1.0
w	w	1.0
z	z	1.0
ð	ð	1.0
ŋ	ŋ	1.0
ə	ə	0.894
ə	ɪ	0.106
ɚ	ə	0.96
ɡ	ɡ	1.0
ɪ	ɪ	1.0
ɫ	ɫ	0.947
ɫ	l	0.053
ɹ	ɹ	0.666
ɹ	-	0.334
ɾ	t	1.0
ʃ	ʃ	1.0
ʔ	t	1.0
ʤ	ʤ	1.0
ʧ	ʧ	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈeɪ̯	ˈeɪ̯	0.897
ˈeɪ̯	ˈæ	0.103
ˈi	ˈiː	0.847
ˈi	ˈɪ	0.153
ˈoʊ̯	ˈəʊ̯	1.0
ˈu	ˈuː	1.0
ˈæ	ˈæ	0.736
ˈæ	ˈɑː	0.264
ˈɑ	ˈɑː	0.538
ˈɑ	ˈɒ	0.27
ˈɑ	ˈɔː	0.192
ˈɔ	ˈɔː	1.0
ˈɛ	ˈe	0.855
ˈɛ	ˈɛ	0.145
ˈɝ	ˈɜː	0.878
ˈɝ	ɜː	0.122
ˈɪ	ˈɪ	1.0
ˈʊ	ˈʊ	1.0
ˈʌ	ˈɐ	0.987
ˈʌɪ̯	ˈaɪ̯	1.0
θ	θ	1.0
