Alsatian	Westphalian	probability
#>	#>	0.822
#>	ə_#>	0.078
<#	<#	1.0
b̥	b	0.88
b̥	f	0.067
b̥	v	0.056
d̥	d	0.966
d̥_ə	ɐ	1.0
e	-	1.0
f	f	0.782
f	p	0.099
h	h	1.0
i	ɪ	0.596
i	-	0.178
i	ɐ	0.106
i_ʃ	k	1.0
j	ŋ	0.431
j	j	0.229
j	ç	0.174
k	k	0.372
k	-	0.282
k	ɣ	0.214
k	ç	0.088
kʰ	k	1.0
l	l	0.985
m	m	0.964
n	n	0.969
n_s	s	1.0
p	p	0.491
p͡f	p	1.0
s	s	0.55
s	t	0.397
s	z	0.052
t	t	0.512
t	d	0.457
t_#>	#>	1.0
v	ɡ	0.683
v	v	0.221
w	w	0.644
w	ˈʏ	0.24
x	x	0.837
x	k	0.135
ŋ	ŋ	1.0
ə	n	0.473
ə	ɐ	0.415
ə	-	0.075
ə_#>	#>	1.0
ɡ̊	x	0.785
ɡ̊	k	0.131
ɡ̊	ɡ	0.07
ʁ	r	0.66
ʁ	-	0.338
ʁ_#>	#>	1.0
ʁ_m	m	1.0
ʃ	ʃ	0.644
ʃ	s	0.111
ʃ	k	0.094
ʃ	ç	0.094
ʋ	w	0.937
ʋ	ə	0.062
ʦ	t	1.0
ˈai̯	ˈaɪ̯	0.491
ˈaː	ˈaː	0.574
ˈaː	ˈɛ	0.282
ˈe	ˈɛ	0.27
ˈe	ˈɪɛ̯	0.23
ˈe	ˈɛː	0.132
ˈe	ˈɪ	0.132
ˈe	-	0.098
ˈe	ˈyə̯	0.096
ˈei̯	ˈaɪ̯	0.477
ˈei̯	ˈiː	0.477
ˈeː	ˈøː	0.202
ˈeː	ˈɪɛ̯	0.202
ˈeː	ˈaɪ̯	0.18
ˈeː	ˈœː	0.142
ˈeː	ˈɛ	0.088
ˈeː	ˈiː	0.06
ˈi	ˈɪ	0.615
ˈi	ˈiː	0.055
ˈi	ˈyː	0.055
ˈiː	ˈiː	0.298
ˈiː	ˈaɪ̯	0.171
ˈiː	ˈøː	0.136
ˈiː	ˈeː	0.084
ˈiː	ˈɪ	0.084
ˈiː	ˈɪɛ̯	0.084
ˈiː	ˈɛ	0.054
ˈiː	ˈɪə̯	0.053
ˈiː_ʁ	ˈyː	1.0
ˈo	ˈʊ	0.498
ˈo	ˈuːə̯	0.23
ˈo	ˈɔ	0.132
ˈo	ˈɔː	0.132
ˈoː	ˈaʊ̯	0.424
ˈoː	ˈɔː	0.366
ˈoː	ˈuːə̯	0.103
ˈoː	ˈɔ	0.103
ˈoː_ʁ	ˈɔː	0.491
ˈu	ˈuːə̯	0.274
ˈu	ˈʊ	0.208
ˈu	ˈuː	0.137
ˈu	ˈʏ	0.137
ˈu	ˈyː	0.072
ˈu	ˈa	0.068
ˈu	ˈɔ	0.068
ˈyː	ˈʊ	0.488
ˈyː	ˈuː	0.45
ˈæ	ˈɪɛ̯	0.517
ˈæ	ˈɛ	0.192
ˈæ	ˈɪə̯	0.128
ˈæː	ˈaɪ̯	0.37
ˈæː	ˈɛː	0.158
ˈæː	ˈɪɛ̯	0.128
ˈæː	ˈœː	0.118
ˈø	ˈuə̯	0.241
ˈøi̯	ˈuː	0.491
ˈøː	ˈoː	1.0
ˈœ	ˈaʊ̯	0.491
ˈɒ	ˈa	0.556
ˈɒ	ˈɔ	0.122
ˈɒ	ˈaː	0.106
ˈɒ	ˈɛ	0.096
ˈɒː	ˈa	0.423
ˈɒː	ˈaː	0.15
ˈɒː	ˈɔː	0.136
ˈɒː	ˈɛː	0.136
ˈɒː	ˈɪə̯	0.096
ˈɔi̯	ˈaʊ̯	0.241
ˈəi̯	ˈeː	0.723
ˈəi̯	ˈaɪ̯	0.121
ˈəi̯	ˈɪ	0.117
ˈɛ	ˈɪɛ̯	0.491
ˈʊː	ˈoː	0.515
ˈʊː	ˈaʊ̯	0.357
ˈʊː	ˈuə̯	0.113
