West Frisian	English	probability
b	b	0.917
b	tʰ	0.062
d	d	0.778
d	θ	0.137
d	ð	0.085
f	f	0.927
f	-	0.053
h	h	1.0
j	-	0.716
j	j	0.14
j	ˈɜː	0.067
k	k	0.53
k	ʧ	0.224
k	kʰ	0.214
l	l	0.589
l	ɫ	0.314
l	-	0.098
m	m	0.892
m	-	0.108
n	n	0.852
n	-	0.089
p	p	0.894
p	pʰ	0.106
r	ɹ	0.426
r	ə	0.346
r	ð	0.141
r	-	0.074
s	s	0.843
s	ʃ	0.118
t	t	0.511
t	d	0.192
t	θ	0.177
t	tʰ	0.088
v	w	0.666
v	v	0.278
v	-	0.056
z	-	0.506
z	z	0.494
ŋ	ŋ	0.709
ŋ	ŋ_ɡ	0.185
ŋ	n	0.072
ɕ	s	1.0
ə	ə	0.49
ə	-	0.481
ɡ	ɡ	0.889
ɡ	j	0.111
ɣ	ʤ	0.557
ɣ	-	0.263
ɣ	k	0.18
ɪ	-	0.473
ɪ	ˈiː	0.398
ɪ	ɪ	0.129
ʋ	w	1.0
ʦ	ʧ	0.602
ʦ	tʰ	0.398
ˈa	ˈæ	0.3
ˈa	ˈɒ	0.146
ˈa	ˈeɪ̯	0.138
ˈa	ˈɪ	0.073
ˈa	ˈɔː	0.072
ˈa	ˈaɪ̯	0.063
ˈa	ˈe	0.056
ˈa	ˈɑː	0.056
ˈaː	ˈe	0.386
ˈaː	ˈeɪ̯	0.241
ˈaː	ˈæ	0.143
ˈaː	ˈɑː	0.091
ˈaː	ˈɔː	0.082
ˈeː	ˈɪ	0.752
ˈeː	ˈiː	0.145
ˈeː	ˈaɪ̯	0.103
ˈi	ˈɪ	0.512
ˈi	ˈiː	0.293
ˈi	ˈaɪ̯	0.132
ˈi	ˈɒ	0.063
ˈiə̯	ˈəʊ̯	0.321
ˈiə̯	ˈiː	0.286
ˈiə̯	ˈɪ	0.152
ˈiə̯	ˈe	0.123
ˈiə̯	ˈɛ	0.051
ˈiː	ˈaɪ̯	0.658
ˈiː	ˈiː	0.119
ˈiː	ˈuː	0.098
ˈiː	ˈəʊ̯	0.084
ˈoə̯	ˈɔː	0.504
ˈoə̯	ˈɐ	0.305
ˈoə̯	ˈuː	0.102
ˈoə̯	ˈəʊ̯	0.067
ˈoː	ˈaʊ̯	0.464
ˈoː	ˈuː	0.27
ˈoː	ˈɐ	0.266
ˈu	ˈɐ	0.925
ˈu	ˈaʊ̯	0.075
ˈuə̯	ˈɐ	0.286
ˈuə̯	ˈɪ	0.194
ˈuə̯	ˈəʊ̯	0.154
ˈuə̯	ˈʊ	0.154
ˈuə̯	ˈuː	0.105
ˈuə̯	ˈaʊ̯	0.098
ˈuː	ˈaʊ̯	0.489
ˈuː	ˈaɪ̯	0.274
ˈuː	ˈɐ	0.165
ˈuː	ˈeɪ̯	0.072
ˈy	ˈɐ	1.0
ˈyː	ˈaʊ̯	0.5
ˈyː	ˈɐ	0.5
ˈø	ˈɪ	0.545
ˈø	ˈiː	0.306
ˈø	ˈɔː	0.149
ˈøə̯	ˈe	1.0
ˈɔ	ˈɐ	0.433
ˈɔ	ˈɪ	0.244
ˈɔ	ˈʊ	0.12
ˈɔ	ˈɒ	0.089
ˈɔu̯	ˈɔː	0.747
ˈɔu̯	ˈəʊ̯	0.253
ˈɔː	ˈæ	0.592
ˈɔː	ˈe	0.211
ˈɔː	ˈəʊ̯	0.16
ˈɛ	ˈɜː	0.267
ˈɛ	ˈæ	0.234
ˈɛ	j	0.234
ˈɛ	ˈɔː	0.074
ˈɛ	ˈɛ	0.074
ˈɛ	ˈe	0.066
ˈɛ	ɜː	0.052
ˈɛi̯	ˈeɪ̯	0.683
ˈɛi̯	ˈɪ	0.16
ˈɛi̯	ˈəʊ̯	0.085
ˈɛi̯	ˈe	0.073
ˈɛː	ˈɑː	0.559
ˈɛː	ˈɪ	0.223
ˈɛː	ˈeɪ̯	0.147
ˈɛː	ˈe	0.072
ˈɪ	ˈɪ	0.504
ˈɪ	ˈiː	0.136
ˈɪ	ˈuː	0.12
ˈɪ	ˈe	0.077
ˈɪ	-	0.052
ˈɪə̯	ˈiː	0.232
ˈɪə̯	ˈe	0.176
ˈɪə̯	ˈɪ	0.173
ˈɪə̯	ˈəʊ̯	0.158
ˈɪə̯	ˈɑː	0.095
ˈɪə̯	ˈaɪ̯	0.076
ˈɪə̯	ˈɛ	0.058
ˈɵ	ˈiː	1.0
χ	ʤ	0.746
χ	-	0.228
