Saterland Frisian	Swabian	probability
ˈɔːɪ̯	-	1.0
ˈœː	ˈeː	1.0
ˈøː	ˈao̯	1.0
ˈyː	ˈae̯	1.0
ˈoː_l	ˈa_l	1.0
ˈiːu̯	ˈɛː	1.0
ˈeːu̯	ˈɛː	1.0
ˈeː_n	ˈɔe̯	1.0
ˈaːu̯	-	1.0
ˈaːi̯	ɡ	1.0
ɣ	ɡ	1.0
ə_n	a	1.0
ŋ	ŋ	1.0
z	s	1.0
x_t	ç_d	1.0
x	x	1.0
s_t	ʃ_d	1.0
s_k	ʃ	1.0
p_ə	f_a	1.0
p	b̥͡f	1.0
n_ə	n	1.0
m	m	1.0
l_d	l_d	1.0
l	l	1.0
k_ə	ç	1.0
k_s	ɡ_s	1.0
j_ˈuː	ˈəi̯	1.0
j_ˈoː	ˈiə̯	1.0
j_ə	a	1.0
i	eə̯	1.0
h	h	1.0
f	f	1.0
d_ˈɔ	d_ˈo	1.0
b	b	1.0
d	d	0.923
v	ʋ	0.864
ə_r	ʌ	0.846
ɪ	-	0.8
ˈi	ˈəi̯	0.718
s	s	0.707
t_ə	s_a	0.694
ˈa	ˈɛ	0.692
n	n	0.646
ˈɔ	ˈa	0.603
ˈɔː	ˈa	0.598
ˈʊ	ˈo	0.57
d_ə	d	0.555
ə	-	0.516
k	ç	0.516
ˈɛ	-	0.5
k	ɡ	0.484
ˈɪ	ˈe	0.483
ˈɛɪ̯	-	0.472
d_ə	d_a	0.445
r	ʁ	0.433
j	-	0.431
ˈʊ	-	0.43
ˈeː	ˈɔe̯	0.417
ˈɛː	-	0.413
ˈaː	-	0.408
r	ʕ	0.4
ˈɔ	ˈo	0.397
t	ʦ	0.361
n	-	0.354
ə	a	0.347
ˈoː	ˈoː	0.336
ˈɛː	ˈa	0.333
j	ɡ	0.312
ˈa	ˈa	0.308
t_ə	s	0.306
ˈaː	ˈa	0.303
t	d	0.301
ˈoː	-	0.3
ˈiː	ˈɛ	0.296
ˈuː	ˈao̯	0.293
s	ʃ	0.293
t	s	0.292
ˈaː	ˈɛ	0.289
ˈi	ˈi	0.282
ˈeː	ˈeː	0.279
ˈoːu̯	ˈo	0.267
j	j	0.257
ˈɛː	ˈu	0.253
ˈɛ	ˈɛ	0.25
ˈɛ	ˈae̯	0.25
ˈiː	ˈɔː	0.226
ˈoːu̯	ˈuə̯	0.225
ˈiː	ˈi	0.22
ˈɪ	ˈi	0.214
ˈuː	ˈo	0.211
ɪ	i	0.2
ˈoː	ˈao̯	0.189
ˈeː	ˈae̯	0.186
ˈoːu̯	ˈa	0.168
ə_r	d_ʌ	0.154
ˈɪ	ˈɪ	0.151
ˈɪ	-	0.151
ˈɔː	ˈu	0.151
ˈɔː	ˈi	0.151
ˈuː	ˈae̯	0.15
ˈɛɪ̯	ˈɛ_ʕ	0.139
v	b	0.136
r	ʌ	0.134
ˈiː	ˈəi̯	0.132
ˈɛɪ̯	ˈɔː	0.13
ˈɛɪ̯	ˈuə̯	0.13
ˈuː	d	0.13
ˈoːu̯	ˈaː	0.13
ˈɛɪ̯	ˈae̯	0.129
ˈuː	ˈoː	0.128
ˈiː	-	0.126
ˈeː	ˈɛ	0.118
ˈoː	ˈɔː	0.104
ə	ʌ	0.101
ˈɔː	ˈaː	0.1
ˈuː	ˈu	0.087
ˈoːu̯	ˈuː	0.085
ˈoːu̯	ˈɔə̯	0.084
ˈoː	ˈɔe̯	0.07
