Nynorsk Norwegian	Insular North Frisian	probability
ˈœʏ̯	-	1.0
ˈœ	-	1.0
ˈæː	-	1.0
ˈæ	ˈaː	1.0
ʰpː	p	1.0
ʰkː	ŋ_k	1.0
ʉ	ɾ	1.0
ɾ_n	ɐ_n	1.0
ɲ	ŋ	1.0
ɡː	ç	1.0
ɑ	-	1.0
ŋː	ŋ	1.0
ŋ	ɪ_ŋ	1.0
çː	-	1.0
tː	d	1.0
sː	ˈyː_s	1.0
pʰ	pʰ	1.0
p	p	1.0
n_d	nʲ	1.0
mː	m	1.0
m	m	1.0
kʰ_ʋ	v	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
e_ɾ	ɐ	1.0
b	b	1.0
n	n	0.947
t	t	0.881
l	l	0.865
k	k	0.865
s	s	0.86
ˈɪ	ˈɪ	0.847
ˈɔ	-	0.846
ʰtː	t	0.841
ʋ	v	0.824
lː	l	0.732
d	d	0.714
e	-	0.713
tʰ	tʰ	0.709
ə	-	0.698
nː	n	0.683
j	-	0.639
ˈøː	ˈɛ	0.588
ˈɑː	ˈɔː	0.578
ˈæʉ̯	ˈoː	0.567
ˈiː	ˈɪ	0.555
ˈʊ	ˈuː	0.539
ˈæɪ̯	ˈiː	0.524
ˈʏ	ˈɛ	0.5
ɾ	r	0.492
ˈʉː	ˈʏ	0.486
ˈʊ	-	0.461
ç	-	0.456
ˈæʉ̯	ˈɔa̯_ɾ	0.433
ʂ	s_k	0.427
ˈʉ	ˈʊ	0.409
ˈyː	ˈyː	0.409
ç	k	0.406
ˈeː	ˈɪ	0.402
ˈʉ	ˈʏ	0.385
ɡ	ç	0.362
ʂ	s	0.355
ˈɑ	ˈa	0.344
ˈyː	-	0.343
ˈɛ	-	0.341
ˈuː	-	0.322
ˈæɪ̯	-	0.303
ə	ə	0.302
ˈɑ	-	0.299
ˈɛ	ˈɛ	0.295
ˈoː	ˈɔː	0.291
tʰ	d	0.291
d	-	0.286
ɾ	ɐ	0.282
ˈɑː	-	0.28
ˈiː	ˈiː	0.273
ˈøː	ˈeː	0.267
ˈeː	ˈeː	0.267
ˈyː	ˈiː	0.248
ˈʏ	ˈʊ	0.237
ɡ	-	0.233
ʂ	ʃ	0.218
j	h	0.217
ˈoː	ˈuː	0.211
ˈʉː	ˈyː	0.21
ɡ	ˈaɪ̯	0.21
ˈʉ	-	0.206
ˈuː	ˈoː	0.195
ɡ	k	0.195
nː	nʲ	0.186
ˈoː	-	0.185
lː	lʲ	0.177
ˈoː	ˈiː	0.176
ʋ	-	0.176
ˈæɪ̯	ˈeː	0.172
ˈiː	-	0.172
ˈeː	ˈiː	0.169
ˈuː	ˈuː	0.168
ˈɛ	ˈɔː	0.164
ˈeː	-	0.162
e	ə	0.162
ʰtː	x_t	0.159
ˈɔ	ˈɔː_x	0.154
ˈɪ	-	0.153
ˈʉː	ˈɛ	0.152
ˈʉː	ˈiː	0.152
ˈøː	-	0.145
j	ˈøː	0.144
ˈɑː	ˈa	0.143
ˈɑ	ˈʊ	0.138
ˈuː	ˈɔ	0.137
ˈoː	ˈɔa̯	0.137
ç	tʲ	0.137
k	-	0.135
ˈʏ	ˈʏ	0.131
ˈʏ	ˈœ	0.131
nː	ɾ	0.131
t	d	0.119
ˈɛ	ˈœ	0.102
ˈɛ	ˈɔ	0.098
ɾ	ɐ_x	0.096
ˈuː	ˈœ	0.092
lː	e	0.091
ˈɑ	ˈʏ	0.089
ˈɑ	ˈœ	0.088
ˈuː	ˈaʊ̯	0.086
l	ˈɛ_l	0.082
e	ɾ	0.08
ɾ	ɾ_ɐ	0.061
s	ʃ	0.057
s	s_v	0.057
n	ɐ	0.053
l	ə_l	0.053
