Hessian	Hessian	probability
ˈɛ̃ː	ˈɔˀ	1.0
ˈɛː	-	1.0
ˈɑ̃i̯	ˈiˀ_n	1.0
ˈɑː_ɣ̊	ˈæˀ	1.0
ˈæː	-	1.0
ˈõː	ˈœ_n	1.0
ˈoĩ̯	ˈiˀ	1.0
ˈĩː	ˈœˀ_n	1.0
ˈẽː	-	1.0
ˈeː	-	1.0
ˈe	-	1.0
ˈãː	ˈeˀ_n	1.0
ʦ_v	ʦʰ	1.0
ʃ_t	d̥	1.0
ʃ_d̥	s_d̥	1.0
ʃ_#>	#>	1.0
ɣ̊	-	1.0
ɡ̊	ɡ̊	1.0
ɛː	n	1.0
ə_#>	#>	1.0
ɑ	-	1.0
ɐ_#>	#>	1.0
z̥	ð̞ˠ	1.0
v̥	b̥	1.0
p	b̥	1.0
oː	ˈœˀ	1.0
kʰ_ˈe	kʰ	1.0
kʰ	kʰ	1.0
j	-	1.0
i	-	1.0
d̥_æ̆	ɐ	1.0
d̥_#>	#>	1.0
<#_ˈu	<#_ˈʌ	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
ʀ	ʁ	0.917
m	m	0.913
ə	ə	0.906
h	h	0.824
b̥	b̥	0.818
s	s	0.8
f	f	0.8
k	ɡ̊	0.778
ˈo	ˈu	0.714
l	l	0.707
ˈɔ	ˈo	0.667
ˈuː	ˈoˀ	0.667
ˈai̯	-	0.667
v	ʋ	0.667
n_d̥	nˀ	0.667
ˈoi̯	-	0.625
ɐ	ɐ	0.611
ʒ̊	-	0.6
b̥_#>	#>	0.6
f_#>	b̥_#>	0.571
t	d̥	0.562
ˈoː	-	0.556
ŋ	ŋˀ	0.556
ˈɛ	ˈɛ	0.545
ˈaː	-	0.5
ˈau̯	ˈuˀ	0.5
ˈau̯	-	0.5
ʦ	ʦʰ	0.5
ʦ	d̥	0.5
æ̆	ɐ	0.5
n	n	0.5
ʃ	s_ɡ̊	0.474
ˈɛ	-	0.455
ˈu	-	0.455
ˈɑ	ˈa	0.429
f_#>	#>	0.429
ˈi	ˈe	0.419
ˈiː	-	0.417
ˈæ	ˈɛ	0.4
ˈæ	ˈæ	0.4
ʒ̊	w	0.4
b̥_#>	w_#>	0.4
ɐ	ɐˀ	0.389
ˈoi̯	ˈyˀ	0.375
x	w	0.375
x	-	0.375
ˈu	ˈɔ	0.364
ˈɑ	-	0.357
ˈɔ	ˈɶ	0.333
ˈuː	-	0.333
ˈiː	ˈyː	0.333
ˈai̯	ˈiˀ	0.333
ˈa	ˈa	0.333
ˈa	-	0.333
v	w	0.333
n_d̥	n_ə	0.333
d̥	ð̞ˠ	0.323
d̥	d̥	0.323
æ̆	ʌ	0.312
l	lˀ	0.293
ˈo	ˈʌ	0.286
ˈɑː	ˈɔˀ	0.267
ˈɑː	-	0.267
ʃ	s	0.263
d̥	ʦʰ	0.258
ˈiː	ˈyˀ	0.25
ˈa	ˈɛ	0.25
x	ˈʌˀ_j	0.25
t	ʦʰ	0.25
ˈi	-	0.226
ˈoː	ˈɔː	0.222
ˈoː	ˈœˀ	0.222
ŋ	ŋ	0.222
ŋ	-	0.222
k	kʰ	0.222
ˈɑ	ˈɑ	0.214
ˈɑː	ˈɑˀ	0.2
ˈæ	ˈɶˀ	0.2
æ̆	-	0.188
t	ð̞ˠ	0.188
ˈu	ˈu	0.182
b̥	b̥_j	0.182
n	nˀ	0.179
h	j	0.176
ˈaː	ˈʌ	0.167
ˈaː	ˈœˀ	0.167
ˈaː	ˈeˀ	0.167
ʃ	j	0.158
s	ð̞ˠ	0.143
ˈɑː	ˈɒˀ	0.133
ˈɑː	ˈa	0.133
ˈi	ˈœ	0.129
n	n_ə	0.107
ʃ	ɡ̊	0.105
f	ʋ	0.1
f	pʰ	0.1
ˈi	ˈø	0.097
ə	ɡ̊_ə	0.094
m	-	0.087
ˈa	ˈaː	0.083
ʀ	ʁ_ˈɑ	0.083
n	ˈʌ	0.071
n	ə	0.071
n	-	0.071
ˈi	ˈy	0.065
ˈi	j	0.065
d̥	-	0.065
s	ˈœˀ_ð̞ˠ	0.057
