Limburgish	Limburgish	probability
ˈʏː	-	1.0
ˈʏ	-	1.0
ˈʊː_n_#>	ˈɒː_#>	1.0
ˈʊ	-	1.0
ˈɑː	ˈɒ	1.0
ˈœː	ˈu	1.0
ˈøː_ʀ	r	1.0
ˈæ	-	1.0
ˈu	ˈoː	1.0
ˈeː_t	sː	1.0
ʃ	ʒ̊	1.0
ɪ	i	1.0
ɦ	h	1.0
ɣ	ɡ̊	1.0
ɡ	-	1.0
ə_x	ɡ̊	1.0
ə_v̥	fː	1.0
ŋ_k	ŋ	1.0
z̥	z̥	1.0
w	l	1.0
v̥_#>	b̥_#>	1.0
v_ə	b̥_ə	1.0
v	v̥	1.0
t_ə	tː_ə	1.0
s_t	ʒ̊_tː	1.0
n_d̥_#>	#>	1.0
n_d̥	ŋ	1.0
n_#>	#>	1.0
l	l	1.0
j_ə	tː_ə	1.0
i_n	æ	1.0
d	d̥	1.0
b	b̥	1.0
<#_ʀ	<#_r	1.0
<#_d	<#_tː	1.0
ʀ	r	0.967
n	n	0.947
m	m	0.88
ə	ə	0.857
z	z̥	0.826
ˈɪː	ˈi	0.818
ˈuː	ˈuː	0.818
β	ʋ	0.815
l_ə	l	0.8
ŋ	ŋ	0.778
ˈɛː	ˈæi̯	0.75
ˈiː	ˈiː	0.727
ˈɛːi̯	-	0.667
ˈɑ	ˈɒ	0.667
ˈoː	ˈuə̯	0.667
ʀ_ə	r	0.667
ˈɔ	ˈo	0.625
ˈæː	ˈæ	0.6
ˈyː	-	0.6
p	fː	0.6
<#	<#_ɡ̊	0.6
ˈɒː	ˈɒː	0.583
ˈɔː	ˈau̯	0.571
d̥	tː	0.565
ˈaː	ˈɒ	0.556
ˈɔu̯	ˈuː	0.5
ˈɔu̯	-	0.5
ˈœi̯	ˈøi̯	0.5
ˈœi̯	-	0.5
ˈøː	ˈyə̯	0.5
ˈøː	-	0.5
t	ʦ	0.5
t	sː	0.5
#>	r_#>	0.5
#>	d̥_#>	0.5
ˈi	-	0.455
x	ɡ̊	0.45
j	-	0.444
d̥	d̥	0.435
ˈɛ	ˈi	0.429
ˈɔː	ˈo	0.429
ˈʊː	ˈu	0.409
ˈæː	-	0.4
ˈyː	ˈøː	0.4
p	p͡f	0.4
<#	<#_ˈɒː	0.4
s	ʃː	0.389
ˈɪ	ˈæ	0.375
ˈɪ	ˈi	0.375
ˈɔ	ˈu	0.375
ˈi	ˈeː	0.364
k	ɣ̊	0.361
x	χː_tː	0.35
ˈɛːi̯	ˈei̯	0.333
ˈɑ	-	0.333
ˈœ	ˈy	0.333
ˈœ	ˈu	0.333
ˈœ	-	0.333
ˈoː	ˈo	0.333
ˈeː	ˈæ	0.333
ʀ_ə	r_n	0.333
j	l	0.333
k	χː	0.306
ˈɛ	ˈæ	0.286
ˈɛ	-	0.286
k	kː	0.278
ˈiː	-	0.273
ˈeː	ˈyː	0.259
ˈɪ	-	0.25
ˈɒː	ˈoː	0.25
ˈʊː	ˈuə̯	0.227
ˈaː	ˈɒː	0.222
ŋ	ɡ̊	0.222
s	ʒ̊	0.222
s	ʃː_tː	0.222
j	j	0.222
x	χː	0.2
l_ə	w	0.2
ˈʊː	ˈo	0.182
ˈʊː	-	0.182
ˈɪː	-	0.182
ˈuː	-	0.182
ˈi	ˈi	0.182
z	ʒ̊	0.174
ˈɒː	-	0.167
s	-	0.167
ˈeː	ˈiə̯	0.148
ˈeː	ˈi	0.148
ˈɛː	ˈi	0.125
ˈɛː	-	0.125
m	m_ə	0.12
β	ʋ_ˈy	0.111
ˈeː	-	0.111
ˈaː	ˈɒ_l	0.111
ˈaː	ˈæ	0.111
ə	-	0.089
β	ʋ_ˈe	0.074
k	ɡ̊	0.056
ə	i	0.054
n	n_ə	0.053
