Aragonese	Portuguese	probability
θ_#>	ʃ_#>	1.0
ˈu_n	ˈũ	1.0
ˈo_n	ˈõ	1.0
ˈa_ɲ	ˈɐ_ɲ	1.0
ˈa_t	ʃ	1.0
ˈa_n	ˈɐ̃	1.0
ʧ	ʒ	1.0
ʃ_ˈe	s_ˈe	1.0
ɾ_ˈe	ɾ_ˈɐ	1.0
ɾ_t	ɾ_t	1.0
ɾ_o	ɾ_u	1.0
ɾ_n	ɾ_n	1.0
ɾ_m	ɾ_m	1.0
ɾ_e	ɨ	1.0
ɾ_a	ɾ_ɐ	1.0
ɾ_#>	ɾ_#>	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ŋ_ɡ	ɲ	1.0
ŋ	-	1.0
w_#>	u_#>	1.0
u_s	ˈɔ	1.0
u	u	1.0
t_a	t_ɐ	1.0
s_k	ʃ_k	1.0
s_e	s_ɨ	1.0
s_a	z_ɐ	1.0
r	ʁ	1.0
p_l	ʃ	1.0
o_#>	#>	1.0
n_o	w̃	1.0
l_#>	ɫ_#>	1.0
k_l	ʃ	1.0
k	k	1.0
j_#>	j_#>	1.0
f_l	ʃ	1.0
f	f	1.0
e_ʝ	ˈe	1.0
e_#>	ɨ_#>	1.0
d	d	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
#>	ɨ_#>	1.0
a	ɐ	0.96
m	m	0.943
ɾ	ɾ	0.939
p	p	0.892
o	u	0.889
j_ˈe	ˈɛ	0.889
ð	ð	0.875
s_#>	ʃ_#>	0.8
ˈi	ˈi	0.794
ˈu	ˈu	0.792
t	t	0.788
θ	s	0.778
n_#>	w̃_#>	0.778
<#_a	<#_ɐ	0.727
ˈa	ˈa	0.71
s	s	0.688
ɲ	ɲ	0.667
β	v	0.6
ˈe_n	t_ɨ	0.6
n_a	ɐ	0.6
ʎ	ʎ	0.583
w_ˈe	ˈo	0.571
i	ɨ	0.571
n	n	0.533
b	v	0.529
ʝ	ð	0.5
ʝ	j_v	0.5
ʃ	ʃ	0.5
ʃ	j_ʃ	0.5
e	ɨ	0.435
e	i	0.435
w_ˈe	ˈɔ	0.429
i	i	0.429
ʎ	l	0.417
j	j	0.409
β	β	0.4
ˈe_n	ˈõ	0.4
n_a	j_ɐ	0.4
b	b	0.382
ˈo	ˈo	0.375
ˈe	ˈe	0.345
ɲ	n	0.333
l	l	0.333
j	-	0.318
ˈo	ˈɔ	0.312
s	ʃ	0.312
l	-	0.292
<#_a	<#	0.273
w	v_ɨ	0.267
n	ɲ	0.233
θ	z	0.222
n_#>	#>	0.222
ˈu	ˈo	0.208
l	ɫ	0.208
ˈe	ˈɐ	0.2
ˈe	-	0.2
w	ˈõ	0.2
w	w	0.2
w	-	0.2
s_#>	#>	0.2
ˈa	ˈɐ̃	0.194
n	-	0.167
w	ˈo	0.133
e	-	0.13
ð	ʒ	0.125
ˈi	ˈe	0.118
j_ˈe	ˈẽ	0.111
p	β	0.108
ˈo	ˈɐ̃	0.094
ˈo	ˈo_w	0.094
ˈe	j	0.091
t	ð_ɨ	0.091
j	ˈɐ	0.091
j	ˈẽ	0.091
j	j̃	0.091
ˈi	ˈĩ	0.088
b	-	0.088
l	ɾ	0.083
l	w	0.083
o	-	0.078
ˈe	ˈɛ	0.073
n	j̃	0.067
ˈa	ˈɐ	0.065
ˈo	ˈu	0.062
ˈo	ˈo_j	0.062
ɾ	-	0.061
t	ð	0.061
t	-	0.061
m	-	0.057
ˈe	ˈɐ_j	0.055
