Dutch	Zeelandic	probability
χ	x	1.0
ˈɛ	ˈæ	1.0
ˈɑu̯	ˈɑu̯	1.0
ˈœy̯	ˈyː	1.0
ˈyː	ˈiː	1.0
ˈi	ˈiː	1.0
ʋ	ʋ	1.0
ə_ɫ	ə_ɫ	1.0
ə_v̥	v̥	1.0
ə_n	ə	1.0
ə	ə	1.0
z	z	1.0
w	w	1.0
v	v	1.0
t	t	1.0
s	s	1.0
p	p	1.0
n	n	1.0
m	m	1.0
k	k	1.0
j	j	1.0
d̥	d̥	1.0
b	b	1.0
<#_ɾ	<#_ɾ	1.0
<#_ɦ	<#	1.0
ɾ	ɾ	0.97
ɫ	ɫ	0.953
d	d	0.944
ˈɑ	ˈɑ	0.92
ˈaː	ˈɛː	0.92
v̥	v̥	0.8
z̥	z̥	0.778
ˈɪ	ˈɪ	0.75
ˈɔ	ˈɔ	0.708
ˈoː	ˈʊə̯	0.69
ˈɛi̯	ˈi	0.688
ˈʏ	ˈʏ	0.6
ˈu	ˈuː	0.583
ŋ	ŋ_k	0.545
ˈeː	ˈɪə̯	0.5
ŋ	ŋ	0.455
ˈeː	ˈeː	0.417
ˈʏ	ˈɪ	0.4
ˈɪ	ˈi	0.25
ˈu	ˈu	0.25
z̥	z_ə	0.222
ˈoː	ˈøː	0.207
v̥	v_ə	0.2
ˈɛi̯	ˈæi̯	0.188
ˈɔ	ˈʏ	0.167
ˈu	ˈuːə̯	0.167
ˈɛi̯	ˈyː	0.125
ˈɔ	ˈu	0.125
ˈoː	ˈoː	0.103
ˈeː	ˈæi̯	0.083
ˈɑ	ˈɒː	0.08
ˈaː	ˈɒː	0.08
d	-	0.056
