Afrikaans	Afrikaans	probability
ˈɪø̯	-	1.0
ˈɛː	ɡ_a	1.0
ˈɑː_r	ˈɛ_ʕ	1.0
ˈœu̯	ˈa_l	1.0
ˈœ	ˈu	1.0
ˈæ_r	ˈʌ	1.0
ˈyː	ˈəi̯	1.0
ˈu_j	ˈuə̯	1.0
ˈoː	ˈoː	1.0
ˈa_n	ˈaː	1.0
ɦ	h	1.0
ə_r	ʌ	1.0
ə_n	a	1.0
ŋ_#>	n_#>	1.0
w	-	1.0
v̥_#>	b_#>	1.0
v_ˈə	ʋ	1.0
v	ʋ	1.0
s_t	ʃ_d	1.0
s_k	ʃ	1.0
r_ə	ʕ	1.0
p_#>	f_#>	1.0
n_#>	#>	1.0
m	m	1.0
j	j	1.0
i	eə̯	1.0
d	d	1.0
b	b	1.0
<#_r	<#_ʁ	1.0
#>	n_#>	1.0
ɫ	l	0.953
v̥	f	0.926
n	n	0.892
ŋ	ŋ	0.833
χ	ɡ	0.829
ˈœɪ̯	ˈao̯	0.8
d̥	d	0.759
ˈa	ˈa	0.72
ə	-	0.625
ˈɔ	ˈo	0.619
ˈæ	ˈɛ	0.6
s	s	0.577
ˈu	ˈuə̯	0.538
ˈæː	ˈɛ	0.5
ˈæː	-	0.5
p	f_a	0.5
ˈəɪ̯	ˈəi̯	0.467
ˈə	ˈi	0.444
r	ʁ	0.429
t	ʦ	0.417
ˈæ	ˈi	0.4
k	kʰ	0.385
ˈɪə̯	ˈɔe̯	0.368
ˈi	ˈiə̯	0.357
r	ʕ	0.357
ˈʊə̯	ˈoː	0.348
ˈɛ	ˈɛ	0.333
ˈɛ	ˈe	0.333
ˈɛ	-	0.333
p	b̥͡f	0.333
ˈu	-	0.308
s	ʃ	0.308
t	s	0.306
ˈɑː	ˈɔː	0.3
ˈɑː	ˈa	0.3
ˈəɪ̯	ˈɔe̯	0.267
ə	ɪ	0.25
ˈə	ˈɪ	0.222
ˈə	ˈe	0.222
ˈʊə̯	ˈao̯	0.217
ˈi	ˈae̯	0.214
ˈɪə̯	ˈɛː	0.211
ˈɑː	-	0.2
ˈœɪ̯	ˈae̯	0.2
k	ç	0.192
ˈɔ	ˈɔ	0.19
ŋ	ɡ	0.167
r	ʌ	0.167
p	p͡f	0.167
ˈa	ˈɛ	0.16
ˈɪə̯	ˈɛ	0.158
ˈɪə̯	-	0.158
ˈu	ˈuː	0.154
k	x	0.154
ˈɔ	ˈu	0.143
ˈi	ˈiː	0.143
ˈi	ˈeː	0.143
ˈi	-	0.143
t	d	0.139
ˈəɪ̯	ˈae̯	0.133
ˈəɪ̯	-	0.133
ˈʊə̯	ˈɔ	0.13
ˈʊə̯	ˈeː	0.13
ə	i	0.125
ˈa	ˈaː	0.12
k	ɡ_a	0.115
χ	x	0.114
ˈə	ˈəi̯	0.111
t	s_a	0.111
n	a	0.108
ˈɪə̯	ˈae̯	0.105
d̥	d_a	0.103
ˈɑː	ˈɛː	0.1
ˈɑː	ˈoː	0.1
ˈʊə̯	ˈo	0.087
ˈʊə̯	-	0.087
s	ʃ_d	0.077
k	ɡ	0.077
k	-	0.077
v̥	b	0.074
d̥	t	0.069
d̥	-	0.069
χ	ç_d	0.057
