Afrikaans	Swabian	probability
ˈɪø̯	-	1.0
ˈə_n	n	1.0
ˈɔː	-	1.0
ˈɑː_r	ˈɛ_ʕ	1.0
ˈœu̯	ˈa_l	1.0
ˈœ	ˈu	1.0
ˈyː	ˈəi̯	1.0
ˈu_j	ˈuə̯	1.0
ˈa_n	ˈaː	1.0
ɦ	h	1.0
ə_r	ʌ	1.0
ə_n	a	1.0
ŋ_#>	n_#>	1.0
v̥_#>	b_#>	1.0
v	ʋ	1.0
s_t	ʃ_d	1.0
s_k	ʃ	1.0
r_ə	ʕ	1.0
n_#>	#>	1.0
m	m	1.0
j	j	1.0
d	d	1.0
b	b	1.0
<#_ˈa	<#_ˈɛ	1.0
<#_r	<#_ʁ	1.0
#>	n_#>	1.0
ɫ	l	0.952
v̥	f	0.926
n	n	0.912
d̥	d	0.862
ŋ	ŋ	0.833
χ	ɡ	0.829
ə	-	0.75
ˈœɪ̯	ˈao̯	0.727
ˈa	ˈa	0.72
ˈɔ	ˈo	0.65
ˈɛ	-	0.6
s	s	0.56
ˈu	ˈuə̯	0.538
ˈæː	ˈɛ	0.5
ˈæː	-	0.5
ˈəɪ̯	ˈəi̯	0.467
ˈu	-	0.462
p	f	0.462
ˈə	ˈi	0.444
r	ʁ	0.432
ˈæ	ˈɛ	0.429
ˈi	ˈiə̯	0.417
ˈɛ	ˈɛ	0.4
t	ʦ	0.389
k	kʰ	0.385
ˈʊə̯	ˈoː	0.381
ˈɪə̯	ˈɔe̯	0.368
s	ʃ	0.32
r	ʕ	0.318
t	s	0.306
ˈɑː	ˈɔː	0.3
ˈɑː	ˈa	0.3
ˈæ	ˈi	0.286
ˈæ	-	0.286
ˈœɪ̯	-	0.273
ˈəɪ̯	ˈɔe̯	0.267
ˈi	ˈae̯	0.25
ə	ɪ	0.25
ˈʊə̯	ˈao̯	0.238
p	f_a	0.231
ˈə	ˈɪ	0.222
ˈə	ˈe	0.222
ˈɪə̯	ˈɛː	0.211
ˈɔ	ˈɔ	0.2
ˈɑː	-	0.2
k	ç	0.192
ˈi	ˈiː	0.167
ˈi	ˈeː	0.167
ŋ	ɡ	0.167
r	ʌ	0.159
ˈɪə̯	ˈɛ	0.158
ˈɪə̯	-	0.158
p	b̥͡f	0.154
p	-	0.154
k	x	0.154
ˈɔ	ˈu	0.15
ˈʊə̯	ˈɔ	0.143
ˈʊə̯	ˈeː	0.143
t	d	0.139
ˈəɪ̯	ˈae̯	0.133
ˈəɪ̯	-	0.133
ˈa	ˈaː	0.12
k	ɡ_a	0.115
χ	x	0.114
ˈə	ˈəi̯	0.111
t	s_a	0.111
ˈɪə̯	ˈae̯	0.105
ˈɑː	ˈɛː	0.1
ˈɑː	ˈoː	0.1
ˈʊə̯	ˈo	0.095
n	a	0.088
ˈa	ˈɛ	0.08
ˈa	-	0.08
s	ʃ_d	0.08
k	ɡ	0.077
k	-	0.077
v̥	b	0.074
d̥	t	0.069
d̥	-	0.069
χ	ç_d	0.057
t	-	0.056
