Lower Sorbian	Slovak	probability
ˈɨ	ˈi	1.0
ˈi	ˈi	1.0
ˈa_s	ˈɛ_s	1.0
ʨ	c	1.0
ʑ	ɟ	1.0
ʐ	ʒ	1.0
ɲ	ɲ	1.0
ɡ	ɦ	1.0
ɛ	ɛ	1.0
ɔ_#>	ɛ_#>	1.0
ɔ	ɔ	1.0
z	z	1.0
x	x	1.0
vʲ	ʋ	1.0
t	t	1.0
s	s	1.0
rʲ	r	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
l_#>	ʎ_#>	1.0
kʲ	k	1.0
j	j	1.0
e	ɛ	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
a	a	1.0
ɕ	c	0.889
ˈɛ	ˈɔ	0.833
r	r	0.824
ˈe	ˈɛ	0.778
k	k	0.769
ʦ	ʦ	0.667
ɨ	iː	0.632
w	ɫ	0.632
ˈu	ˈu	0.625
ʂ	ʃ	0.6
i	iː	0.6
v	ʋ	0.583
ˈa	ˈa	0.538
l	l	0.538
ˈɔ	ˈɔ	0.48
ʂ	r	0.4
i	i	0.4
ˈɪ	ˈɛ	0.389
ˈɪ	ɪ̯ˈɛ	0.389
ˈu	ˈuː	0.375
ˈɔ	ˈa	0.36
ʦ	ʧ	0.333
ɨ	i	0.263
v	v	0.25
l	ʎ	0.231
l	ɫ	0.231
k	x	0.231
ˈe	ˈr̩	0.222
w	ˈɫ̩	0.211
r	ˈr̩	0.176
ˈɛ	ˈɛ	0.167
v	-	0.167
ˈɔ	ˈɛ	0.16
w	l	0.158
ˈa	ˈɛ	0.154
ˈa	ɪ̯ˈɛ	0.154
ˈa	-	0.154
ˈɪ	ˈæ	0.111
ˈɪ	ˈa	0.111
ɕ	r	0.111
ɨ	ɛ	0.105
