Jin	Jin	probability
⁵⁴	⁴	1.0
⁴⁵_#>	#>	1.0
ʨʰ_j	ʨʰ	1.0
ʐ	ʣ	1.0
ɻ	i	1.0
ɥ_ə	o	1.0
ɥ_e	e_ŋ	1.0
ə̃_ŋ	ŋ	1.0
ə_ʔ	k̚	1.0
ə_w	a_w	1.0
³¹	⁵²	1.0
x	h	1.0
w_ə	e	1.0
w_ɒ̃	ŋ̍	1.0
w_a	o	1.0
ũ	a	1.0
tʰ͡x	tʰ	1.0
t	t	1.0
pʰ͡x	pʰ	1.0
p	p	1.0
o	a	1.0
m	b	1.0
kʰ͡x	kʰ	1.0
k	k	1.0
j_e	ĩ	1.0
h	h	1.0
e_j	w_e	1.0
e	-	1.0
a_w	o	1.0
a_j	a_j	1.0
<#_ɣ	<#	1.0
<#_x	<#	1.0
⁵³	⁵²	0.893
ŋ	ŋ	0.762
ʨ	k	0.75
ʦʰ	ʦʰ	0.727
z̩	i	0.714
f	p	0.714
ɤ	a	0.667
ə̃	u	0.667
ɕ	s	0.667
²	²	0.667
l	l	0.667
w	w	0.647
ʦ	ʦ	0.625
<#	<#_ɡ	0.571
ʔ	ʔ	0.5
ʔ	k̚	0.5
n	n	0.5
n	l	0.5
ĩ	i	0.5
ĩ	-	0.5
a	e	0.5
¹¹	³³	0.486
¹¹	⁵⁵	0.471
⁴⁵	²¹³	0.455
ə	e	0.438
j	j	0.438
ɒ̃	ɯ_ŋ	0.429
ɒ̃	a_ŋ	0.429
y	-	0.429
v	w	0.429
u	o_w	0.429
<#	<#_h	0.429
s	s	0.417
⁴⁵	¹¹	0.409
ʦ	t	0.375
ʨʰ	ʦʰ	0.333
ʨʰ	kʰ	0.333
ʨʰ	k	0.333
ɤ	-	0.333
ə̃	-	0.333
ɕ	-	0.333
æ̃	ŋ	0.333
²	⁴	0.333
l	n	0.333
i	o_j	0.333
i	i	0.333
i	-	0.333
j	-	0.312
z̩	a_j	0.286
y	o_w	0.286
y	h	0.286
v	m	0.286
v	b	0.286
u	o	0.286
u	-	0.286
f	h	0.286
ʦʰ	t	0.273
ʨ	-	0.25
ə	i	0.25
æ̃	ũ_ã	0.25
æ̃	a_m	0.25
s	ʦ	0.25
w	-	0.235
a	w_a	0.214
ə	u	0.188
æ̃	a	0.167
s	ʦ_j	0.167
s	-	0.167
ɒ̃	õ	0.143
ŋ	m	0.143
a	o	0.143
a	a	0.143
⁴⁵	³⁵	0.136
ə	ʣ	0.125
j	ĩ	0.125
j	a	0.125
w	ɯ	0.118
⁵³	³⁵	0.107
ŋ	ã	0.095
