Lithuanian	Lithuanian	probability
̂	-	1.0
ˈ_s	o	1.0
ˈ_#>	#>	1.0
ˈ	-	1.0
ʒ	z	1.0
ʑ	z	1.0
ʃ	s	1.0
ɫ	l	1.0
ɪ_ˈ	i	1.0
ɡʲ	ɡ	1.0
ɡ	ɡ	1.0
ɛʊ̯	u	1.0
ɕ_ɪ	s	1.0
ɕ	s	1.0
ɐɪ̯	aːi̯	1.0
ŋʲ	ŋ	1.0
ŋ	ŋ	1.0
z	-	1.0
vʲ_iə̯	ai̯	1.0
v	v	1.0
uː_̂	u	1.0
uː	uː	1.0
uə̯	-	1.0
tʲ_ɪ_#>	t_#>	1.0
tʲ	t	1.0
t	t	1.0
sʲ	s	1.0
s_#>	#>	1.0
rʲ	r	1.0
r	r	1.0
pʲ	p	1.0
p	-	1.0
oː	-	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
lʲ	l	1.0
kʲ	k	1.0
k	k	1.0
j	j	1.0
iː_̌	e	1.0
iə̯	-	1.0
dʲ	d	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
aː_̌	a	1.0
aʊ̯	au̯	1.0
aɪ̯	aːi̯	1.0
<#_ɐ	<#_a	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_v	1.0
#>	s_#>	1.0
s	s	0.833
̌	-	0.8
ɐ_ˈ	o	0.8
ɪ	i	0.75
ɐʊ̯	au̯	0.667
æː_̌	e	0.667
ʊ	u	0.6
vʲ	v	0.6
ɛ	-	0.571
eː	-	0.5
ɐ	a	0.433
ɛ	e	0.429
ʊ	-	0.4
vʲ	v_i	0.4
eː	e	0.4
ɐʊ̯	aːu̯	0.333
æː_̌	a	0.333
ɪ	-	0.25
̌	a_n	0.2
ɐ_ˈ	aː	0.2
ɐ	i	0.2
ɐ	o	0.167
s	n	0.167
ɐ	u	0.133
eː	eː	0.1
ɐ	-	0.067
