Occitan	Bellunese	probability
a	a	0.745
a	-	0.15
b	b	0.972
d	d	1.0
e	e	0.535
e	-	0.172
e	o	0.142
e	i	0.125
f	f	1.0
i	i	0.69
i	ˈi	0.158
i	j	0.152
j	-	0.659
j	d_e	0.151
j	ˈɛ	0.069
j	ˈi	0.058
k	k	0.874
k	ɡ	0.096
l	l	0.686
l	j	0.19
l	ʧ	0.059
m	m	0.798
m	ŋ	0.159
mː	m	1.0
n	n	0.648
n	ŋ	0.25
n	-	0.103
nː	m	1.0
p	p	0.951
r	r	0.977
s	s	0.675
s	θ	0.263
s	-	0.053
t	t	0.824
t	-	0.124
u	o	0.881
u	e	0.062
v	v	1.0
w	-	0.468
w	v	0.126
w	l	0.111
w	ˈa	0.103
w	o	0.064
y	u	1.0
z	z	0.654
z	d	0.202
z	-	0.144
ð	d	0.775
ð	t	0.225
ŋ	ŋ	1.0
ɔ	a	0.938
ɔ	-	0.062
ɡ	ɡ	0.788
ɡ	ʤ	0.101
ɡ	-	0.057
ɡ	j	0.054
ɣ	ɡ	0.919
ɣ	w	0.081
ɥ	ˈɔ	0.51
ɥ	ˈo	0.312
ɥ	-	0.177
ɲ	ɲ	0.829
ɲ	ð	0.089
ɲ	ŋ	0.083
ɾ	r	0.896
ɾ	-	0.099
ʎ	-	0.498
ʎ	j	0.369
ʎ	ˈɛ	0.133
ʒ	ð	0.6
ʒ	j	0.215
ʒ	-	0.061
ʤ	-	0.601
ʤ	d	0.239
ʤ	ð	0.101
ʤ	s	0.059
ʦ	z	0.505
ʦ	s	0.31
ʦ	θ	0.184
ʧ	t	0.789
ʧ	ð	0.15
ʧ	θ	0.061
ˈa	ˈa	0.9
ˈe	ˈe	0.841
ˈe	-	0.159
ˈi	ˈi	0.811
ˈi	-	0.083
ˈu	ˈo	0.713
ˈu	ˈu	0.141
ˈu	ˈɔ	0.062
ˈy	ˈu	0.503
ˈy	ˈe	0.288
ˈy	ˈo	0.08
ˈy	u	0.067
ˈy	ˈi	0.061
ˈɔ	ˈo	0.586
ˈɔ	ˈɔ	0.414
ˈɛ	ˈɛ	0.444
ˈɛ	ˈe	0.327
ˈɛ	-	0.23
β	v	0.781
β	-	0.133
β	p	0.06
