Bulgarian	Čakavian	probability
ˈɤ_ɫ	ûː	1.0
ˈɛ_#>	e_#>	1.0
ˈu	ûː	1.0
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɫ_#>	#>	1.0
ɡ	ɡ	1.0
ɛ_t	e_t	1.0
ɛ_m	a_n	1.0
z	z	1.0
x	x	1.0
vʲ_ˈa	ʋ_îː	1.0
v	ʋ	1.0
t	t	1.0
s	s	1.0
r_ˈɤ	r̩̂	1.0
mʲ	m	1.0
m	m	1.0
lʲ_ˈa	l_î	1.0
l_ɛ	ǔː	1.0
l	l	1.0
k	k	1.0
j	t	1.0
i	iː	1.0
f	ʋ	1.0
d	d	1.0
b	b	1.0
r	r	0.917
n	n	0.889
ɫ	l	0.882
p	p	0.857
ɛ	e	0.714
o	o	0.667
ˈɤ	-	0.625
ɐ	a	0.6
ˈi	î	0.5
ˈa	â	0.467
ˈɛ	ê	0.417
ˈɔ	ô	0.389
ˈɤ	ûː	0.375
ˈɛ	î	0.333
ˈɔ	ôː	0.333
o	ô	0.333
ˈi	îː	0.3
ˈɔ	o	0.278
ˈɛ	êː	0.25
ˈi	i	0.2
ɛ	ê	0.143
ɛ	a	0.143
p	-	0.143
ˈa	âː	0.133
ˈa	a	0.133
ɐ	i	0.12
ɐ	aː	0.12
ɫ	-	0.118
n	ɲ	0.111
ˈa	îː	0.1
ˈa	ǎː	0.1
r	r̩̂	0.083
ɐ	uː	0.08
ɐ	-	0.08
ˈa	î	0.067
