Min Bei	Min Bei	probability
⁵⁵	⁵⁵	1.0
⁵⁴	²⁴	1.0
ɥ	u	1.0
œ_ɥ	u	1.0
u_j	a	1.0
u	u	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
o	o	1.0
m	m	1.0
l	l	1.0
j_ŋ	n	1.0
j_u	u	1.0
e_j	i	1.0
a_ŋ	a_m	1.0
a_w	o	1.0
a_j	e	1.0
<#_ɔ	<#_h_o	1.0
<#_ŋ	<#_ŋ	1.0
<#	<#_f	1.0
#>	⁵_#>	1.0
ʦʰ	ʦʰ	0.778
n	ɲ	0.75
²⁴	²	0.733
a	a	0.706
³³	¹¹	0.7
s	s	0.692
k	k	0.667
i	i	0.667
x	f	0.636
j_a	e	0.6
ɔ	u	0.556
²¹	³¹	0.526
ŋ	ŋ	0.511
œ	j	0.5
œ	i	0.5
kʰ	kʰ	0.5
kʰ	h	0.5
e	i	0.5
e	e_w	0.5
p	p	0.455
ʦ	ʦ	0.444
ŋ	n	0.444
j	j	0.438
ɛ	e_t̚	0.4
j_a	a	0.4
x	h	0.364
t	t	0.364
w	v	0.357
²¹	¹¹	0.342
ɔ	o	0.333
y	j	0.333
k	kʰ	0.333
s	ɕ	0.308
⁴²	²	0.3
⁴²	k̚_⁵	0.3
w	w	0.286
t	tʰ	0.273
p	pʰ	0.273
p	f	0.273
ɛ	o_j	0.267
²⁴	t̚_²	0.267
n	n	0.25
j	e	0.25
ʦʰ	ʨʰ	0.222
ʦ	ʨʰ	0.222
ʦ	s	0.222
y	u_k̚	0.222
w	-	0.214
⁴²	⁵	0.2
⁴²	-	0.2
ɛ	j	0.2
³³	⁵⁵	0.2
j	o	0.188
t	ʦʰ	0.182
t	-	0.182
a	o	0.176
y	u	0.167
y	i	0.167
i	ɨ	0.167
i	e	0.167
w	a	0.143
ɛ	-	0.133
²¹	²⁴	0.132
j	-	0.125
a	a_k̚	0.118
ʦ	ʨ	0.111
ɔ	o_k̚	0.111
y	-	0.111
³³	²⁴	0.1
