West Flemish	Proto-Germanic	probability
b	b	1.0
d	θ	0.482
d	d	0.342
d	ð	0.122
f	β_ɑ	0.688
f	β_ɑ̃	0.271
h	x	0.421
h	k	0.343
h	ɣ_ɑ	0.169
iə̯	e	1.0
j	j	0.865
j	ˈɑi̯	0.135
k	k	0.51
k	k_s	0.118
k	kː	0.079
k	k_i	0.074
k	k_ɑ	0.073
k	ɡ_ɑ	0.057
l	l	0.723
l	ɑ_l	0.08
l	lː	0.068
m	m	0.55
m	m_ɑ	0.32
m	mː	0.075
n	n_ɑ̃	0.415
n	n	0.385
n	n_ɑ	0.057
n	-	0.05
p	p	0.795
p	pː	0.115
p	ɸ	0.054
s	s	0.646
s	s_k	0.186
s	s_ɑ̃	0.113
t	t	0.598
t	ɑ_z	0.099
t	ð_ɑ̃	0.056
v	ɸ	0.714
v	β	0.216
w	l	0.826
w	w	0.088
w	l_i	0.086
z	s	0.913
z	x	0.055
ç	ɣ	1.0
ŋ	ŋ	0.954
ə	ɔ̃ː	0.228
ə	ɔːː	0.149
ə	ɔː	0.138
ə	i	0.093
ə	-	0.08
ə	u	0.073
ə	e	0.058
ɦ	ɣ	0.552
ɦ	-	0.205
ɦ	ɣ_j	0.156
ɦ	ɣ_ɑ	0.078
ɪ	i	1.0
ɾ	r	0.738
ɾ	ɛː_r	0.063
ɾ	z	0.052
ʃ	s	0.935
ʃ	ɸ	0.065
ʋ	w	0.863
ʋ	xʷ	0.068
ʋ	j	0.065
ˈeː	ˈe	0.46
ˈeː	ˈɑi̯	0.346
ˈeː	ˈi	0.117
ˈeː	ˈɑ	0.077
ˈi	ˈiː	0.719
ˈi	ˈi	0.159
ˈi	j	0.122
ˈiə̯	ˈeu̯	0.331
ˈiə̯	ˈe	0.235
ˈiə̯	ˈiu̯	0.118
ˈiə̯	ˈi_j	0.084
ˈiə̯	ɑi̯	0.078
ˈoː	ˈɑu̯	0.506
ˈoː	ˈu	0.395
ˈoː	ˈe	0.069
ˈu	ˈu	0.741
ˈu	ˈɑ_l	0.114
ˈu	ˈuː	0.088
ˈuə̯	ˈɔː	0.903
ˈuə̯	ˈɔ	0.062
ˈyː	ˈuː	0.694
ˈyː	ˈiu̯	0.115
ˈyː	wː	0.109
ˈyː	ˈiː	0.082
ˈæ	ˈe	0.542
ˈæ	-	0.222
ˈæ	ˈi	0.118
ˈæ	ˈɑ	0.109
ˈøː	ˈu	0.8
ˈøː	ˈɑ	0.2
ˈœ	ˈu	0.688
ˈœ	w	0.123
ˈœ	ˈeu̯	0.123
ˈœ	ˈi	0.067
ˈɑ	ˈɑ	1.0
ˈɒː	ˈɑ	0.406
ˈɒː	ˈɛː	0.295
ˈɒː	ˈɑ_x	0.169
ˈɒː	ˈe	0.069
ˈɔ	ˈu	0.8
ˈɔ	ˈɑ	0.149
ˈɔ	-	0.05
ˈɛ	ˈi	0.467
ˈɛ	ˈɑ	0.243
ˈɛ	ˈe	0.141
ˈɛ	ˈɑi̯	0.093
ˈɛ	ˈiː	0.057
ˈɛː	ˈɑi̯	0.633
ˈɛː	ˈe	0.146
ˈɛː	ˈɑi̯_w	0.068
ˈɛː	n_ɑ	0.063
ˈɛː	jː	0.051
ˈɪ	ˈi	0.728
ˈɪ	ˈu	0.088
ˈɪ	nː	0.082
ˈɪ	ˈe	0.076
