Icelandic	Icelandic	probability
ˈʏː	ˈuː	1.0
ˈʏ	ˈʊ	1.0
ˈɔu̯	ˈœ	1.0
ˈɑːu̯	ˈɔ̯aː	1.0
ˈɑu̯_ŋ	ŋ	1.0
ˈɑu̯	ˈɔ	1.0
ˈœːy̯	ˈɛːi̯	1.0
ˈœː	ˈɛːi̯	1.0
ˈou̯	ˈœ	1.0
ˈiː_r̥	ˈɪ_ɡ̊	1.0
ˈiː_j	ˈʊ_ʤ̊ː	1.0
ˈiː	ˈʊ̯iː	1.0
ˈi	ˈɪ	1.0
ˈaːu̯	ˈɔ̯aː	1.0
ˈaː	ˈɛːa̯	1.0
ˈau̯	ˈɔ	1.0
ˈai̯	-	1.0
ʰt͡n̥	ʰt͡n̥	1.0
ʰt	ʰt	1.0
ʰp	ʰp	1.0
ʰk	ʰk	1.0
ʰc	ʰʧ	1.0
ʏ_#>	ʊ_#>	1.0
ɲ	ɲ	1.0
ɪ	ɪ	1.0
ɡ̊ː	ɡ̊ː	1.0
ɡ̊	ɡ̊	1.0
ɟ̊ː	ʤ̊ː	1.0
ɛ	ɪ	1.0
ɑu̯	a	1.0
ŋ	ŋ	1.0
ð_ʏ	ʊ	1.0
ç	h	1.0
x	-	1.0
u	-	1.0
t͡n̥	n_ʊ	1.0
tʰ	tʰ	1.0
sː	sː	1.0
s_j	ʃ	1.0
s_c	ʃ	1.0
r̥_s	s	1.0
r_ð	ˈøː_ɹ	1.0
r_t͡n̥	t͡n̥	1.0
r_m	ɹ_m	1.0
r_a	ɹ_a	1.0
r	ɹ	1.0
nː	nː	1.0
n	n	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ˈɛː	ˈɛːa̯	1.0
i	ɪ	1.0
h	h	1.0
f_#>	v_#>	1.0
f	f	1.0
d̥	d̥	1.0
cʰ	ʧʰ	1.0
c	ʧ	1.0
b̥	b̥	1.0
aːu̯	a	1.0
a	a	1.0
<#_ç	<#_j	1.0
<#_r̥	<#_ɹ	1.0
<#_r	<#_ɹ	1.0
<#	<#_kʰ	1.0
#>	v̥_#>	1.0
s	s	0.957
ʏ	ʊ	0.944
v	v	0.923
ˈa	ˈa	0.895
ˈɪ	ˈɪ	0.867
r̥	ɹ	0.86
θ	tʰ	0.857
ˈoːu̯	ˈɔːu̯	0.778
t͡l̥	t͡l̥	0.778
ˈɪː	ˈiː	0.75
ˈɔ	ˈɔ	0.75
ˈuː	ˈʉːu̯	0.75
ˈɛː	ˈeː	0.727
ˈaːi̯	ˈøː	0.714
t	t	0.714
p	p	0.714
ɟ̊	ʤ̊	0.667
ˈɛ	ˈɛ	0.632
ˈu	ˈʊ	0.6
ˈɔː	ˈoː	0.5
ˈɔː	-	0.5
ɣ	w	0.5
ɣ	-	0.5
n̥	n̥	0.5
n̥	n	0.5
l̥	l̥	0.5
l̥	l	0.5
ˈɛːi̯	ˈai̯	0.444
ð	-	0.435
ˈu	ˈʏ	0.4
j	-	0.391
ˈœ	ˈœ	0.375
ˈœ	-	0.375
j	j	0.348
ˈɛːi̯	ˈɔːi̯	0.333
ɟ̊	ɡ̊	0.333
ˈaːi̯	-	0.286
p	-	0.286
ˈɛː	ˈɛːa̯	0.273
ˈɛ	-	0.263
ð	w	0.261
ˈɪː	-	0.25
ˈɔ	ˈoː	0.25
ˈœ	ˈɔ	0.25
ˈuː	v̥	0.25
t	ʰt	0.229
ˈɛːi̯	ˈaːi̯	0.222
t͡l̥	-	0.222
ð	j	0.217
θ	ʧʰ	0.143
ˈɪ	-	0.133
ˈoːu̯	ˈɛ_ɡ̊	0.111
ˈoːu̯	-	0.111
ˈɛ	ˈeː	0.105
ˈa	ˈœ	0.105
r̥	ʊ_ɹ	0.093
ð	v	0.087
j	ˈʏ_ɡ̊	0.087
j	ˈɛːa̯	0.087
j	ˈiː_j	0.087
v	-	0.077
t	ʈ	0.057
