French	Latin	probability
a	-	0.22
a	ˈa	0.212
a	a	0.134
a	aː	0.059
a	ɛ	0.058
a	k_ɛ̃ː	0.051
b	b	0.84
b	m	0.085
b	p	0.075
d	d	0.83
d	n	0.112
e	ˈaː	0.424
e	-	0.194
e	ae̯	0.067
e	aː	0.054
f	f	0.839
f	w	0.111
i	ˈiː	0.435
i	ˈɛ	0.137
i	-	0.092
i	i	0.077
j	lʲ	0.172
j	ˈɛ	0.157
j	-	0.145
j	ʊ_ɫ	0.112
j	ɛ̃ː	0.098
j	t	0.084
j	ˈae̯	0.054
k	k	0.623
k	kʷ	0.245
k	s_k	0.104
l	ɫ	0.671
l	lʲː	0.197
l	l	0.093
m	m	0.906
m	ɪ_m	0.055
n	n	0.935
o	ˈɛ	0.41
o	ˈa	0.348
o	ˈɔ	0.14
o	ˈau̯	0.082
p	p	0.873
p	s_p	0.127
s	s	0.592
s	k	0.196
s	kʷ	0.056
t	t	0.54
t	s_t	0.185
t	tː	0.133
t	n_t	0.06
u	ˈʊ	0.388
u	ˈoː	0.247
u	ˈɔ	0.136
u	ɔ	0.112
v	w	0.717
v	p	0.174
v	b	0.101
w	ˈeː	0.271
w	ˈʊ	0.174
w	ˈɪ	0.154
w	-	0.12
w	d_ˈeː	0.066
w	ˈiː	0.057
y	ˈuː	0.716
y	ˈʊ	0.126
y	t_ˈuː	0.075
z	k	0.583
z	s	0.294
z	t	0.109
ø	ʊ	0.633
ø	ˈoː	0.119
ø	ˈɔ	0.119
ø	ˈɪ	0.06
œ	ˈoː	0.442
œ	ˈɔ	0.334
œ	ˈu	0.106
ɑ̃	ˈɛ	0.371
ɑ̃	ˈa	0.192
ɑ̃	ˈa_ŋ	0.126
ɑ̃	ŋ	0.104
ɑ̃	a	0.09
ɑ̃	ˈɪ	0.051
ɔ	ˈɔ	0.606
ɔ	ɔ	0.159
ɔ	au̯	0.081
ɔ̃	ˈoː	0.491
ɔ̃	oː	0.214
ɔ̃	ˈɔ	0.162
ɔ̃	ɔ	0.087
ə	ɛ	0.726
ə	a	0.119
ə	-	0.092
ɛ	ˈɛ	0.293
ɛ	ˈaː	0.186
ɛ	ˈa	0.172
ɛ	ˈɪ	0.091
ɛ	a	0.078
ɛ	-	0.069
ɛ̃	n	0.456
ɛ̃	ŋ	0.212
ɛ̃	ˈaː_n	0.127
ɛ̃	e	0.079
ɡ	ɡ	0.456
ɡ	k	0.412
ɡ	kʷ	0.093
ɥ	ˈuː	0.429
ɥ	ˈɔ	0.277
ɥ	ˈʊ	0.215
ɲ	n	1.0
ʁ	r	0.9
ʃ	k	0.832
ʃ	kː	0.112
ʒ	j	0.352
ʒ	ɡ	0.27
ʒ	d	0.165
ʒ	-	0.149
ʒ	b	0.052
