Pennsylvania German	Dutch	probability
b	b	0.979
b̥	v̥	1.0
d	d	0.828
d	-	0.121
d	t	0.051
d̥	d̥	0.877
d̥	d	0.088
eː	i	1.0
f	v	0.667
f	p	0.263
f	f	0.07
h	ɦ	0.985
j	χ	0.553
j	j	0.447
k	k	0.451
k	χ	0.437
k	-	0.112
kʰ	k	0.99
l	ɫ	0.925
l	-	0.075
m	m	0.931
m	-	0.069
n	n	0.921
p	p	0.765
p	v̥	0.235
pʰ	p	1.0
p͡f	p	1.0
s	z	0.411
s	t	0.394
s	s	0.147
t	t	1.0
v	v	0.626
v	ʋ	0.249
v	b	0.125
x	χ	0.723
x	k	0.277
ç	k	0.484
ç	χ	0.345
ç	ŋ	0.126
ŋ	ŋ	1.0
ɑ	ɾ	0.783
ɑ	ˈɛi̯	0.149
ə	ə	0.893
ə	-	0.107
ɡ	χ	0.948
ɡ	k	0.052
ɡ̊	χ	1.0
ɣ	χ	0.741
ɣ	n	0.259
ɪ	-	0.533
ɪ	ə	0.253
ɪ	ɪ	0.215
ɾ	ɾ	0.969
ʃ	s	0.85
ʃ	z	0.107
ʋ	ʋ	0.955
ʦ	t	0.955
ˈa	ˈɑ	0.645
ˈa	ˈaː	0.104
ˈa	ˈɪ	0.093
ˈa	ˈoː	0.079
ˈa	ˈɑu̯	0.058
ˈaɪ̯	ˈɛi̯	0.527
ˈaɪ̯	ˈi	0.115
ˈaɪ̯	ˈɪ	0.106
ˈaɪ̯	ˈœy̯	0.08
ˈaɪ̯	ˈyː	0.08
ˈaɪ̯	ˈeː	0.052
ˈaʊ̯	ˈœy̯	0.749
ˈaʊ̯	ˈɑu̯	0.093
ˈaʊ̯	ˈɔ	0.06
ˈaʊ̯	ˈoː	0.055
ˈaː	ˈoː	0.373
ˈaː	ˈɔ	0.254
ˈaː	ˈɛ	0.233
ˈaː	ˈɑ	0.14
ˈeː	ˈeː	0.546
ˈeː	ˈoː	0.204
ˈeː	ˈi	0.086
ˈeː	ˈɛi̯	0.067
ˈiː	ˈi	0.64
ˈiː	ˈu	0.214
ˈiː	j	0.072
ˈoː	ˈaː	0.529
ˈoː	ˈoː	0.471
ˈuː	ˈu	1.0
ˈɔ	ˈɔ	0.714
ˈɔ	ˈoː	0.158
ˈɔ	ˈeː	0.085
ˈɔɪ̯	ˈɛi̯	1.0
ˈɔː	ˈoː	0.396
ˈɔː	ˈaː	0.278
ˈɔː	ˈɑ	0.202
ˈɛ	ˈɛ	0.385
ˈɛ	ˈeː	0.268
ˈɛ	ˈɑ	0.123
ˈɛ	ˈʏ	0.076
ˈɛ	ʋ	0.053
ˈɛː	ˈɛ	0.622
ˈɛː	ˈaː	0.188
ˈɛː	ˈeː	0.125
ˈɪ	ˈɪ	0.636
ˈɪ	ˈʏ	0.108
ˈɪ	ˈɛ	0.101
ˈɪ	ˈɛi̯	0.056
ˈʊ	ˈɔ	0.632
ˈʊ	ˈoː	0.187
ˈʊ	ˈu	0.099
ˈʊ	ˈœy̯	0.067
