Luxembourgish	American English	probability
b	b	1.0
d	d	0.476
d	θ	0.376
d	ð	0.134
e	ŋ	1.0
f	f	0.799
f	p	0.154
f	pʰ	0.038
f_ə	p	0.49
h	h	1.0
j	j	1.0
k	ʤ	0.417
k	-	0.354
k	k	0.167
k_ə	k	0.49
kʰ	kʰ	0.495
kʰ	ʧ	0.32
kʰ	-	0.165
l	l	0.536
l	ɫ	0.408
l	-	0.053
l_ə	ɫ	0.49
m	m	0.917
m	ɹ_m	0.047
m	-	0.046
n	n	0.53
n	-	0.468
n_t	θ	1.0
p	p	0.683
p	d	0.221
s	s	0.388
s	t	0.367
s	z	0.107
s	ɾ	0.081
s	-	0.044
s_ə	t	1.0
t	d	0.576
t	t	0.335
t	θ	0.053
t	-	0.037
v	w	0.802
v	v	0.191
v_ə	v	1.0
w	w	0.681
w	ˈu	0.175
w	ˈɔ	0.118
z	s	0.905
z	z	0.08
z	m	0.034
ŋ	ŋ	0.697
ŋ	n	0.283
ŋ_ə	ŋ	1.0
ɐ	ɚ	0.606
ɐ	-	0.16
ɐ	ɹ	0.12
ɐ	ɡ_ɚ	0.059
ɐ	oʊ̯	0.038
ɐ_t	d	0.384
ɐ_t	θ	0.253
ɕ	-	0.523
ɕ	ʧ	0.293
ɕ	k	0.169
ɕ_t	t	1.0
ə	-	0.821
ə	oʊ̯	0.064
ə	ɚ	0.064
ə	ə	0.054
ə_f	v	1.0
ə_k	k	0.49
ə_l	ɫ	0.49
ə_ɕ	i	0.863
ə_ɕ	k	0.096
ɡ	ɡ	0.818
ɡ	-	0.097
ɡ	j	0.068
ʀ	ɹ	0.876
ʀ	-	0.082
ʀ	z	0.041
ʃ	s	0.565
ʃ	ʃ	0.386
ʃ	-	0.047
ʑ	-	1.0
ʦ	tʰ	0.608
ʦ	t	0.388
ˈaː	ˈɔ	0.233
ˈaː	ˈi	0.231
ˈaː	ˈæ	0.193
ˈaː	ˈɑ	0.102
ˈaː	ˈɑ_ɹ	0.077
ˈaː_χ	ˈeɪ̯	1.0
ˈe	ˈɪ	0.627
ˈe	ˈɛ	0.143
ˈe	ˈaɪ̯	0.101
ˈe	ˈi	0.101
ˈeː	ˈoʊ̯	0.508
ˈeː	ˈeɪ̯	0.162
ˈeː	-	0.107
ˈeː	ˈɑ	0.085
ˈeː	ˈi	0.06
ˈi	ˈɪ	0.312
ˈi	ˈi	0.219
ˈi	ˈoʊ̯	0.206
ˈi	ˈaɪ̯	0.126
ˈiə̯	ˈɛ	0.631
ˈiə̯	ˈi	0.142
ˈiə̯	ˈɪ	0.142
ˈiː	ˈaɪ̯	0.407
ˈiː	ˈi	0.155
ˈiː	ˈɛ	0.114
ˈiː	ˈɝ	0.1
ˈiː	ˈæ	0.077
ˈo	ˈʊ	0.257
ˈo	ˈɑ	0.19
ˈo	ˈoʊ̯	0.166
ˈo	ˈʌ	0.166
ˈo	ˈɛ	0.109
ˈoː	ˈi	0.648
ˈoː	ˈeɪ̯	0.174
ˈoː	ˈɛ	0.174
ˈoː_ə	ˈeɪ̯	1.0
ˈu	ˈu	0.258
ˈu	ˈaʊ̯	0.224
ˈu	ˈeɪ̯	0.148
ˈu	ˈʌ	0.148
ˈu	ˈæ	0.104
ˈuə̯	ˈaɪ̯	0.381
ˈuə̯	ˈoʊ̯	0.219
ˈuə̯	ˈʌ	0.219
ˈuə̯	ɚ	0.141
ˈuː	ˈɝ	0.45
ˈuː	ˈɑ	0.208
ˈuː	ˈɔ	0.192
ˈæ	ˈæ	0.361
ˈæ	ˈɛ	0.361
ˈæ	ˈu	0.203
ˈæɪ̯	ˈɪ	0.66
ˈæɪ̯	ˈaɪ̯	0.158
ˈæːɪ̯	ˈaɪ̯	0.602
ˈæːɪ̯	ˈi	0.24
ˈæːɪ̯	ˈɪ	0.114
ˈæːʊ̯	ˈaʊ̯	0.867
ˈæːʊ̯	ˈaɪ̯	0.114
ˈɑ	ˈæ	0.291
ˈɑ	ˈɪ	0.254
ˈɑ	ˈɛ	0.13
ˈɑ	ˈɑ	0.111
ˈɑ	ˈaɪ̯	0.096
ˈɑɪ̯	ˈaɪ̯	0.356
ˈɑɪ̯	ˈi	0.329
ˈɑɪ̯	ˈʌ	0.101
ˈɑɪ̯	ˈu	0.098
ˈɑɪ̯	ˈaʊ̯	0.071
ˈɔ	ˈaʊ̯	0.323
ˈɔ	ˈʌ	0.323
ˈə	ˈɪ	0.564
ˈə	ˈɛ	0.171
ˈə	ˈaɪ̯	0.149
ˈə	ˈi	0.098
ˈəɪ̯	ˈi	0.621
ˈəɪ̯	ˈaɪ̯	0.163
ˈəɪ̯	ˈoʊ̯	0.128
ˈəɪ̯	ˈɔ	0.047
ˈəɪ̯	ˈɛ	0.046
ˈəʊ̯	ˈɛ	0.306
ˈəʊ̯	ˈi	0.172
ˈəʊ̯	ˈu	0.12
ˈəʊ̯	ˈeɪ̯	0.116
ˈəʊ̯	ˈaʊ̯	0.111
ˈɛ	ˈɛ	0.53
ˈɛ	ˈoʊ̯	0.213
ˈɛ	ˈɪ	0.111
ˈɛː	ˈɑ	0.488
ˈɛː	ˈɝ	0.197
ˈɛː	ɹ	0.181
ˈʊ	ˈʌ	0.822
ˈʊ	ˈʊ	0.111
ˈʊɪ̯	ˈɑ	1.0
χ	k	0.425
χ	f	0.28
χ	ʧ	0.28
