Limburgish	Proto-Germanic	probability
b	b	0.977
d	θ	0.536
d	d	0.426
f	ɸ	0.584
f	β_ɑ	0.221
f	β	0.168
j	j	0.222
j	l	0.159
j	-	0.125
j	ð	0.125
j	ð_ɑ	0.108
j	t	0.082
j	i_z	0.067
j	ɔ̃ː	0.067
k	k	0.542
k	ɡ_ɑ	0.112
k	k_s	0.076
k	ɣ_j	0.07
k	k_i	0.055
l	l	0.645
l	l_ɑ	0.107
l	lː	0.074
m	m	0.662
m	m_ɑ	0.216
m	m_ɔːː	0.079
n	n	0.703
n	nː	0.114
p	p	0.708
p	pː	0.097
p	x	0.097
p	ɸ	0.097
p_ə	p	1.0
s	s	0.484
s	s_k	0.198
s	s_t	0.11
s	s_ɑ̃	0.093
s	n_s	0.051
s	x_s	0.051
t	t	0.558
t	ð_ɑ̃	0.1
t	d	0.069
t	d_ɑ	0.064
t	θ_ɑ̃	0.06
t	θ	0.053
v	ɸ	0.795
v	β	0.147
v_ə	β	1.0
w	l	0.493
x	x_t	0.248
x	ɣ_ɑ	0.229
x	x	0.172
x	z	0.12
x	ɣ	0.111
x	k	0.096
z	s	0.897
z	s_w	0.099
ŋ	ŋ	0.775
ŋ	n	0.132
ŋ	ɑ̃	0.052
ə	n_ɑ̃	0.293
ə	-	0.098
ə	i_j	0.076
ə	ɑ_z	0.076
ə	i	0.057
ə	ɛː	0.057
ə	j_ɑ	0.054
ə	ɔː	0.053
ə_ɣ	ɣ	1.0
ɡ	ɣ	0.493
ɣ	ɣ	0.911
ɣ	-	0.087
ɣ_ə	ɣ	1.0
ɦ	x	0.965
ɪ	ɑ	0.822
ɪ	i	0.112
ɪː	ˈi	1.0
ʀ	r	0.622
ʀ	-	0.082
ʀ	r_ɑ	0.057
ʀ_ə	r	1.0
ʃ	s_k	0.8
ʃ	ɸ	0.2
ʦ	ð	0.243
ˈaː	ˈɑ	0.925
ˈaː	ˈe	0.074
ˈeː	ˈe	0.433
ˈeː	ˈeu̯	0.274
ˈeː	ˈi	0.101
ˈeː	ˈɑ	0.079
ˈeː	ˈe_ð	0.056
ˈi	ˈɑi̯_w	0.297
ˈi	ˈe	0.274
ˈi	ˈi	0.116
ˈi	ˈĩː	0.087
ˈi	ˈeu̯	0.067
ˈi	ˈɑi̯	0.067
ˈi	ˈɛː	0.067
ˈiː	ˈiː	0.66
ˈiː	ˈi	0.163
ˈiː	ˈeu̯	0.084
ˈiː	ˈe	0.08
ˈoː	ˈu	0.561
ˈoː	ˈɔː	0.206
ˈoː	ˈuː	0.136
ˈoː	ˈɑi̯	0.072
ˈu	ˈɑu̯	1.0
ˈuː	ˈuː	0.833
ˈuː	ˈu	0.104
ˈv	ɸ	1.0
ˈyː	ˈɑu̯	0.381
ˈyː	ˈiu̯	0.142
ˈyː	ˈu	0.142
ˈyː	ˈɔː	0.101
ˈyː	u	0.093
ˈæ	ˈɑ	0.776
ˈæ	ˈe	0.172
ˈæː	ˈe	0.488
ˈæː	ˈɑ	0.488
ˈøː	ˈɔː	0.48
ˈøː	ˈu	0.343
ˈøː	ˈɔ	0.114
ˈœ	ˈu	0.561
ˈœ	ˈɑu̯	0.21
ˈœ	ˈɑ	0.079
ˈœi̯	ˈiu̯	0.517
ˈœi̯	ˈuː	0.193
ˈœi̯	ˈɑu̯	0.073
ˈœi̯	wː	0.052
ˈœː	ˈu	1.0
ˈɑ	ˈɑ	0.931
ˈɑ	ˈe	0.068
ˈɑː	ˈɑ	1.0
ˈɒː	ˈɛː	0.475
ˈɒː	ˈɑ	0.424
ˈɒː	ˈe	0.093
ˈɔ	ˈu	0.847
ˈɔ	-	0.085
ˈɔ	ˈɔː	0.068
ˈɔu̯	ˈɑu̯	0.345
ˈɔu̯	ɔ̃ː	0.195
ˈɔː	ˈɑu̯	0.534
ˈɔː	ˈu	0.45
ˈɛ	ˈi	0.307
ˈɛ	ˈiː	0.131
ˈɛ	ˈɑ	0.12
ˈɛ	ˈɑi̯	0.12
ˈɛ	ˈe	0.074
ˈɛi̯	ˈiː	1.0
ˈɛː	ˈɑi̯	0.822
ˈɛː	ˈi	0.087
ˈɛː	ˈe	0.055
ˈɛːi̯	j	0.425
ˈɛːi̯	ˈɑi̯	0.241
ˈɛːi̯	jː	0.136
ˈɪ	ˈɑ	0.266
ˈɪ	ˈi	0.175
ˈɪ	ˈiː	0.175
ˈɪ	ˈe	0.124
ˈɪ	ˈɔː	0.114
ˈɪ	ˈu	0.08
ˈɪː	ˈi	0.768
ˈɪː	ˈu	0.127
ˈɪː	ɑi̯	0.092
ˈʊ	ˈu	0.493
ˈʊː	ˈu	0.603
ˈʊː	ˈɔː	0.195
ˈʊː	-	0.059
ˈʊː	ˈɑ	0.058
ˈʊː	ˈɑi̯	0.054
ˈʏ	ˈu	0.683
ˈʏ	ˈi	0.222
ˈʏː	j	0.277
ˈʏː	ˈe	0.241
ˈʏː	ˈu	0.136
β	w	0.811
β	xʷ	0.169
