Scots	Faroese	probability
b	b̥	1.0
d	-	0.394
d	d̥	0.365
d	d̥_ʊ	0.099
d	ʤ̊	0.057
d	tː	0.033
e	a	0.319
e	ʊ	0.319
f	f	0.863
f	v	0.069
f	v_ʊ	0.056
f	d̥	0.031
f_r	f	0.484
h	h	0.929
h	-	0.065
i	ʊ	0.234
j	-	0.302
j	ˈɔ̯aː	0.221
j	j	0.153
j	ˈuː	0.146
k	k	0.471
k	ʰkː	0.203
k	kʰ	0.116
k	ʧ	0.087
k	ʧʰ	0.087
kʰ	kʰ	1.0
l	l	0.708
l	l_ʊ	0.074
l	ɡ̊_l	0.073
l	l̥	0.055
l	-	0.042
m	m	0.636
m	m_ʊ	0.314
m	w	0.045
n	n	0.602
n	n̥	0.139
n	n_ʊ	0.093
n	-	0.072
n	nː_a	0.034
p	p	0.336
p	ʰp	0.336
p	v	0.164
p	ɹ	0.109
r	ɹ	0.808
r	-	0.113
r	ɹ_ʊ	0.04
r_d	ɹ	1.0
s	s	0.878
s	sː	0.048
s	ʃ	0.042
s	-	0.034
t	t	0.649
t	-	0.204
t	ʰt	0.079
t	ʈ	0.054
tʰ	tʰ	0.912
tʰ	ʧʰ	0.073
v	v	0.742
v	-	0.103
v	m	0.062
w	v	0.592
w	-	0.323
w	ˈoː	0.05
w	ˈʉːu̯	0.043
x	ʰtː	0.707
x	-	0.162
x	v	0.112
z	s	0.234
ç	ɡ̊	0.234
ð	w	0.488
ð	v	0.163
ð	nː	0.163
ð	tʰ	0.075
ð	j	0.075
ŋ	ŋ	0.723
ŋ	ˈɛ	0.105
ŋ	ɲ	0.08
ŋ	-	0.079
ə	ɪ	0.333
ə	ʊ	0.277
ə	-	0.119
ə	ɹ_a	0.093
ə	a	0.061
əi̯	ɛ	0.608
əi̯	-	0.079
əi̯	a	0.079
ɡ	ɡ̊	0.919
ɡ	ʤ̊	0.077
ɪ	ʊ	0.574
ɪ	-	0.278
ɫ	l	0.719
ɫ	l̥	0.251
ɹ	ˈʊ̯iː	0.484
ʃ	s_k	0.422
ʃ	ʃ	0.359
ʃ	f	0.142
ʍ	-	0.786
ʍ	ʧʰ	0.162
ʧ	k	0.484
ˈa	ˈœ	0.234
ˈaːɪ̯	ˈʉːu̯	0.758
ˈaːɪ̯	ˈɪ	0.086
ˈe	ˈaːi̯	0.192
ˈe	j	0.177
ˈe	ˈai̯	0.117
ˈe	ˈɛːa̯	0.117
ˈe	ˈa	0.087
ˈei̯	ˈɛːi̯	0.313
ˈei̯	ˈʊ̯iː	0.089
ˈei̯	ˈɔːu̯	0.073
ˈei̯	ˈɪ	0.073
ˈei̯	ˈa	0.073
ˈeː	ˈɛːa̯	0.561
ˈeː	ˈɔ̯aː	0.169
ˈeː	ˈiː	0.169
ˈi	ˈɪ	0.304
ˈi	ˈɛːa̯	0.183
ˈi	ˈɛːi̯	0.169
ˈi	ˈeː	0.169
ˈiː	ˈɛːa̯	0.206
ˈiː	ˈøː	0.133
ˈiː	ˈɔ̯aː	0.116
ˈiː	ˈʊ̯iː	0.093
ˈiː	ˈoː	0.076
ˈoe̯	ˈœ	0.234
ˈø	ˈɔːu̯	0.606
ˈø	ˈɔ̯aː	0.166
ˈø	ˈɔ	0.097
ˈø	ˈœ	0.097
ˈɑ	ˈa	0.466
ˈɑ	ˈɛ	0.198
ˈɑ	ˈɛːa̯	0.122
ˈɑ	ˈai̯	0.051
ˈɑ	ˈɔ	0.051
ˈɑː	ˈa	0.379
ˈɑː	ˈɛːa̯	0.185
ˈɑː	ˈeː	0.122
ˈɑː	ˈɔ	0.089
ˈɑː	ˈɔ̯aː	0.089
ˈɔ	ˈɔ	0.292
ˈɔ	ˈʊ	0.17
ˈɔ	ˈoː	0.148
ˈɔ	ˈuː	0.085
ˈɔ	ˈøː	0.085
ˈəi̯	ˈʊ̯iː	0.725
ˈəi̯	ˈɪ	0.12
ˈəi̯	ʊ̯ˈiː	0.064
ˈəi̯	ˈʊ	0.047
ˈəi̯	ʊ	0.036
ˈɛ	ˈa	0.169
ˈɛ	ˈɛ	0.155
ˈɛ	-	0.125
ˈɛ	ˈɔ̯aː	0.082
ˈɛ	ˈɛːa̯	0.082
ˈɪ	ˈɪ	0.311
ˈɪ	ˈiː	0.116
ˈɪ	ˈɔːu̯	0.115
ˈɪ	ˈɔ	0.109
ˈɪ	ˈøː	0.066
ˈʉ	ˈʉːu̯	0.378
ˈʉ	ˈʊ	0.368
ˈʉ	ˈɪ_ɡ̊	0.129
ˈʉ	ʊ	0.053
ˈʉ	ˈʊ_ɡ̊	0.052
ˈʌ	ˈuː	0.304
ˈʌ	ˈʊ	0.294
ˈʌ	ˈɔ	0.183
ˈʌʉ̯	ˈiː	0.242
ˈʌʉ̯	ˈʊ̯iː	0.21
ˈʌʉ̯	l̥	0.154
θ	tʰ	0.367
θ	-	0.347
θ	nː	0.237
