Mainland North Frisian	Mainland North Frisian	probability
ˈɛ_k	x	1.0
ˈɛ_#>	ˈiː_ɐ_#>	1.0
ˈɛ	ˈiː	1.0
ˈœi̯	-	1.0
ʀ_n	ɐ_n	1.0
ɡ	ɡ̊	1.0
ɛi̯	eː	1.0
ə_ʀ	ɐ	1.0
ə_#>	#>	1.0
ç	-	1.0
z̥	d̥	1.0
z	-	1.0
w	ŋ	1.0
v_ə	m	1.0
s_t	ʃ_d̥	1.0
p_#>	f_#>	1.0
m	m	1.0
l_ə	l	1.0
l_v	l_f	1.0
l	l	1.0
k_#>	#>	1.0
j_ˈa	ˈɛ	1.0
j_ə	ŋ	1.0
j	-	1.0
h	h	1.0
f	f	1.0
dʲ	d̥	1.0
d	d̥	1.0
<#_ˈeː	<#_ˈɒ	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
v	v	0.917
b	b̥	0.889
ʃ	ʃ	0.857
ŋ	ŋ	0.8
d̥	d̥	0.8
ˈɒ	ˈɒ	0.75
x	x	0.75
tʲ	s	0.75
s	s	0.732
ˈœː	-	0.667
ˈyː	ˈuː	0.667
ə_n	a	0.667
v̥	b̥	0.667
<#	<#_ˈɒ	0.667
k	ɡ̊	0.652
n	n	0.645
ˈɔu̯	-	0.6
ˈɔ	ˈɔ	0.6
lʲ	l_d̥	0.6
ʀ	ɐ	0.551
ˈi	ˈaɪ̯	0.55
ˈɛː	ˈɛ	0.5
ˈɛi̯	ˈoː	0.5
ˈɒː	ˈɒ	0.5
ˈaː	ˈʊ	0.5
ˈaː	ˈɔ	0.5
ˈai̯	ˈɪ	0.5
ˈai̯	ˈaɪ̯	0.5
p	v̥	0.5
p	b̥͡v̥	0.5
d_ə	ɾ	0.5
ə	n	0.485
t	d̥	0.475
ˈʏ	ˈaʊ̯	0.462
ˈuː	ˈaː	0.462
ˈiː	ˈiː	0.435
ˈiː	ˈaː	0.435
ˈɔu̯	ˈoː	0.4
ˈɔ	-	0.4
ˈeː	ˈɛ	0.4
lʲ	l	0.4
ˈʊ	ˈʊ	0.381
t	ʦ	0.375
nʲ	n_d̥	0.375
nʲ	-	0.375
ˈɔː	-	0.364
ˈœː	ˈaɪ̯	0.333
ˈyː	-	0.333
ə_n	ə	0.333
ə	a	0.333
v̥	-	0.333
i	ɪ	0.333
i	i	0.333
i	-	0.333
<#	<#_j	0.333
#>	ɡ̊_#>	0.333
ʀ	r	0.327
ˈɛi̯	ˈiː	0.3
ˈɒː	-	0.3
ˈi	ˈɪ	0.3
ˈœ	ˈɒ	0.294
ˈœ	ˈuː	0.294
ˈœ	-	0.294
ˈɔː	ˈoː	0.273
ˈɛː	ˈoː	0.25
ˈɛː	-	0.25
ˈɒ	ˈɛ	0.25
x	ç	0.25
tʲ	-	0.25
nʲ	n	0.25
d_ə	ŋ	0.25
d_ə	z̥	0.25
ˈa	-	0.235
ˈʏ	-	0.231
ˈuː	ˈɒ	0.231
#>	ç_#>	0.222
#>	x_#>	0.222
#>	b̥_#>	0.222
s	ʃ	0.22
ˈɛi̯	ˈeː	0.2
ˈɒː	ˈoː	0.2
ˈeː	ˈɪ	0.2
ˈeː	ˈoː	0.2
ˈeː	-	0.2
ŋ	ç	0.2
d̥	d̥_n	0.2
n	-	0.194
ˈʊ	ˈɪ	0.19
ˈɔː	ˈɔ	0.182
ˈɔː	ˈiː	0.182
ˈa	ˈɪ	0.176
ˈa	ˈɛ	0.176
ˈa	ˈiː	0.176
ˈa	ˈaɪ̯	0.176
k	ç	0.174
k	x	0.174
n	n_d̥	0.161
ˈʏ	ˈʊ_n	0.154
ˈʏ	ˈuː	0.154
ˈuː	ˈuː	0.154
ˈuː	-	0.154
ˈi	ˈeː	0.15
ˈʊ	-	0.143
ʃ	-	0.143
ˈiː	-	0.13
t	s	0.125
ˈœ	ˈɔ	0.118
b	-	0.111
ˈʊ	ˈɔ	0.095
ˈʊ	ˈɒ	0.095
ˈʊ	v_ˈɔ	0.095
ə	ɐ	0.091
ə	-	0.091
v	-	0.083
ʀ	ˈɘ	0.082
ˈa	ˈa	0.059
