Cantonese	Sixian	probability
⁵⁵	²⁴	1.0
⁵	²	1.0
ʧ	ʦ	1.0
ʊ	u	1.0
ɵ_ɥ	i	1.0
ɵ	u	1.0
ɪ	a	1.0
ɛː	a	1.0
ɔː_j	o_j	1.0
ɔː	o	1.0
ɐ_w	u	1.0
œː	o	1.0
ŋ	ŋ	1.0
³⁵	³¹	1.0
³³	⁵⁵	1.0
³	²	1.0
uː	u	1.0
u	u	1.0
t̚	t̚	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
p	p	1.0
n	n	1.0
l	l	1.0
kʷ	k	1.0
kʰ	kʰ	1.0
j_ɐ	i	1.0
j_iː	i	1.0
e_j	i	1.0
aː_j	a_j	1.0
²¹	¹¹	0.95
aː	a	0.895
²²	⁵⁵	0.857
s	s	0.833
m	m	0.833
k̚	k̚	0.824
k	k	0.818
h	h	0.8
ʦʰ	ʦʰ	0.778
²	⁵	0.727
f	f	0.727
ʧʰ	ʦʰ	0.667
ʦ	ʦ	0.667
yː	e	0.667
o_w	o	0.625
t	tʰ	0.6
w	w	0.571
¹³	²⁴	0.545
iː	e	0.471
¹³	³¹	0.455
t	t	0.4
o_w	u	0.375
j	j	0.375
iː	ɨ	0.353
ʧʰ	ʨʰ	0.333
ʦ	t	0.333
ɐ	e	0.333
yː	o	0.333
ɐ	u	0.292
ɐ	i	0.292
w	v	0.286
²	²	0.273
f	p	0.273
j	-	0.25
ʦʰ	ʨʰ	0.222
h	kʰ	0.2
j	ɲ	0.188
j	i	0.188
k	kʰ	0.182
k̚	t̚	0.176
iː	i	0.176
s	ɕ	0.167
m	v	0.167
²²	²⁴	0.143
w	u	0.143
aː	o	0.105
ɐ	j	0.083
