Cantonese	Sixian	probability
⁵⁵	²⁴	1.0
⁵	²	1.0
ʧ	ʦ	1.0
ʊ	u	1.0
ɵ	u	1.0
ɪ	a	1.0
ɥ	i	1.0
ɛː	a	1.0
ɔː_j	o_j	1.0
ɔː	o	1.0
ɐ_w	u	1.0
ɐ_j	i	1.0
œː	o	1.0
ŋ	ŋ	1.0
³⁵	³¹	1.0
³³	⁵⁵	1.0
³	²	1.0
yː_n	o_n	1.0
u	u	1.0
t̚	t̚	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
p	p	1.0
n	n	1.0
l	l	1.0
kʰ	kʰ	1.0
j_ɐ	i	1.0
j_iː	i	1.0
h_ɵ	h	1.0
e_j	i	1.0
²¹	¹¹	0.951
aː	a	0.905
²²	⁵⁵	0.857
s	s	0.833
m	m	0.833
k	k	0.818
w	w	0.8
ʦʰ	ʦʰ	0.778
h	h	0.769
k̚	k̚	0.765
yː	e	0.75
²	⁵	0.727
f	f	0.727
ʧʰ	ʦʰ	0.667
<#_w	<#_v	0.667
o_w	o	0.625
¹³	²⁴	0.6
uː	u	0.6
t	tʰ	0.6
<#	<#_k	0.6
j	j	0.5
iː	e	0.471
ʦ	ʦ	0.444
¹³	³¹	0.4
uː	-	0.4
t	t	0.4
<#	<#_kʰ	0.4
ɐ	e	0.381
o_w	u	0.375
iː	ɨ	0.353
ʧʰ	ʨʰ	0.333
ʦ	-	0.333
<#_w	<#	0.333
ɐ	u	0.286
²	²	0.273
f	p	0.273
yː	-	0.25
ɐ	i	0.238
h	kʰ	0.231
ʦʰ	ʨʰ	0.222
ʦ	t	0.222
j	ɲ	0.214
w	u	0.2
k	kʰ	0.182
iː	i	0.176
s	ɕ	0.167
m	v	0.167
²²	²⁴	0.143
j	i	0.143
j	-	0.143
k̚	t̚	0.118
k̚	e_t̚	0.118
ɐ	j	0.095
aː	-	0.095
