Bavarian	Scots	probability
a	ə	0.675
a	r	0.204
a	-	0.08
b̥	b	0.73
b̥	f	0.115
b̥	-	0.069
b̥	v	0.055
d	d	0.242
d̥	d	0.68
d̥	θ	0.147
d̥	ð	0.108
f	f	0.762
f	p	0.15
f_a	p	1.0
h	h	1.0
i	əi̯	0.392
i	l	0.221
i	ŋ	0.221
j	l	0.352
j	-	0.264
j	j	0.148
j	e	0.101
j	ɫ	0.055
j	ˈɛ	0.055
k	k	1.0
kʰ	kʰ	0.563
kʰ	k	0.224
kʰ	ʧ	0.096
kʰ	-	0.093
l	l	0.896
l	-	0.065
m	m	0.777
m	-	0.218
m_a	m	1.0
n	n	0.558
n	-	0.44
p	d	0.492
p͡f	d	0.324
p͡f	p	0.324
r	r	0.939
s	s	0.598
s	t	0.344
s_n	t	1.0
t	t	0.483
t	d	0.35
t	θ	0.07
t	-	0.06
x	x	0.745
x	k	0.243
ç	k	0.608
ç	-	0.121
ç	ʧ	0.111
ŋ	ŋ	0.584
ŋ	-	0.187
ŋ	n	0.103
ŋ	əi̯	0.096
ŋ_a	ŋ	1.0
ɐ	r	0.891
ɐ	-	0.096
ə	-	0.603
ə	l	0.157
ə	ɫ	0.157
ɡ̊	-	0.459
ɡ̊	ɡ	0.455
ɪ	əi̯	0.242
ʃ	s	0.506
ʃ	ʃ	0.493
ʋ	w	0.754
ʋ	ʍ	0.188
ʋ	-	0.057
ʦ	tʰ	0.601
ʦ	t	0.397
ˈa	ˈɑː	0.252
ˈa	ˈɛ	0.22
ˈa	ˈe	0.145
ˈa	ˈø	0.145
ˈa	ˈɑ	0.105
ˈa	ˈei̯	0.098
ˈai̯	ˈəi̯	0.47
ˈai̯	ˈɛ	0.118
ˈai̯	ˈɪ	0.103
ˈai̯	ˈiː	0.075
ˈai̯	ˈɑ	0.068
ˈai̯	ˈei̯	0.058
ˈai̯	ˈe	0.057
ˈau̯	ˈʉ	0.74
ˈau̯	ˈiː	0.163
ˈau̯	ˈaːɪ̯	0.078
ˈaː	ˈei̯	0.496
ˈaː	ˈe	0.132
ˈaː	ˈi	0.126
ˈaː	ˈiː	0.113
ˈe	ˈɛ	0.598
ˈe	ˈei̯	0.154
ˈe	ˈɑ	0.084
ˈe	j	0.073
ˈeɐ̯	ˈiː	0.608
ˈeɐ̯	ˈø	0.26
ˈeː	ˈiː	0.213
ˈeː	ˈei̯	0.18
ˈeː	ˈi	0.18
ˈeː	ˈe	0.122
ˈeː	ˈɛ	0.122
ˈeː	ˈɪ	0.058
ˈi	ˈɪ	0.539
ˈi	ˈi	0.1
ˈi	ˈe	0.076
ˈi	ˈiː	0.065
ˈi	ˈaːɪ̯	0.058
ˈi	ˈəi̯	0.058
ˈi	ˈɛ	0.05
ˈiɐ̯	ˈiː	0.57
ˈiɐ̯	ˈɪ	0.422
ˈiː	ˈe	0.392
ˈiː	ˈɪ	0.392
ˈiː	ˈiː	0.125
ˈo	ˈɑː	0.557
ˈo	ˈɔ	0.252
ˈo	ˈe	0.089
ˈo	ˈeː	0.065
ˈo_j	ˈʌʉ̯	1.0
ˈou̯	ˈei̯	0.441
ˈou̯	ˈiː	0.253
ˈou̯	ˈe	0.205
ˈoɐ̯	ˈe	0.445
ˈoɐ̯	ˈɔ_r	0.193
ˈoɐ̯	ˈei̯	0.121
ˈoɐ̯	ˈɑ	0.07
ˈoɐ̯	ˈəi̯	0.07
ˈoɐ̯	ˈɛ	0.057
ˈoː	ˈeː	0.272
ˈoː	ˈe	0.206
ˈoː	ˈiː	0.179
ˈoː	ˈɛ	0.179
ˈoː	ˈʉ	0.122
ˈu	ˈɔ	0.322
ˈu	ˈɪ	0.196
ˈu	ˈʉ	0.142
ˈu	ˈi	0.072
ˈu	ˈiː	0.07
ˈu	-	0.065
ˈuɐ̯	ˈɪ	0.478
ˈuɐ̯	ˈø	0.326
ˈuɐ̯	ˈʉ	0.173
ˈy	ˈʌʉ̯	0.492
ˈɑː	ˈiː	0.492
ˈɒ	ˈe	0.381
ˈɒ	ˈɑ	0.219
ˈɒ	ˈɪ	0.219
ˈɒ	ˈei̯	0.142
ˈɒː	ˈɑ	0.594
ˈɒː	ˈɛ	0.392
ˈɔ	ˈɔ	0.212
ˈɔ	ˈɪ	0.212
ˈɔ	ˈɑː	0.14
ˈɔ	ˈei̯	0.102
ˈɔ	ˈeː	0.102
ˈɔ	ˈiː	0.099
ˈɔ	ˈø	0.072
ˈɛ	ˈei̯	0.246
ˈɛ	ˈɛ	0.246
ˈɛ	ˈa	0.163
ˈɛ	ˈʌ	0.145
ˈɛ	ˈɪ	0.114
ˈɛː	ˈiː	0.574
ˈɛː	ˈɑː	0.282
ˈʏ	ˈɪ	0.119
