Ladin	Romansch	probability
a	ə	0.89
a	-	0.095
b	b	0.789
b	v	0.176
d	d	0.807
d	ʎ	0.076
d	s	0.055
e	ə	0.608
e	-	0.18
e	i	0.076
e	ˈe	0.06
f	f	0.981
i	ə	0.362
i	i	0.264
i	-	0.252
i	u	0.122
j	j	0.576
j	-	0.232
j	ʎ	0.062
j	ˈi	0.052
j	ʥ	0.052
k	k	0.687
k	ʨ	0.172
k	w	0.123
l	l	0.969
m	m	0.964
n	n	0.947
o	u	0.454
o	v_ə	0.2
o	o	0.157
o	-	0.112
o	ə	0.077
p	p	0.985
r	r	0.963
s	s	1.0
t	t	0.739
t	ʨ	0.176
u	i	0.636
u	u	0.364
v	v	0.922
w	w	0.343
w	-	0.244
w	ˈɔ	0.17
w	j	0.116
z	z	1.0
ŋ	ŋ	0.607
ŋ	-	0.241
ŋ	n	0.152
ɡ	ɡ	0.553
ɡ	-	0.362
ɡ	ʥ	0.051
ɲ	ɲ	0.876
ɲ	n	0.097
ʃ	ʃ	0.904
ʃ	ʧ	0.056
ʒ	ʃ	0.681
ʒ	ʥ	0.175
ʒ	ʒ	0.111
ʤ	m	0.659
ʤ	ʃ	0.341
ʥ	ʥ	0.792
ʥ	ʨ	0.208
ʦ	ʦ	0.414
ʦ	s	0.349
ʦ	-	0.237
ʧ	ʧ	0.825
ʧ	-	0.175
ʨ	ʨ	0.713
ʨ	ʧ	0.201
ˈa	ˈa	0.729
ˈa	ˈɔ	0.162
ˈa	-	0.051
ˈe	ˈa	0.508
ˈe	ˈaː	0.176
ˈe	ˈe	0.116
ˈe	-	0.072
ˈi	ˈi	0.855
ˈi	ˈiː	0.089
ˈi	ˈɛ	0.056
ˈo	ˈu	0.861
ˈu	ˈi	0.528
ˈu	ˈu	0.363
ˈu	ˈiː	0.062
ˈɔ	ˈɔ	0.434
ˈɔ	ˈu	0.341
ˈɔ	ˈɔː	0.12
ˈɔ	w	0.105
ˈɛ	ˈɛ	0.441
ˈɛ	-	0.15
ˈɛ	ˈa	0.148
ˈɛ	ˈɛː	0.085
ˈɛ	ˈaː	0.072
ˈɛ	ə	0.054
