Ladin	Romansch	probability
a	ə	0.897
a	-	0.087
b	b	0.789
b	v	0.176
d	d	0.874
d	s	0.062
e	ə	0.415
e	ə_r	0.172
e	-	0.163
e	ˈe	0.1
e	i	0.077
f	f	0.981
i	ə	0.362
i	i	0.264
i	-	0.252
i	u	0.122
j	j	0.595
j	-	0.192
j	ʎ	0.063
j	ʥ	0.063
j	ˈi	0.062
k	k	0.687
k	ʨ	0.172
k	w	0.123
l	l	0.971
m	m	0.964
n	n	0.947
o	u	0.454
o	v_ə	0.2
o	o	0.157
o	-	0.112
o	ə	0.077
p	p	0.955
r	r	0.963
s	s	1.0
t	t	0.739
t	ʨ	0.176
u	i	0.636
u	u	0.364
v	v	0.923
w	w	0.345
w	-	0.201
w	ˈɔ	0.17
w	j	0.117
w	ˈe	0.069
z	z	1.0
ŋ	ŋ	0.5
ŋ	-	0.33
ŋ	n	0.17
ɡ	ɡ	0.553
ɡ	-	0.218
ɡ	w	0.144
ɡ	ʥ	0.051
ɲ	ɲ	0.881
ɲ	n	0.093
ʃ	ʃ	0.904
ʃ	ʧ	0.056
ʒ	ʃ	0.681
ʒ	ʥ	0.175
ʒ	ʒ	0.111
ʤ	m	0.659
ʤ	ʃ	0.341
ʥ	ʥ	0.792
ʥ	ʨ	0.208
ʦ	ʦ	0.414
ʦ	s	0.349
ʦ	-	0.237
ʧ	ʧ	0.825
ʧ	l	0.175
ʨ	ʨ	0.715
ʨ	ʧ	0.199
ˈa	ˈa	0.729
ˈa	ˈɔ	0.162
ˈa	-	0.051
ˈe	ˈa	0.468
ˈe	ˈaː_r	0.175
ˈe	ˈe	0.131
ˈe	-	0.071
ˈi	ˈi	0.77
ˈi	ˈiː	0.105
ˈi	ˈi_ʎ	0.068
ˈi	ˈɛ	0.057
ˈo	ˈu	0.861
ˈu	ˈi	0.528
ˈu	ˈu	0.363
ˈu	ˈiː	0.062
ˈɔ	ˈɔ	0.434
ˈɔ	ˈu	0.341
ˈɔ	ˈɔː	0.12
ˈɔ	w	0.105
ˈɛ	ˈɛ	0.426
ˈɛ	ˈa	0.157
ˈɛ	-	0.148
ˈɛ	ˈɛː	0.088
ˈɛ	ˈaː	0.075
ˈɛ	ə	0.056
