Swabian	Afrikaans	probability
a	-	0.906
a	ə	0.054
a	r	0.052
b	b	0.669
b	f	0.169
b	v	0.087
b	-	0.054
b	p	0.042
b̥	p	0.267
b̥͡f	p	0.517
d	d	0.401
d	t	0.395
d	-	0.196
d_a	t	0.517
d_l	ɫ	1.0
d_ʌ	r	1.0
e	ə	0.267
f	f	0.752
f	p	0.218
f	-	0.038
h	ɦ	0.969
h	k	0.049
i	ə	0.267
j	j	1.0
k	-	1.0
kʰ	k	0.927
kʰ	-	0.068
l	ɫ	0.985
l	n	0.037
l_d	t	1.0
l_e	ɫ	1.0
m	m	0.941
m	-	0.064
m_a	m	1.0
n	n	0.83
n	-	0.082
n	ə_ŋ	0.062
n	ə	0.038
p͡f	p	0.758
p͡f	f	0.105
s	s	0.756
s	t	0.241
s_a	t	1.0
t	t	0.85
t	k	0.089
x	χ	0.725
x	k	0.257
ç	k	1.0
ç_d	χ	1.0
ŋ	ŋ	1.0
ɐ	ə	0.517
ə	-	1.0
ɡ	χ	0.751
ɡ	-	0.138
ɡ	ŋ	0.059
ɡ	k	0.039
ɡ_a	k	1.0
ɡ_l	ɫ	1.0
ɪ	ə	1.0
ʁ	r	0.879
ʁ	-	0.07
ʁ	s	0.046
ʃ	s	0.826
ʃ	s_k	0.172
ʋ	v	0.678
ʋ	w	0.275
ʋ	-	0.052
ʌ	ə_r	0.778
ʌ	r	0.124
ʌ	-	0.087
ʕ	r	1.0
ʦ	t	1.0
ˈa	ˈa	0.574
ˈa	ˈɑː	0.2
ˈa	ˈœu̯	0.077
ˈa	ˈɛː	0.051
ˈa	ˈɪ	0.051
ˈa_l	ˈœu̯	0.517
ˈae̯	ˈi	0.272
ˈae̯	ˈœɪ̯	0.237
ˈae̯	ˈɪə̯	0.237
ˈae̯	ˈəɪ̯	0.107
ˈae̯	ˈʊə̯	0.107
ˈao̯	ˈʊə̯	0.416
ˈao̯	ˈœɪ̯	0.358
ˈao̯	ˈœu̯	0.086
ˈao̯	ˈɔ	0.071
ˈaː	ˈa	0.322
ˈaː	ˈa_n	0.274
ˈaː	ˈɑː	0.154
ˈaː	ˈɔː	0.116
ˈaː	ˈɛː	0.116
ˈe	ˈə	0.443
ˈe	ˈa	0.174
ˈe	ˈɑː	0.174
ˈe	ˈɛ	0.134
ˈeə̯	ˈi	0.333
ˈeə̯	ˈu	0.333
ˈeə̯	ˈɪə̯	0.333
ˈeː	ˈi	0.4
ˈeː	ˈʊə̯	0.243
ˈeː	ˈə	0.184
ˈeː	ˈɪə̯	0.071
ˈi	ˈə	0.501
ˈi	ˈɛ	0.11
ˈi	ˈɪə̯	0.11
ˈi	ˈəɪ̯	0.088
ˈi	-	0.086
ˈiə̯	ˈi	0.608
ˈiə̯	ˈu	0.37
ˈiː	ˈi	0.488
ˈiː	ˈɪə̯	0.207
ˈiː	ˈu	0.191
ˈo	ˈɔ	0.767
ˈo	ˈɑː	0.084
ˈo	ˈʊə̯	0.084
ˈo	ˈœu̯	0.069
ˈoː	ˈʊə̯	0.582
ˈoː	ˈɪø̯	0.209
ˈoː	ˈoːi̯	0.104
ˈoː	ˈɑː	0.104
ˈu	ˈœ	0.32
ˈu	ˈu	0.242
ˈu	ˈɔ	0.242
ˈu	ˈɔː	0.156
ˈuə̯	ˈu	0.684
ˈuə̯	ˈuː	0.139
ˈuə̯	ˈuːi̯	0.139
ˈuː	ˈu	1.0
ˈɔ	ˈɔ	0.547
ˈɔ	ˈʊə̯	0.415
ˈɔe̯	ˈəɪ̯	0.544
ˈɔe̯	ˈɪə̯_n	0.266
ˈɔe̯	ˈɪə̯	0.175
ˈɔə̯	ˈɔ	1.0
ˈɔː	ˈɑː	0.807
ˈɔː	ˈa	0.087
ˈɔː	ˈɪø̯	0.087
ˈəi̯	ˈəɪ̯	0.466
ˈəi̯	ˈə	0.171
ˈəi̯	ˈyː	0.13
ˈəi̯	ˈœi̯	0.081
ˈəi̯	ˈœɪ̯	0.079
ˈɛ	ˈɛ	0.228
ˈɛ	ˈa	0.198
ˈɛ	ˈɪə̯	0.169
ˈɛ	ˈɑː	0.128
ˈɛ	ˈæː	0.097
ˈɛː	ˈɪə̯	0.551
ˈɛː	ˈɑː	0.292
ˈɛː	ˈɛ	0.124
ˈɪ	ˈə	0.699
ˈɪ	ˈɛ	0.297
ˈʌ	ˈæː	0.574
ˈʌ	ˈɛ	0.297
