Czech	Slovenian	probability
ʧ	ʧ	1.0
ʒ̊	-	1.0
ʒ	ʒ	1.0
ɛː	eː	1.0
ɛ_t	́_t	1.0
z	z	1.0
x_iː	́_x	1.0
v_iː	́_ʋ	1.0
v	ʋ	1.0
t_a	t_a	1.0
s_#>	s_#>	1.0
s	s	1.0
r̝̊	r	1.0
r_iː	ə_r	1.0
r	r	1.0
p	p	1.0
n	n	1.0
m̩	ə_m	1.0
m	m	1.0
l_iː	w	1.0
l_#>	w_#>	1.0
k_iː	ə_k	1.0
f	-	1.0
d̥	d̥	1.0
d_l	l	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔː	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_c	<#_t	1.0
k	k	0.889
l	l	0.833
aː	aː	0.8
ɦ	ɡ	0.722
ʦ	ʦ	0.714
x	x	0.667
r̝	r	0.667
a	a	0.651
ɲ	n	0.6
u	oː_́	0.6
r̩	ə_r	0.6
n_iː	n	0.6
l̩	ə	0.6
j	j	0.583
t	t	0.577
ou̯	uː	0.5
ou̯	oː_̀	0.5
uː	oː	0.444
ɪ	iː	0.429
ɲ	-	0.4
r̩	́_r	0.4
n_iː	ə_n	0.4
l̩	ɔː_́	0.4
ɪ	iː_́	0.357
x	ɡ̊	0.333
uː	ɔ_́	0.333
r̝	̀_r	0.333
o	ɔ	0.316
o	oː_́	0.316
t	t_i	0.308
ʦ	-	0.286
iː	eː_̀	0.286
iː	-	0.286
j	eː	0.25
#>	ɡ̊_#>	0.25
#>	z̥_#>	0.25
#>	w_#>	0.25
#>	a_#>	0.25
ɛ	ɛ	0.232
ɛ	eː_́	0.232
uː	-	0.222
ɪ	i	0.214
u	uː	0.2
u	-	0.2
aː	-	0.2
ɛ	ə	0.196
ɦ	-	0.167
j	-	0.167
o	ɔː	0.158
iː	iː_̀	0.143
a	aː	0.14
a	aː_́	0.116
t	́_t	0.115
ɦ	ɡ_l	0.111
k	-	0.111
ɛ	ɛː	0.107
o	o	0.105
iː	ə	0.095
iː	i_́	0.095
iː	eː	0.095
a	-	0.093
ɛ	eː	0.089
l	w	0.083
l	-	0.083
ɛ	e	0.071
o	oː	0.053
o	-	0.053
