Ukrainian	Ukrainian	probability
ʧʲ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʤ	-	1.0
ʒʲ	ʒ	1.0
ʒ	ʒ	1.0
ʍ	-	1.0
ʋʲ	v	1.0
ʋ_e	v	1.0
ʃʲ	ʃ	1.0
ʃ	-	1.0
ɫ_ʊ	l	1.0
ɫ_e	l	1.0
ɫ_#>	l_ʊ_#>	1.0
ɫ	l	1.0
ɦʲ	ɡ	1.0
ɦ_ɔ	ɡ	1.0
ɦ_#>	ɡ_ʊ_#>	1.0
ɛ_ˈ	ˈ	1.0
ɔ_ˈ	ɔ_ˈ	1.0
ɔ_ɫ	l	1.0
ɔ_tʲ	ʊ_t	1.0
ɔ_#>	ɔ_#>	1.0
ɑ	ɑ	1.0
ɐ_#>	ɑ_#>	1.0
zʲ	z	1.0
z	z	1.0
x	x	1.0
w	v	1.0
t	t	1.0
sʲ	s	1.0
s_#>	s_ʊ_#>	1.0
rʲ	r	1.0
r_ɔ	r_ɑ	1.0
r_e	r	1.0
pʲ	p	1.0
p	p	1.0
n_e	n	1.0
n_#>	n_ʊ_#>	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
lʲ_#>	l_ɪ_#>	1.0
kʲ	k	1.0
k_e	k	1.0
k_#>	k_ʊ_#>	1.0
j_ɑ	ɛ̃	1.0
j_ɐ	ɛ̃	1.0
j	ʊ	1.0
e_#>	i_#>	1.0
dʲ	d	1.0
d	d	1.0
b	b	1.0
<#_ʋ	<#_v	1.0
<#_ɔ	<#_ɔ	1.0
<#_z	<#	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_sʲ	<#_s	1.0
<#_r	<#_r	1.0
<#_lʲ	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_i	<#	1.0
<#_d	<#_d	1.0
<#	<#_j	1.0
s	s	0.923
ˈ	ˈ	0.845
ˈ_#>	ˈ_#>	0.833
ɦ	ɡ	0.833
nʲ	n	0.75
tʲ	t_ɪ	0.7
k	k	0.7
ʧ	ʧ	0.667
u	ɔ̃	0.667
r	r	0.667
lʲ	l	0.667
a	ɑ	0.667
ɛ	ɛ	0.565
#>	ʊ_#>	0.562
ʋ	v	0.556
e	-	0.556
ʊ	u_ˈ	0.5
ʊ	-	0.5
ɐ	ɛ̃	0.5
i	æ	0.489
ɪ	i	0.462
ɔ	ɔ	0.406
#>	ɪ_#>	0.375
ʧ	-	0.333
u	u	0.333
lʲ	lʲ	0.333
a	a	0.333
ɐ	ɑ	0.3
tʲ	t	0.3
k	-	0.3
r	-	0.286
ɪ	ɯ	0.269
ɪ	-	0.269
nʲ	nʲ	0.25
i	ɔ	0.244
ʋ	v_ʊ	0.222
ʋ	-	0.222
e	ɪ	0.222
e	ɛ	0.222
ɐ	-	0.2
ɛ	ɪ	0.174
ɛ	r_ɪ	0.174
ˈ_#>	#>	0.167
ɦ	-	0.167
i	ɛ	0.156
ɔ	ʊ	0.125
ɔ	ɛ	0.125
ɔ	l	0.125
ɔ	-	0.125
ˈ	-	0.1
ɔ	ɑ	0.094
ɛ	r	0.087
s	s_ʊ	0.077
i	-	0.067
#>	ɛ_#>	0.062
