Ukrainian	Ukrainian	probability
ˈ_ʋ	ɪ_ˈ	1.0
ʧʲ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʤ	ʊ_ʧ	1.0
ʒʲ	ʒ	1.0
ʒ	ʒ	1.0
ʍ	-	1.0
ʋʲ	v	1.0
ʋ_e	v	1.0
ʃʲ	ʃ	1.0
ɫ	l	1.0
ɦʲ	ɡ	1.0
ɦ_#>	ɡ_ʊ_#>	1.0
ɛ_ˈ	ˈ	1.0
ɔ_ˈ	ˈ	1.0
ɔ_ɫ	l	1.0
ɔ_#>	ɔ_#>	1.0
ɑ	ɑ	1.0
ɐ_#>	ɑ_#>	1.0
zʲ	z	1.0
z	z	1.0
x	x	1.0
w	v	1.0
t	t	1.0
sʲ	s	1.0
s_#>	s_ʊ_#>	1.0
rʲ	r	1.0
r_ɪ	r	1.0
r_ɔ	ɑ	1.0
r_e	r	1.0
pʲ	p	1.0
p	p	1.0
n_e	n	1.0
n_#>	n_ʊ_#>	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	k	1.0
k_e	k	1.0
k_#>	k_ʊ_#>	1.0
j_ɑ	ɛ̃	1.0
j_ɐ	ɛ̃	1.0
j	ʊ	1.0
e_#>	i_#>	1.0
dʲ	d	1.0
b	b	1.0
<#_ʋ	<#_v	1.0
<#_ɔ	<#_ɔ	1.0
<#_z	<#	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_lʲ	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#	<#_j	1.0
s	s	0.923
d	d	0.882
ɦ	ɡ	0.867
ˈ	ˈ	0.862
ˈ_#>	ˈ_#>	0.833
lʲ	l	0.778
ʋ	v	0.75
tʲ	t_ɪ	0.75
nʲ	n	0.75
k	k	0.7
ʧ	ʧ	0.667
u	ɔ̃	0.667
e	-	0.667
a	ɑ	0.667
ʊ	ɔ̃	0.6
r	r	0.6
#>	ʊ_#>	0.579
ɛ	ɛ	0.565
ɪ	i	0.52
ɐ	ɛ̃	0.5
i	æ	0.468
ɔ	ɔ	0.435
ʊ	u_ˈ	0.4
#>	ɪ_#>	0.368
ʧ	-	0.333
u	u	0.333
a	a	0.333
ɐ	ɑ	0.3
k	-	0.3
ɪ	ɯ	0.28
ʋ	v_ʊ	0.25
tʲ	t	0.25
r	-	0.25
nʲ	nʲ	0.25
i	ɔ	0.234
lʲ	lʲ	0.222
ɪ	-	0.2
ɐ	-	0.2
ɛ	ɪ	0.174
ɛ	r_ɪ	0.174
ˈ_#>	#>	0.167
e	ɪ	0.167
e	ɛ	0.167
ɔ	ʊ	0.152
i	ɛ	0.149
ɦ	-	0.133
d	d_ʊ	0.118
ɔ	l	0.109
i	-	0.106
ˈ	-	0.103
r	ɪ	0.1
ɛ	r	0.087
ɔ	ɛ	0.087
ɔ	r	0.087
s	s_ʊ	0.077
ɔ	ɑ	0.065
ɔ	-	0.065
#>	ɛ_#>	0.053
