Dutch	West Frisian	probability
χ_ə	ɣ_j	1.0
χ_#>	#>	1.0
ˈɛi̯_#>	ˈɛ_j_#>	1.0
ˈɔ_ɾ	ˈoə̯	1.0
ˈɑu̯	-	1.0
ˈɑ_ɫ	ˈɪə̯_l	1.0
ˈyː	j_ˈuə̯	1.0
ˈoː_ɾ	ˈoə̯	1.0
ˈoː_d̥_#>	ˈɪə̯_#>	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ə_ɫ	l	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
w	-	1.0
s_χ	s_k	1.0
s_ɫ	s_l	1.0
p	p	1.0
n_d	n	1.0
m	m	1.0
k_ə	k_j	1.0
k	k	1.0
b	b	1.0
<#_χ	<#_ɡ	1.0
<#_ˈɛi̯	<#_ˈiː	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#_d	<#_t	1.0
#>	s_#>	1.0
t	t	0.949
ɾ	r	0.9
d̥	d̥	0.882
d	d	0.875
v	f	0.857
z	s	0.852
n_d̥	n	0.8
s	s	0.783
ə	ə	0.781
n	n	0.764
ˈœy̯	ˈuː	0.692
v̥_#>	f_#>	0.667
ʋ	ʋ	0.656
ˈɪ	ˈɪ	0.591
χ	χ	0.567
ˈɔ	ˈɔ	0.545
ˈu	ˈuə̯	0.529
ˈɑ	ˈa	0.483
ˈʏ	ˈɪ	0.429
ˈɛi̯	ˈi	0.4
ˈɛ	ˈɛ	0.391
ˈoː	ˈɪə̯	0.375
ˈɛi̯	ˈiː	0.333
ˈeː	-	0.333
v̥_#>	#>	0.333
ˈi	ˈiə̯	0.316
ˈʏ	ˈɛː	0.286
ˈʏ	-	0.286
ʋ	v	0.281
ˈɛ	ˈɪ	0.261
ˈaː	ˈiə̯	0.25
ˈaː	ˈaː	0.25
ˈaː	-	0.25
ˈu	ˈiə̯	0.235
ˈu	-	0.235
ˈɪ	ˈi	0.227
ˈeː	ˈiə̯	0.222
s	s_k	0.217
ˈoː	-	0.208
χ	ɣ	0.2
n_d̥	n_ə	0.2
ˈeː	ˈɪə̯	0.185
ˈɔ	ˈu	0.182
n	ə	0.164
ˈi	ˈɪə̯	0.158
ˈi	j	0.158
ˈi	-	0.158
ə	-	0.156
ˈœy̯	ˈyː	0.154
ˈœy̯	-	0.154
v	-	0.143
ˈɑ	ˈɛː	0.138
ˈɑ	ˈaː	0.138
ˈɑ	-	0.138
ˈɛi̯	ˈɪ	0.133
ˈɛi̯	j	0.133
ˈɛ	ˈɛi̯	0.13
ˈɛ	ˈa	0.13
ˈoː	ˈuː	0.125
ˈoː	ˈoə̯	0.125
d̥	-	0.118
ˈeː	ˈaː	0.111
ˈi	ˈɪ	0.105
ˈi	j_ˈɪ	0.105
ˈɑ	ˈɔː	0.103
χ	-	0.1
ɾ	-	0.1
ˈɪ	ˈɔ	0.091
ˈɪ	ˈiː	0.091
ˈɔ	ˈuː	0.091
ˈɔ	ˈoə̯	0.091
ˈɔ	-	0.091
ˈɛ	ˈɔ	0.087
ˈoː	ˈeː	0.083
ˈoː	j	0.083
ˈaː	ˈɪə̯	0.083
ˈaː	ˈoə̯	0.083
ˈaː	ˈa	0.083
ˈeː	ˈɪ	0.074
ˈeː	ˈi	0.074
z	ɕ	0.074
z	-	0.074
n	-	0.073
χ	z	0.067
χ	j	0.067
ʋ	-	0.062
ə	v	0.062
d	ʦ_j	0.062
d	-	0.062
t	-	0.051
