Proto-Slavic	Čakavian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ɲ	ɲ	1.0
ɨ̌	î	1.0
ɡ_ŭ	k	1.0
ɡ	ɡ	1.0
ɛ̌	î	1.0
ɛ̂ː	îː	1.0
ɛˀ	î	1.0
z	z	1.0
x	x	1.0
v_ŭ	ǎː_ʋ	1.0
v	ʋ	1.0
ŭ̂_v	ʋ	1.0
ŭ_#>	#>	1.0
ŭ	a	1.0
t_ĭ_#>	t_#>	1.0
t	t	1.0
s	s	1.0
r_ŭ	a_r	1.0
p	p	1.0
ǒ	ô	1.0
õː	uː	1.0
ôː_l	l_âː	1.0
ôː	ôː	1.0
o_l	l_aː	1.0
n	n	1.0
m_ĭ	a_n	1.0
m	m	1.0
l_ŭ_#>	l_#>	1.0
k_t	c	1.0
k	k	1.0
ĭ̌_r	r̩̂	1.0
ĭ̂_l	ûː	1.0
ĭ̂	-	1.0
ĭˀ	-	1.0
ĭ_#>	#>	1.0
i	i	1.0
ẽ̂ː	êː	1.0
ẽː	eː	1.0
ẽ	e	1.0
ê	ê	1.0
d_ŭ	t	1.0
d	d	1.0
b_ŭ_#>	p_#>	1.0
b	b	1.0
aˀ	â	1.0
a	a	1.0
<#_t	<#_t	1.0
<#_s	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
r	r	0.905
o	o	0.882
l	l	0.765
e	e	0.733
ǎ	â	0.714
ô	ô	0.6
ĭ	a	0.5
ĭ	-	0.5
ô	ôː	0.4
ǎ	a	0.286
e	ê	0.133
e	-	0.133
o	ô	0.118
l	ǔː	0.118
l	-	0.118
r	r̩̂	0.095
