East Low German	Eastphalian	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_j	1.0
<#_kʰ	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_r	1.0
<#_tʰ	<#_t	1.0
<#_v	<#_v	1.0
<#_z	<#_z	1.0
<#_ɡ	<#_ɣ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈae̯	<#_ˈɛɪ̯	1.0
<#_ˈuː	<#_ˈuː	1.0
<#_ˈɒː	<#_ˈɒː	1.0
<#_ˈɪ	<#_ˈɪ	1.0
b	b	1.0
d	-	1.0
d_#>	d_#>	1.0
f_#>	f_#>	1.0
k_n	k_n	1.0
l	l	1.0
l_ˈae̯	l_ˈɛɪ̯	1.0
n_t	n_t	1.0
r	r	1.0
r_ˈɔʏ̯	r_ˈøː	1.0
r_ˈɪ	r_ˈɪ	1.0
r_ˈʏ	r_ˈʏ	1.0
t_#>	d_#>	1.0
t_n	t_n	1.0
v	v	1.0
w	w	1.0
x	x	1.0
x_#>	x_#>	1.0
æ_m	ɐ_m	1.0
æ_n	ɐ_n	1.0
ç_#>	ə	1.0
ŋ_k	ŋ_#>	1.0
ɪ	ɪ	1.0
ɾ	d	1.0
ɾ_æ	ɐ	1.0
ˈa	ˈa	1.0
ˈa_n	ˈa_n	1.0
ˈae̯	ˈɛɪ̯	1.0
ˈae̯_#>	ˈɛɪ̯_#>	1.0
ˈaʊ̯_#>	ˈaʊ̯_#>	1.0
ˈiː_#>	ˈiː_#>	1.0
ˈiː_æ	ˈɛɪ̯_ɐ	1.0
ˈoː_æ	ˈɒː_ɐ	1.0
ˈuː	ˈuː	1.0
ˈuː_#>	ˈuː_#>	1.0
ˈuː_æ	ˈoː_ɐ	1.0
ˈyː	ˈyː	1.0
ˈœ	ˈœ	1.0
ˈœː	ˈoː	1.0
ˈɒː	ˈɒː	1.0
ˈɒː_m	ˈoː_m	1.0
ˈɔ	ˈɔ	1.0
ˈɔʏ̯	ˈɔʏ̯	1.0
ˈɛ	ˈɛ	1.0
ˈɪ	ˈɪ	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈʊ	ˈʊ	1.0
ˈʊ_n	ˈʊ_n	1.0
ˈʏ	ˈʏ	1.0
ˈʏ_n	ˈʏ_n	1.0
t	t_#>	0.571
ˈaʊ̯	ˈeo̯	0.611
ˈaː	ˈa_ɐ	0.571
n	n_#>	0.762
k	k_#>	0.583
l_#>	l_ə	0.333
æ	r_ə	0.083
ŋ	ŋ_ə	0.143
ʃ_#>	ʃ_ə	0.333
ˈiː	ˈeː	0.133
<#_ʃ	<#_ʃ	0.4
s	z_ə	0.214
t	t	0.214
t	t_ə	0.214
ç	ç_#>	0.714
ŋ	n	0.214
p	p	0.5
p	p_#>	0.5
s	s_#>	0.5
ˈɛː	ˈeː	0.5
ˈɛː	ˈɛː	0.5
<#_ʃ	<#_s	0.6
m	v_n	0.176
m	m_ə	0.176
s	s	0.286
ç	ɣ_ə	0.286
ŋ	ŋ	0.286
k	k_ə	0.417
l_#>	l_#>	0.667
æ	ɐ_#>	0.917
ŋ	ŋ_#>	0.357
ʃ_#>	ʃ_#>	0.667
ˈiː	ˈiː	0.867
m	m_n	0.118
m	m	0.529
n	n	0.119
n	n_ə	0.119
ˈaʊ̯	ˈaʊ̯	0.389
ˈaː	ˈaː	0.429
