Icelandic	Bavarian	probability
θ	d̥_ˈu	1.0
ˈʏː	-	1.0
ˈɛi̯_t͡n̥_#>	ˈoɐ̯_#>	1.0
ˈɔː	-	1.0
ˈɑːu̯	-	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈuː_a	ŋ	1.0
ˈu	ˈu	1.0
ˈou̯	-	1.0
ˈiː_r̥_#>	#>	1.0
ˈiː	ˈai̯	1.0
ˈi	ˈi	1.0
ˈeːi̯	-	1.0
ˈau̯	-	1.0
ˈai̯	-	1.0
ʰk	ŋ_ɡ̊	1.0
ʏ_r̥_#>	#>	1.0
ʏ_#>	ə_#>	1.0
ʏ	a	1.0
ɪ_r̥	a	1.0
ɣ	ɡ̊	1.0
ɡ̊ː	ɡ̊	1.0
ɡ̊_ʏ	a	1.0
ɟ̊ː	-	1.0
ɛ	-	1.0
ŋ	ŋ	1.0
ç	h	1.0
x	-	1.0
v_ʏ	b̥	1.0
v_a	m	1.0
u	-	1.0
t͡n̥	n	1.0
t͡l̥	j	1.0
tʰ	ʦ	1.0
s_ˈa	s_ˈo	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r̥_t	ɐ_ʦ	1.0
r̥_#>	#>	1.0
p_ʏ_r̥_#>	f_#>	1.0
p	f	1.0
n_#>	#>	1.0
kʰ_v	ʋ	1.0
kʰ	kʰ	1.0
k_#>	#>	1.0
j_ˈɛː	ˈi	1.0
j_ˈuː	ˈiɐ̯	1.0
j_a	n	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
cʰ	kʰ	1.0
c	-	1.0
b̥	b̥	1.0
<#_θ	<#_d̥	1.0
<#_ˈɛ	<#_ˈe	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_v	<#_ʋ	1.0
<#_r̥	<#_r	1.0
<#_n	<#_n	1.0
<#_l̥	<#_l	1.0
<#_d̥	<#_d̥	1.0
<#	<#_ʋ	1.0
m	m	0.917
ð	d̥	0.897
ɪ	-	0.833
n	n	0.824
a	a	0.818
ˈuː	ˈau̯	0.8
ɡ̊	ɡ̊	0.8
t	s	0.778
l	l	0.76
s	s	0.75
k	x	0.75
ˈoːu̯	ˈuɐ̯	0.727
ˈaːi̯	-	0.714
ˈɔ	ˈo	0.667
ˈœːy̯	-	0.667
l̥	j	0.667
#>	ə_#>	0.667
nː	n	0.625
a_#>	n_#>	0.619
ˈɛːi̯	ˈoɐ̯	0.6
ˈaː	ˈɒː	0.6
ɟ̊	ɡ̊	0.6
j_ˈoːu̯	ˈiɐ̯	0.6
ˈɪː	-	0.571
r	r	0.568
r̥	ɐ	0.556
ˈɛ	-	0.545
ˈɪ	ˈi	0.5
ˈɛː	ˈeː	0.5
ˈɔu̯	x	0.5
ˈɔu̯	-	0.5
ˈɑu̯	ˈɑ	0.5
ˈɑu̯	-	0.5
ˈɛ	ˈe	0.455
j	-	0.438
ˈɪː	ˈi	0.429
ˈɛːi̯	-	0.4
ɟ̊	-	0.4
v	β	0.4
v	ʋ	0.4
j_ˈoːu̯	ˈeː	0.4
a_#>	#>	0.381
ʰt	ʦ	0.375
ʰt	x_d̥	0.375
nː	n_d̥	0.375
r	ɐ	0.351
ˈʏ	ˈu	0.333
ˈʏ	ˈo	0.333
ˈʏ	-	0.333
ˈɔ	-	0.333
ˈœːy̯	ˈou̯	0.333
l̥	l	0.333
#>	ŋ_#>	0.333
ˈaːi̯	ˈiɐ̯	0.286
ˈa	ˈo	0.286
ˈoːu̯	-	0.273
ˈɛː	ˈi	0.25
ˈɛː	ˈe	0.25
ʰt	d̥	0.25
k	-	0.25
j	ˈe	0.25
l	j	0.24
r̥	r	0.222
r̥	a	0.222
ˈɪ	ˈu	0.214
ˈa	ˈɑ	0.214
ˈa	-	0.214
ˈuː	-	0.2
ˈaː	ˈɑː	0.2
ˈaː	ˈɑ	0.2
ɡ̊	-	0.2
v	-	0.2
s	ʃ	0.188
j	ˈeː	0.188
a	ŋ	0.182
n	-	0.176
ɪ	a	0.167
ˈɪ	ˈo	0.143
ˈɪ	-	0.143
ˈa	ˈe	0.143
ˈa	ˈa	0.143
j	ˈiɐ̯	0.125
t	ʦ	0.111
t	d̥	0.111
ð	-	0.103
m	m_ˈo	0.083
r	-	0.081
s	d̥	0.062
