Portuguese	Ligurian	probability
b	b	0.787
b	ʤ	0.141
b	b_ˈe	0.067
d	d	1.0
ẽ	e	0.494
f	f	1.0
i	i	0.545
i	-	0.188
i	e	0.151
i_ʃ	s	1.0
ĩ	i_ŋ	1.0
j	-	0.616
j	j	0.193
j	i	0.103
j_ʃ	ʃ	0.723
j_ʃ	ˈiː	0.205
j̃	-	0.375
j̃	i	0.187
j̃	ˈi	0.187
j̃	n	0.122
j̃	a	0.083
k	k	1.0
l	l	0.952
m	m	0.983
n	n	0.889
n	ŋ	0.093
o	w	0.185
o	ɔː	0.185
õ	u	0.494
p	p	0.984
s	s	0.834
t	t	0.878
t	ŋ_t	0.072
u	u	0.851
u	-	0.069
u_ʃ	i	1.0
ũ	u	0.494
v	v	0.717
v	-	0.072
v	b	0.059
v	ʒ	0.057
w	w	0.516
w	-	0.262
w	u	0.121
w	e	0.088
w̃	ŋ	0.876
w̃	-	0.106
z	z	0.347
z	ʒ	0.257
z	n	0.169
z	-	0.152
ð	t	0.471
ð	-	0.33
ð	d	0.168
ɐ	a	0.764
ɐ	-	0.128
ɐ̃	u	0.427
ɐ̃	a	0.245
ɐ̃	ˈeː	0.151
ɐ̃	j	0.093
ɔ	ˈeː	0.45
ɔ	ɔː	0.223
ɔ	w	0.126
ɡ	ɡ	0.873
ɡ	ŋ_ɡ	0.111
ɣ	ɡ	0.862
ɣ	-	0.083
ɣ	s	0.054
ɨ	e	0.727
ɨ	-	0.123
ɫ	-	0.416
ɫ	r	0.362
ɫ	l	0.156
ɲ	ɲ	0.468
ɲ	ŋ	0.428
ɲ	ʃ	0.089
ɾ	r	0.529
ɾ	-	0.279
ɾ	j	0.125
ɾ_ˈa	ˈa	0.06
ɾ_ˈi	ˈaː	1.0
ɾ_ˈɐ	ˈaː	0.494
ʁ	r	0.837
ʁ	n	0.103
ʁ	-	0.06
ʃ	-	0.261
ʃ	s	0.246
ʃ	ʒ_e	0.219
ʃ	ʃ	0.134
ʃ	ʧ	0.071
ʎ	ʤ	0.788
ʎ	w	0.133
ʎ	-	0.076
ʒ	z	0.692
ʒ	ʤ	0.238
ʒ	ʒ	0.063
ˈa	ˈaː	0.418
ˈa	ˈa	0.388
ˈa	-	0.1
ˈa	ˈɛː	0.074
ˈa_j	ˈa	1.0
ˈa_ð	ˈɛː	0.776
ˈa_ð	ˈaː	0.173
ˈa_ɫ	ˈaː	1.0
ˈa_ɾ	ˈaː	1.0
ˈe	ˈe	0.557
ˈe	ˈiː	0.127
ˈe	ˈeː	0.11
ˈe	ˈɛː	0.089
ˈe	-	0.075
ˈe_ɾ	e	1.0
ˈẽ	ˈe_ŋ	0.5
ˈẽ	ˈe	0.315
ˈẽ	ˈa	0.181
ˈi	ˈi	0.519
ˈi	ˈiː	0.162
ˈi	ˈe	0.085
ˈi	i	0.074
ˈi	ˈɛ	0.064
ˈi_ɾ	ˈiː	1.0
ˈĩ	ˈe	0.561
ˈĩ	ˈi	0.425
ˈo	ˈu	0.236
ˈo	ˈø	0.204
ˈo	ˈøː	0.177
ˈo	ˈɔː	0.104
ˈo	ˈuː	0.081
ˈo	ˈy	0.075
ˈo	ˈɔ	0.071
ˈo_w	ˈɔː	0.74
ˈo_w	ˈaː	0.137
ˈo_ɾ	ˈuː	1.0
ˈõ	ˈu_ŋ	0.815
ˈõ	ˈu	0.149
ˈu	ˈyː	0.283
ˈu	ˈu	0.201
ˈu	ˈy	0.19
ˈu	ˈuː	0.165
ˈu	ˈɔ	0.06
ˈu	ˈø	0.051
ˈu	ˈi	0.051
ˈu_ɾ	ˈyː	1.0
ˈũ	-	0.185
ˈũ	ˈy	0.185
ˈɐ	ˈa	0.403
ˈɐ	ˈe	0.299
ˈɐ	-	0.13
ˈɐ	ˈɛ	0.13
ˈɐ_j	ˈeː	0.843
ˈɐ_j	ˈɛː	0.131
ˈɐ̃	ˈa	0.387
ˈɐ̃	ˈa_ŋ	0.312
ˈɐ̃	ˈu	0.15
ˈɐ̃	-	0.059
ˈɐ̃	ˈe_ŋ	0.059
ˈɔ	ˈøː	0.198
ˈɔ	ˈɔ	0.198
ˈɔ	ˈɔː	0.187
ˈɔ	ˈuː	0.169
ˈɔ	w	0.108
ˈɛ	ˈeː	0.283
ˈɛ	ˈe	0.272
ˈɛ	ˈɛ	0.181
ˈɛ	ˈɛː	0.175
ˈɛ	-	0.068
ˈɨ	ˈe	0.66
ˈɨ	ˈi	0.161
β	v	0.636
β	-	0.161
β	r_v	0.107
β	ʧ	0.082
β_ˈɐ	v	1.0
