Russian	Russian	probability
ˈ_#>	ˈ_#>	1.0
ʐ̊	ʒ	1.0
ʊ	ʊ	1.0
ʉ	u	1.0
ʂ	ʃʲ	1.0
ɫ_ɨ	ɫ_e	1.0
ɫ_#>	ɫ_#>	1.0
ɪ_ɫ	ɔ_ɫ	1.0
ɡ̊_#>	#>	1.0
ɡʲ	ɦ	1.0
ɡ_ə	ɦʲ	1.0
ɡ	ɦ	1.0
ɛ	i	1.0
ə_ɫ	ɔ_ɫ	1.0
ɕː	ʃ_ʧ	1.0
ɐ_r	ɔ_r	1.0
ɐ	ɔ	1.0
æ	ɑ	1.0
z̥	z	1.0
zʲ	z	1.0
xʲ	x	1.0
x	x	1.0
u	u	1.0
t_#>	t_#>	1.0
t	t	1.0
s_#>	s_#>	1.0
r	r	1.0
p	p	1.0
nʲ	nʲ	1.0
n_o	nʲ_i	1.0
n_#>	n_#>	1.0
n	n	1.0
m	m	1.0
lʲ_i	ɫ_ɪ	1.0
lʲ	lʲ	1.0
kʲ	k	1.0
j	j	1.0
i	ɪ	1.0
fʲ	-	1.0
f	-	1.0
d̥ʲ	-	1.0
d̥_#>	d_#>	1.0
d	d	1.0
b̥ʲ	-	1.0
b̥	b	1.0
b	b	1.0
a_ˈ	ɐ	1.0
<#_ɐ	<#_ɔ	1.0
<#_vʲ	<#_ʋ	1.0
<#_u	<#_w_u	1.0
<#_j	<#_j	1.0
ˈ	ˈ	0.98
k	k	0.905
a	ɑ	0.903
s	s	0.875
dʲ	d	0.875
ə_#>	ɔ_#>	0.846
o_ˈ	ɔ_ˈ	0.846
z	z	0.8
vʲ	ʋʲ	0.778
ɫ	ɫ	0.765
ʐ	ʒ	0.75
bʲ	b	0.75
rʲ	r	0.727
ʨ	ʧ	0.714
pʲ	p	0.714
ɵ	ɛ	0.7
mʲ	m	0.667
v	ʋ	0.632
ə	ɐ	0.625
o	i	0.625
<#_r	<#_r	0.6
e	i	0.548
sʲ	sʲ	0.545
ʦ	ʦʲ	0.5
ʦ	ʦ	0.5
tʲ	tʲ	0.48
sʲ	s	0.455
ɨ	ɪ	0.4
ɨ	e	0.4
<#_r	<#_rʲ	0.4
e	ɛ	0.387
ə	ɔ	0.375
mʲ	mʲ	0.333
ɵ	-	0.3
pʲ	pʲ	0.286
tʲ	t_e	0.28
ɪ	i	0.273
ɪ	e	0.273
rʲ	rʲ	0.273
ʐ	ʒʲ	0.25
o	ɔ	0.25
bʲ	bʲ	0.25
tʲ	t	0.24
vʲ	ʋ	0.222
v	w	0.211
z	zʲ	0.2
ɪ	ɛ	0.182
ɪ	ɐ	0.182
v	ʋʲ	0.158
ə_#>	ɛ_#>	0.154
ʨ	ʧʲ	0.143
ʨ	ʤ	0.143
s	sʲ	0.125
o	ɪ	0.125
dʲ	dʲ	0.125
ɨ	ɪ_ˈ	0.12
ɫ	ʍ	0.118
ɫ	ʋ	0.118
a	a	0.097
k	kʲ	0.095
ɪ	ɪ	0.091
ɨ	i	0.08
o_ˈ	ɔ	0.077
o_ˈ	e_ˈ	0.077
e	-	0.065
