Dutch	Afrikaans	probability
χ_ɾ	χ_r	1.0
χ_ə_n	ˈɛː	1.0
ˈʏ	ˈœ	1.0
ˈɛi̯	ˈəɪ̯	1.0
ˈɑu̯	ˈœu̯	1.0
ˈɑ	ˈa	1.0
ˈœy̯	ˈœɪ̯	1.0
ˈyː	ˈyː	1.0
ˈu	ˈu	1.0
ˈi	ˈi	1.0
ˈaː	ˈɑː	1.0
ʋ	v	1.0
ɾ_ˈɪ	r_ˈə	1.0
ɾ	r	1.0
ɫ	ɫ	1.0
ɪ	ə	1.0
ɦ	ɦ	1.0
ə_ɫ	ɫ	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z	s	1.0
w	-	1.0
v̥	v̥	1.0
t_ə	t	1.0
s_χ	s_k	1.0
s	s	1.0
p	p	1.0
m	m	1.0
k	k	1.0
j	j	1.0
d_ə	d̥	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
d	d	0.952
χ	χ	0.93
ˈɔ	ˈɔ	0.923
ˈɪ	ˈə	0.913
d̥	d̥	0.909
ˈeː	ˈɪə̯	0.846
ˈoː	ˈʊə̯	0.824
v	v̥	0.806
t	t	0.796
n	n	0.596
ə	ə	0.5
ə	-	0.5
n	-	0.367
ˈɛ	ˈɛ	0.35
ˈɛ	ˈæ	0.35
t	-	0.204
ˈɛ	ˈæː	0.2
ˈɛ	-	0.1
v	v	0.097
v	-	0.097
d̥	-	0.091
ˈoː	ˈɪø̯	0.088
ˈoː	-	0.088
ˈɪ	-	0.087
ˈɔ	-	0.077
ˈeː	ˈəɪ̯	0.077
ˈeː	-	0.077
χ	-	0.07
