Štokavian	Polish	probability
ʧ	ʈ͡ʂ	1.0
ʦ	ʦ	1.0
ʎ	l	1.0
ɲ	ɲ	1.0
ɡ_#>	k_#>	1.0
ɡ	ɡ	1.0
x	x	1.0
û	ˈu	1.0
t_i	ʨ	1.0
s_#>	s_#>	1.0
r̩̂ː	r	1.0
r̂ː	ˈa_r	1.0
p	p	1.0
ǒ	ˈɔ	1.0
ô	ˈɔ	1.0
o	ɔ	1.0
k	k	1.0
j_ěː	ˈɛ	1.0
j_êː	ˈa	1.0
îː	ˈɨ	1.0
iː	ɨ	1.0
i	ɨ	1.0
ěː	ˈa	1.0
eː	ɛ_ɲ	1.0
d_#>	t_#>	1.0
ǎː	ˈɔ	1.0
a_k	k_i	1.0
<#_ʋ	<#_v	1.0
<#_t	<#_ʨ	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_ô	<#_ˈɔ	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
m	m	0.8
#>	ɨ_#>	0.8
j	j	0.714
b	b	0.714
ʋ	v	0.688
r	r	0.667
î	ˈi	0.667
t	t	0.652
l	w	0.652
ê	ˈɛ	0.625
n	n	0.615
d	d	0.615
a	a	0.613
z	z	0.6
s	ɕ	0.6
e_#>	ɛ_#>	0.6
ûː	ˈɔ	0.571
ě	ˈɛ	0.556
ʒ	ʐ	0.5
ʒ	w̃_ʂ	0.5
ôː	ˈɔ	0.5
ôː	ˈu	0.5
âː	ˈɔ	0.5
âː	ˈu	0.5
ûː	ˈu	0.429
êː	ˈɛ	0.429
z	ʑ	0.4
s	s	0.4
e_#>	ɛ_w̃_#>	0.4
n	ɲ	0.385
d	ʥ	0.385
ê	ˈa	0.375
t	ʨ	0.348
l	l	0.348
î	ˈɨ	0.333
e	ˈɔ	0.333
e	ˈa	0.333
e	ɛ	0.333
â	ˈɛ	0.333
â	ˈɔ	0.333
â	ˈa	0.333
ʋ	f	0.312
j	-	0.286
êː	ˈa	0.286
êː	j_ˈɛ	0.286
b	m_p	0.286
r	ʐ	0.222
ě	ˈɔ	0.222
ě	ɛ	0.222
m	m_j	0.2
#>	i_#>	0.2
a	ɛ	0.161
a	-	0.161
r	ʂ	0.111
a	j_ɛ	0.065
