Swiss German	Wymysorys	probability
ˈɒ_r	ˈi̯ø	1.0
ˈøː	-	1.0
ˈøi̯	-	1.0
ˈø	ˈɛ	1.0
ˈæː	ˈɑ_n	1.0
ˈæi̯	ˈa	1.0
ˈyə̯	ˈi	1.0
ˈuː	ˈɑi̯	1.0
ˈu_kː	ˈɘ̟_k	1.0
ˈu	ˈu	1.0
ˈe	ˈɛ	1.0
ʦ	ʦ	1.0
ʒ̊	ʃ	1.0
ʋ_ˈu	v	1.0
ʋ	v	1.0
ʃː_tː	s_t	1.0
ʃː_#>	ʃ_#>	1.0
ɣ̊	k	1.0
v̥	f	1.0
sː	s	1.0
p͡f	f	1.0
pː	-	1.0
m	m	1.0
i	-	1.0
h	h	1.0
fː	f	1.0
b̥_ə	v_ɛ	1.0
b̥_#>	#>	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_r	1.0
#>	n_#>	1.0
tː	t	0.952
n	n	0.917
ˈuə̯	ˈʏ	0.818
l	w	0.81
ˈiː	ˈai̯	0.8
r	r	0.792
b̥	b	0.789
ˈi	ˈɘ̟	0.722
χː	x	0.682
z̥	z	0.679
ˈoː	ˈu	0.667
ˈau̯	ˈɑi̯	0.667
kː	k	0.667
ˈɒ	ˈɑ	0.625
ˈy	ˈɘ̟	0.625
d̥	d	0.609
ˈo	ˈu	0.545
ˈiə̯	ˈi	0.5
ˈiə̯	-	0.5
ˈeː	ˈei̯	0.5
ˈeː	-	0.5
ˈæ	ˈɑ	0.471
ə	a	0.467
ˈɒː	ˈɔ	0.444
ɡ̊	ɡ	0.419
d̥	d̥	0.391
ˈɒ	ˈɔ	0.375
ˈy	-	0.375
ˈɒː	ˈø	0.333
ˈau̯	-	0.333
kː	-	0.333
z̥	s	0.321
ˈyː	ˈi	0.308
ˈyː	-	0.308
ŋ	ŋ	0.3
ŋ	n_d̥	0.3
ɡ̊	ɡ̊	0.29
ˈo	ˈø	0.273
ə	ɛ	0.233
ˈyː	ˈɑi̯	0.231
ɡ̊	-	0.226
ˈɒː	ˈɑ	0.222
ˈiː	-	0.2
ə	-	0.2
ŋ	ŋ_ɡ̊	0.2
ŋ	ŋ_ɟ	0.2
ˈuə̯	ˈi	0.182
ˈo	-	0.182
ˈæ	ˈɛ	0.176
ˈæ	ˈa	0.176
ˈæ	-	0.176
ˈoː	ˈø	0.167
ˈoː	-	0.167
ˈi	ˈei̯	0.167
ˈyː	ˈɑi̯_ɛ	0.154
χː	ç	0.136
l	l	0.119
r	-	0.113
ˈi	ˈi	0.111
b̥	v	0.105
b̥	b̥	0.105
χː	k	0.091
χː	-	0.091
n	-	0.083
l	-	0.071
ɡ̊	ɟ	0.065
r	r_ˈai̯	0.057
