Swabian	Swabian	probability
ˈʌ	ˈɛː_ʀ	1.0
ˈɪ	ˈɪː	1.0
ˈɛ_n	n	1.0
ˈɔː	ˈɒː	1.0
ˈɔə̯	ˈɔ	1.0
ˈuː	-	1.0
ˈuə̯_d	ˈʊː_j	1.0
ˈeː	-	1.0
ˈeə̯	-	1.0
ˈa_l	ˈaː_j	1.0
ʦ	t	1.0
ʣ	t	1.0
ʋ	β	1.0
ʁ	ʀ	1.0
ɪ	-	1.0
ɡ_ʁ	ɣ_ʀ	1.0
ɡ_s	s	1.0
ɡ_#>	ɣ̊_#>	1.0
ç_d	x	1.0
x_d	x	1.0
t	d̥	1.0
p͡f	p	1.0
n_#>	ə_#>	1.0
n	n	1.0
l_b	v̥	1.0
kʰ	k	1.0
j	j	1.0
i	ɪ	1.0
h	ɦ	1.0
f_ˈi	v	1.0
eə̯	i	1.0
e_#>	#>	1.0
b̥͡f	-	1.0
b_a	v_ə	1.0
<#_ˈɛ	<#	1.0
<#_ʁ	<#_ʀ	1.0
#>	n_#>	1.0
m	m	0.917
a	ə	0.9
ʕ	ʀ	0.8
l	l	0.773
b	b	0.75
ˈɛː	ˈeː	0.714
ˈiə̯	ˈeː	0.714
ŋ	ŋ	0.7
ˈɔ	ˈɔ	0.667
ˈiː	-	0.667
ç	k	0.667
x	k	0.667
f	v	0.636
ˈɔe̯	ˈɛː	0.615
ˈuə̯	ˈʊː	0.6
ˈao̯	ˈuː	0.6
ʌ	ə_ʀ	0.583
ˈe	ˈɪː	0.571
d_ʁ	d	0.571
ɡ	ɣ	0.556
ˈəi̯	ˈiː	0.5
ˈəi̯	-	0.5
ˈi	ˈeː	0.5
ˈae̯	-	0.5
ʃ_d	s_t	0.5
ʃ_d	s	0.5
ʃ	s	0.458
ˈaː	ˈaː	0.444
ˈe	-	0.429
d_ʁ	d_ʀ	0.429
ˈuə̯	ˈøː	0.4
d	d	0.4
s	z	0.395
s	t	0.395
ˈoː	ˈu	0.385
ˈoː	-	0.385
ˈɛ	ˈeː	0.375
ˈo	ˈʊː	0.375
ˈa	ˈɑ	0.37
d	d̥	0.369
ˈɔ	ˈʊː	0.333
ˈu	ˈœ	0.333
ˈiː	ˈøː	0.333
ˈaː	-	0.333
ˈa	ˈaː	0.333
ʌ	ʀ	0.333
ʃ	ʃ	0.333
ç	ə_k	0.333
x	x	0.333
ˈɛ	-	0.312
ˈo	-	0.312
ˈi	ˈɛː	0.3
ˈae̯	ʀ	0.3
ŋ	ŋ_k	0.3
ɡ	k	0.296
ˈɛː	-	0.286
ˈiə̯	-	0.286
f	p	0.273
ˈao̯	ˈɔu̯	0.267
ˈo	ˈɔ	0.25
ˈɔe̯	ˈɛː_n	0.231
ˈoː	ˈoː	0.231
ˈu	ˈʊː	0.222
ˈu	ˈɔ	0.222
ˈu	-	0.222
ˈaː	ˈɑː_n	0.222
s	z̥	0.209
ʃ	z	0.208
ˈi	ˈɪ	0.2
ˈae̯	ˈɛː	0.2
ʕ	ʀ_ə	0.2
ˈɛ	ˈæː	0.188
b	v̥	0.167
ˈɔe̯	ˈɛːi̯	0.154
ˈao̯	-	0.133
ˈɛ	ˈɪ	0.125
ˈa	ˈɑː	0.111
ˈa	-	0.111
a	-	0.1
d	-	0.092
l	l_ə	0.091
f	ə_v̥	0.091
ʌ	ˈøː_ʀ	0.083
m	-	0.083
b	v_ə	0.083
d	j	0.077
ˈa	ˈæː	0.074
ɡ	ɡ	0.074
ɡ	ŋ	0.074
l	ə_l	0.068
ˈo	ˈʊ	0.062
d	t	0.062
