Polish	Lower Sorbian	probability
ʦ	ʦ	1.0
ʥ	ʑ	1.0
ʑ	z	1.0
ʐ̊_ɨ	ɕ_i	1.0
ʐ̊	ʐ̊	1.0
ʂ	-	1.0
ɨ	ɨ	1.0
ɡ̊	ɡ̊	1.0
ɛ_ɲ	e	1.0
ɛ_ŋ	u	1.0
ɛ_w̃	ɪ	1.0
ɕ	s	1.0
ɔ_w̃	u	1.0
ɔ_m	u	1.0
x	x	1.0
w̃	-	1.0
v_ɔ	v_ɛ	1.0
v_j	vʲ	1.0
u_l	ɔ_l	1.0
s	s	1.0
p_j	pʲ	1.0
m_j	mʲ	1.0
m	m	1.0
l_a	l_ɛ	1.0
l	l	1.0
k_a	k_a	1.0
j_ɛ	a	1.0
j_a	ɪ	1.0
j	-	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
<#_ʐ	<#	1.0
<#_ɔ	<#_v_ɛ	1.0
<#_v	<#	1.0
<#_j	<#_j	1.0
<#	<#_k	1.0
ʨ	ɕ	0.909
t	t	0.895
w	w	0.885
r	r	0.885
k	k	0.875
a	a	0.84
n	n	0.833
ɡ	ɡ	0.824
b	b	0.818
z	z	0.8
v	v	0.8
ɔ	ɔ	0.717
ʐ	rʲ	0.7
i	i	0.692
ʈ͡ʂ	ʦ	0.667
f	-	0.667
ɲ	ɲ	0.636
u	ɔ	0.526
ɛ_#>	ɛ_#>	0.5
ɛ_#>	ɔ_#>	0.5
u	u	0.474
p	p	0.455
ɲ	-	0.364
ʈ͡ʂ	-	0.333
f	vʲ	0.333
ɛ	e	0.306
ʐ	ʐ	0.3
p	pʲ	0.273
p	-	0.273
ɛ	ɛ	0.245
z	-	0.2
v	vʲ	0.2
b	bʲ	0.182
ɡ	-	0.176
ɔ	ɛ	0.17
n	-	0.167
i	ɨ	0.154
i	-	0.154
ɛ	a	0.143
k	kʲ	0.125
a	ɪ	0.12
w	-	0.115
r	ʂ	0.115
t	-	0.105
ɛ	ɪ	0.102
ʨ	ʨ	0.091
ɛ	-	0.082
ɔ	-	0.075
ɛ	ɨ	0.061
ɛ	ɔ	0.061
