Galician	Emilian	probability
a	a	0.451
a	ˈɛ	0.217
a	-	0.177
a	ˈaː	0.112
b	v	0.666
b	b	0.298
d	d	1.0
e	-	0.585
e	e	0.111
e	a	0.105
e	i	0.096
f	f	0.947
f	b	0.053
i	-	0.593
i	i	0.339
i	ˈiː	0.068
j	-	0.389
j	ˈɛ	0.289
j	u	0.133
j	ˈaː	0.068
j	j	0.06
k	k	0.91
k	b	0.053
l	l	0.911
l	j_l	0.061
m	m	0.767
m	z	0.078
m	n	0.06
n	n	0.555
n	ŋ	0.396
o	u	0.534
o	-	0.286
o	j	0.099
p	p	0.91
r	r	0.593
r	-	0.373
s	s	0.79
s	z	0.089
s	-	0.081
t	t	0.957
u	u	0.927
u	ˈo	0.073
v	v	1.0
w	w	0.522
w	-	0.243
w	l	0.135
w	o	0.099
ð	d	0.459
ð	t	0.254
ð	-	0.244
ŋ	ŋ	0.868
ŋ	-	0.104
ɐ	a	0.868
ɐ	-	0.132
ɑ	a	1.0
ɔ	o	1.0
ɡ	ɡ	1.0
ɣ	ɡ	0.826
ɣ	-	0.174
ɪ	e	0.638
ɪ	a	0.229
ɪ	-	0.132
ɲ	ɲ	0.603
ɲ	ŋ	0.397
ɾ	r	0.886
ɾ	-	0.091
ʃ	ð	0.367
ʃ	s	0.315
ʃ	z	0.16
ʃ	-	0.086
ʃ	ʤ	0.071
ʊ	-	0.931
ʎ	j	0.388
ʎ	ʧ	0.345
ʎ	-	0.107
ʎ	r	0.079
ʧ	f_j	0.348
ʧ	ʧ	0.248
ʧ	p_j	0.248
ʧ	p	0.156
ˈa	ˈɛ	0.549
ˈa	ˈaː	0.257
ˈa	ˈa	0.194
ˈe	ˈa	0.269
ˈe	-	0.191
ˈe	e	0.125
ˈe	ˈæ	0.123
ˈe	ˈiː	0.11
ˈe	j	0.054
ˈi	ˈe	0.511
ˈi	ˈiː	0.184
ˈi	-	0.099
ˈi	ˈa	0.066
ˈi	e	0.051
ˈo	ˈɔ	0.224
ˈo	ˈʌu̯	0.182
ˈo	ˈʌ	0.166
ˈo	ˈɔː	0.156
ˈo	ˈo	0.088
ˈo	ˈaː	0.059
ˈo	ˈuː	0.054
ˈu	ˈo	0.576
ˈu	ˈuː	0.309
ˈu	ˈʌu̯	0.058
ˈɑ	ˈa	0.698
ˈɑ	ˈɛ	0.194
ˈɑ	ˈaː	0.108
ˈɔ	ˈɔː	0.439
ˈɔ	ˈɔ	0.181
ˈɔ	ˈʌ	0.114
ˈɔ	ˈuː	0.095
ˈɔ	ˈʌu̯	0.088
ˈɔ	ˈo	0.084
ˈɛ	ˈɛ	0.453
ˈɛ	ˈɛː	0.243
ˈɛ	ˈa	0.099
ˈɛ	ˈæ	0.098
ˈɛ	ˈiː	0.078
β	v	0.675
β	-	0.129
β	p	0.095
β	b	0.086
θ	θ	0.391
θ	z	0.247
θ	s	0.172
θ	-	0.17
