Gan	Gan	probability
ʨ	k	1.0
ʔ	-	1.0
ɵ_t̚	ɛ	1.0
ɥ	y	1.0
ɛ_w	e	1.0
ɛ_t̚	ɛ	1.0
ɛ_n	i_ŋ	1.0
ɕ	s	1.0
ɔ_ʔ	ɔ	1.0
²	⁴²	1.0
z̩	i	1.0
y	y	1.0
u_ʔ	y	1.0
t̚_⁵	²⁴	1.0
p	p	1.0
nʲ	n	1.0
m	m	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ɛ	j_a	1.0
h	x	1.0
f	x	1.0
e	y	1.0
a_j	ɛ	1.0
<#_ɵ	<#_œ	1.0
<#_nʲ	<#_ŋ	1.0
<#_h_ɔ	<#_ɔ	1.0
<#_f	<#	1.0
⁴²	⁵⁴	0.939
n	ŋ	0.926
ŋ	ŋ	0.923
¹¹	⁵⁵	0.818
ʦʰ	ʦʰ	0.8
s	s	0.8
³⁵	³³	0.75
²¹³	²¹	0.75
a	a	0.731
ɔ	ɔ	0.714
l	l	0.714
tʰ	tʰ	0.7
⁵	²⁴	0.636
ʦ	ʦ	0.625
j	-	0.619
<#	<#_x	0.6
²⁴	³³	0.571
u	ɔ	0.529
w	w	0.526
pʰ	pʰ	0.5
pʰ	p	0.5
o	o	0.5
o	-	0.5
ʨʰ	k	0.429
ɵ	j	0.429
ɨ	-	0.429
²⁴	²¹	0.429
i	i	0.4
i	e_j	0.4
<#	<#_w	0.4
ʦ	t	0.375
⁵	⁴²	0.364
w	u	0.316
tʰ	t	0.3
u	u	0.294
ʨʰ	ʦʰ	0.286
ʨʰ	ʦ	0.286
ɵ	u_j	0.286
ɵ	-	0.286
ɨ	u	0.286
ɨ	j	0.286
ɔ	a	0.286
l	n	0.286
³⁵	²¹	0.25
j	ɛ	0.238
ʦʰ	t	0.2
s	-	0.2
i	j	0.2
²¹³	³³	0.188
¹¹	⁴²	0.182
u	œ_ɥ	0.176
w	-	0.158
j	j	0.143
a	w	0.115
ŋ	-	0.077
a	y	0.077
a	j	0.077
n	j_ŋ	0.074
²¹³	⁵⁵	0.062
⁴²	-	0.061
