Kashubian	Slovenian	probability
ˈɛ_s	éː_s	1.0
ˈu	óː	1.0
ˈõ	óː	1.0
ˈi	ìː	1.0
ˈa_ŋ	ɛ̀ː	1.0
ʧ_i	ə_k	1.0
ʧ	ʧ	1.0
ʤ	k	1.0
ʣ	d	1.0
ʒ	ʒ	1.0
ʐ	r	1.0
ʃ	ʃ	1.0
ɲ	n	1.0
ɡ	ɡ	1.0
ə_#>	m_#>	1.0
ə	i	1.0
ɔ_#>	óː_#>	1.0
ɔ	ɔ	1.0
ŋ	-	1.0
z	z	1.0
x	x	1.0
w_i	w	1.0
v_j	ʋ	1.0
v	ʋ	1.0
u	-	1.0
t	t	1.0
s	s	1.0
r	r	1.0
p_#>	p_#>	1.0
p	p	1.0
n	n	1.0
l_#>	w_#>	1.0
l	l	1.0
k	k	1.0
j_ˈɞ	èː	1.0
j_ˈɛ	ə́	1.0
i_#>	#>	1.0
d	d	1.0
b	b	1.0
a_ŋ	éː	1.0
a	a	1.0
<#_ʦ	<#_t	1.0
<#_r	<#_r	1.0
m	m	0.846
j	j	0.667
ˈɞ	ɔ́ː	0.6
ˈə	íː	0.6
ˈe	èː	0.6
u̯ɛ	óː	0.6
w	l	0.529
ɛ	ɛ	0.5
u̯ˈɛ	ɔ̀ː	0.5
u̯ˈɛ	o	0.5
ˈɞ	àː	0.4
ˈə	ìː	0.4
ˈe	éː	0.4
ʦ	t	0.4
u̯ɛ	ɔ	0.4
ˈɔ	ɔ̀ː	0.333
ˈɔ	óː	0.333
ˈɔ	áː	0.333
ˈa	éː	0.333
ʦ	t_i	0.333
j	-	0.333
w	w	0.294
ʦ	ʦ	0.267
ˈɛ	ɛ̀ː	0.25
ˈɛ	éː	0.25
ˈɛ	e	0.25
ˈɛ	-	0.25
ɛ	ə	0.25
ɛ	éː	0.25
w	-	0.176
ˈa	r	0.167
ˈa	èː	0.167
ˈa	e	0.167
ˈa	-	0.167
m	ə	0.154
