Czech	Ukrainian	probability
ˈɪ	ˈɪ	1.0
ˈuː	ˈi	1.0
ˈr̩	ˈɛ_r	1.0
ˈou̯	ˈu	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ɲ	nʲ	1.0
ɪ	ˈɪ	1.0
ɦ	ɦ	1.0
ɛ_t	ɔ_tʲ	1.0
ɛ_#>	ɛ_#>	1.0
z	z	1.0
x_#>	ɦ_#>	1.0
x	x	1.0
t_#>	d_#>	1.0
s_#>	s_#>	1.0
r̝̊	r	1.0
p_#>	b_#>	1.0
m̩	m	1.0
m	m	1.0
l_ˈu	ˈɔ	1.0
k_#>	k_#>	1.0
f	w	1.0
a_#>	ɐ_#>	1.0
a	ˈɑ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_c	<#_tʲ	1.0
<#	<#_w	1.0
#>	ɐ_#>	1.0
k	k	0.882
d	d	0.867
p	p	0.833
o_#>	ɔ_#>	0.833
s	s	0.714
r	r	0.667
ˈu	ˈu	0.6
b	b	0.6
ˈiː	ˈi	0.571
r̝	r	0.571
t	t	0.56
iː	e_j	0.55
v	ʋ	0.524
ˈɛː	ˈi	0.5
ˈɛː	ɔ	0.5
ˈa	ˈɑ	0.5
ʃ	ʒ	0.5
ʃ	ʃ	0.5
j	j	0.5
c	ʧ	0.5
c	tʲ	0.5
l	ɫ	0.484
ˈiː	ˈɪ	0.429
r̝	rʲ	0.429
ˈu	ʊ	0.4
ˈo	ɔ	0.4
n	n	0.4
b	bʲ	0.4
iː	j	0.35
ˈɛ	ˈi	0.333
ˈaː	ˈɑ	0.333
ˈaː	ɐ	0.333
ˈaː	r_ˈɔ	0.333
n	nʲ	0.333
ˈo	ˈɔ	0.3
ˈo	ˈi	0.3
l	lʲ	0.29
s	sʲ	0.286
n	n_e	0.267
ˈa	ˈɔ	0.25
ˈa	ɐ	0.25
j	ˈi	0.25
j	ʋʲ	0.25
t	tʲ	0.24
ˈɛ	ˈɛ	0.233
ɛ	i	0.231
t	t_e	0.2
v	ʋʲ	0.19
v	w	0.19
r	ɔ	0.167
r	rʲ	0.167
p	pʲ	0.167
o_#>	ˈɔ_#>	0.167
l	ɔ_ɫ	0.161
ɛ	ˈɔ	0.154
ɛ	ˈɑ	0.154
ɛ	ˈi	0.154
ɛ	ɐ	0.154
ɛ	-	0.154
ˈɛ	ɛ	0.133
d	-	0.133
k	kʲ	0.118
ˈɛ	ˈɔ	0.1
iː	ˈɪ_j	0.1
v	zʲ	0.095
ˈɛ	ˈɑ	0.067
ˈɛ	i	0.067
ˈɛ	e	0.067
l	ˈɔ	0.065
