Eastphalian	Standard German	probability
ˈøː	-	1.0
ˈyː	ˈɔʏ̯	1.0
ˈaː	-	1.0
ˈaʊ̯	ˈuː	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
ç	ç	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
w	v	1.0
v_n	b_n	1.0
t_n	s_n	1.0
p_#>	f_#>	1.0
m	m	1.0
l	l	1.0
h	h	1.0
b_m	f_n	1.0
b	b	1.0
<#_ˈɛɪ̯	<#_ˈaɪ̯	1.0
<#_n	<#_n	1.0
#>	b̥_#>	1.0
r	ʁ	0.931
ɐ	ɐ	0.927
v	v	0.92
f	f	0.871
n	n	0.868
ˈa	ˈa	0.857
ŋ	ŋ	0.846
ɣ	ɡ	0.818
ˈɪ	ˈɪ	0.786
ˈuː	ˈaʊ̯	0.786
s	ʃ	0.765
j	ɡ	0.75
ˈiː	ˈaɪ̯	0.733
ˈɔʏ̯	ˈyː	0.667
ə	ə	0.652
ˈeo̯	ˈoː	0.636
ˈœ	-	0.6
ˈɛ	ˈɛ	0.583
ˈɒː	ˈaː	0.562
d̥	d̥	0.519
ˈʏ	ˈʏ	0.5
ˈʏ	-	0.5
ˈʊ	ˈʊ	0.5
p	p͡f	0.5
p	f	0.5
nː	n_ə	0.5
nː	d_n	0.5
d̥	t	0.481
d	d	0.452
ˈoː	-	0.444
ˈɛɪ̯	ˈiː	0.44
k	kʰ	0.424
d	tʰ	0.419
ˈɔ	ˈɔ	0.417
ˈœ	ˈœ	0.4
t	t	0.378
ˈɛː	ˈaː	0.375
ˈɛː	-	0.375
ˈeo̯	ˈaʊ̯	0.364
ə	-	0.348
ˈɔʏ̯	ˈuː	0.333
ˈɔ	ˈʊ	0.333
ˈoː	ˈɔ	0.333
ˈeː	ˈɛ	0.333
ˈeː	ˈeː	0.333
ˈeː	-	0.333
t	ʦ	0.333
ˈɛɪ̯	ˈaɪ̯	0.32
t	s	0.289
ˈʊ	ˈɔ	0.286
ˈɛː	ˈɛ	0.25
ˈɛ	ˈɪ	0.25
ˈɔ	ˈa	0.25
j	j	0.25
s	s	0.235
ˈoː	ˈoː	0.222
ˈʊ	-	0.214
ˈuː	-	0.214
k	ç	0.212
k	k	0.212
ˈɒː	ˈa	0.188
ɣ	-	0.182
ˈɛ	ˈaː	0.167
ˈɛɪ̯	ˈeː	0.16
ŋ	ɡ_n	0.154
k	x	0.152
ˈiː	ˈiː_ɐ	0.133
ˈiː	-	0.133
f	b̥	0.129
d	t	0.129
ˈɒː	ˈoː	0.125
ˈɒː	-	0.125
ˈɪ	ˈaɪ̯	0.107
ˈɪ	-	0.107
n	ə_n	0.103
ˈɛɪ̯	-	0.08
v	b	0.08
ɐ	d_ɐ	0.073
ˈa	ˈaː	0.071
ˈa	-	0.071
r	ʁ_ˈɔʏ̯	0.069
