Upper Sorbian	Polish	probability
ʨ	ʨ	1.0
ʧ	ʈ͡ʂ	1.0
ʦ	ʦ	1.0
ʥ	ʥ	1.0
ʒ̊	ʐ̊	1.0
ʀʲ	ʐ	1.0
ʀ	r	1.0
ɲ	ɲ	1.0
ɔ_ʀ	a_r	1.0
ɔ_w	u_w	1.0
xʲ	x	1.0
t	t	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m_j	1.0
m	m	1.0
l	l	1.0
kʲ	k	1.0
k	k	1.0
e_t	a_t	1.0
e_s	ɛ_ɕ	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
a_w	a_v	1.0
<#_ʒ	<#_ʐ	1.0
<#_w_ɔ	<#_ɔ	1.0
<#_t	<#_t	1.0
<#_j	<#_j	1.0
#>	w̃_#>	1.0
a	a	0.886
ɦ	ɡ	0.882
ɛ	ɛ	0.875
ɪ	ɨ	0.793
ɔ	ɔ	0.739
s	s	0.719
ɥ	v_j	0.667
z	z	0.667
o	ɔ	0.615
ɔ_#>	ɛ_#>	0.6
e	ɛ	0.588
x	x	0.583
w	w	0.559
i	i	0.529
ʃ	ʐ̊	0.5
ʃ	ʂ	0.5
i	ɨ	0.471
ɔ_#>	#>	0.4
o	u	0.385
w	v	0.382
u	u	0.375
z	ʑ	0.333
e	a	0.294
s	ɕ	0.281
x	ɡ̊	0.25
u	ɔ	0.25
ɔ	ɛ	0.174
ɥ	v	0.167
ɥ	f_j	0.167
x	k_j	0.167
ɛ	a	0.125
u	ɛ_ŋ	0.125
u	ɔ_w̃	0.125
u	w̃	0.125
ɦ	ɡ_j	0.118
e	j_a	0.118
ɪ	ɛ	0.103
ɪ	i	0.103
ɔ	u	0.087
a	ɛ	0.068
w	f	0.059
