Piedmontese	Ladin	probability
f	f	1.0
m	m	1.0
p	p	1.0
ɲ	ɲ	1.0
ˈy	ˈu	1.0
ˈø	w_ˈɛ	1.0
a	a	0.871
n	n	0.991
t	t	0.911
z	ʒ	0.361
ˈa	ˈa	0.771
ˈe	-	0.051
ˈi	ˈi	0.821
ˈɛ	ˈe	0.331
j	-	0.182
j	j	0.482
z	s	0.062
ŋ	ŋ	0.202
ˈɛ	ˈɛ	0.582
a	-	0.083
b	b	0.853
i	i	0.403
v	-	0.113
w	-	0.943
ʧ	-	0.643
ˈu	ˈo_w	0.133
ˈu	ˈo	0.733
d	d_j	0.074
d	-	0.094
e	e	0.824
ʤ	ʥ	0.154
ʤ	ʒ	0.694
ˈi	ˈɛ	0.144
ˈɛ	e	0.054
k	k	0.455
u	o	0.965
ɡ	-	0.135
ɡ	ɡ	0.485
ˈu	-	0.085
i	-	0.506
k	ʨ	0.506
r	r	0.96
s	ʦ	0.056
s	ʃ	0.256
t	d	0.076
ʤ	ɡ	0.106
ˈɔ	ˈɔ	0.626
b	-	0.147
d	d	0.807
v	f	0.07
w	w	0.057
z	ʃ	0.577
ʧ	ʨ	0.357
ˈe	ˈɛ	0.147
ˈɔ	w	0.247
e	-	0.108
j	d_l	0.078
j	l	0.258
l	l	0.978
v	v	0.808
ŋ	n	0.798
ɡ	k	0.38
ˈa	ˈɛ	0.178
ˈɔ	ˈe	0.128
e	ˈi	0.069
i	e	0.09
s	ʨ	0.109
s	s	0.519
ˈe	ˈe	0.739
