French	Old French	probability
ʒ	ʤ	1.0
ʃ	ʧ	1.0
ʁ_w	r_ˈɔ	1.0
ʁ_i	r_ˈi	1.0
ɲ	ɲ	1.0
ɥ_i	ˈy_j	1.0
ɥ	ˈy	1.0
ɡ	ɡ	1.0
ɛ_ʁ	ˈɛ_r	1.0
ə	ə	1.0
ɔ_ʁ	ˈɔ_r	1.0
ɔ_l	u_l	1.0
z	z	1.0
y_#>	ˈy_#>	1.0
v	v	1.0
t_#>	t_ə_#>	1.0
s_ɛ	s_ˈɛ	1.0
p	p	1.0
o_#>	ˈɛ_l_#>	1.0
n_#>	n_ə_#>	1.0
n	n	1.0
m_#>	m_ə_#>	1.0
m	m	1.0
l_#>	l_ə_#>	1.0
l	l	1.0
k_#>	k_#>	1.0
j_ɛ	j_ˈɛ	1.0
j_#>	ʎ_#>	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a_ʁ	j_r	1.0
a_m	ˈã_m	1.0
a_j	ˈa_ʎ	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_ã	1.0
ʁ	r	0.938
w	ˈɔ	0.769
k	k	0.76
t	t	0.75
i	ˈi	0.714
œ	w_ˈɛ	0.667
s	s	0.625
a_#>	j_ə_#>	0.625
ɔ̃	ˈũ	0.533
ɛ_#>	ˈa_j_s_#>	0.5
ɛ_#>	ˈa_j_#>	0.5
u	ˈu	0.5
#>	ə_#>	0.486
y	ˈy	0.444
ø	w	0.429
ɑ̃	ˈẽ_n	0.421
u	u	0.4
ɔ	ˈũ	0.385
ɛ̃	ˈã_j	0.381
a_#>	j_s_#>	0.375
a	ˈa	0.368
o	ˈa_w	0.364
a	j	0.342
ɔ̃	ˈũ_n	0.333
œ	ˈu	0.333
y	ə_ˈy	0.333
s	ʦ	0.333
j	ʎ	0.333
j	j	0.333
e	e	0.303
a	a	0.289
ɛ̃	ˈĩ	0.286
ø	ˈe_w	0.286
ø	l_ʦ	0.286
o	ˈɔ_s	0.273
e	ˈe_r	0.273
ɑ̃	ˈã_n	0.263
t	s_t	0.25
y	ˈỹ	0.222
e	ˈe	0.212
j	j_ˈẽ	0.2
ɛ̃	n	0.19
o	ˈɔ	0.182
o	ˈa_l	0.182
#>	t_#>	0.157
ɛ	ˈe	0.156
ɔ	ˈɔ_r	0.154
ɔ	ˈɔ	0.154
ɔ	ɔ	0.154
ɔ	u	0.154
e	j_ˈe	0.152
ɛ̃	j_n	0.143
ɔ̃	ˈũ_ŋ	0.133
j	ˈɛ	0.133
#>	n_#>	0.129
ɛ	ˈɛ	0.125
ɛ	ˈã_j	0.125
ɛ	j	0.125
k	s_k	0.12
k	k_w	0.12
i	i	0.114
ɑ̃	ˈẽ	0.105
ɑ̃	ˈã_ŋ	0.105
ɑ̃	ã_n	0.105
u	ˈɔ_l	0.1
#>	s_#>	0.1
ɛ	ˈɛ_s	0.094
ɛ	ˈa	0.094
ɛ	ɛ	0.094
ɛ	j_ˈɛ	0.094
ɛ	a_j	0.094
i	ˈĩ	0.086
i	j_t	0.086
w	ˈũ	0.077
w	ˈõ	0.077
w	ɔ	0.077
e	r	0.061
