Westphalian	English	probability
b	b	0.884
b	p	0.064
b	v	0.055
d	d	0.656
d	θ	0.218
d	ð	0.089
d	-	0.031
f	f	0.944
f	v	0.056
h	h	1.0
j	j	1.0
k	ʧ	0.348
k	k	0.269
k	kʰ	0.131
k	-	0.114
k	ʤ	0.062
k_n	k	1.0
l	l	0.49
l	ɫ	0.466
l	θ	0.033
l	-	0.029
l_ə	ɫ	1.0
m	m	0.932
m	-	0.055
m	v	0.033
n	n	0.63
n	-	0.355
p	p	0.918
p	d	0.071
r	ɹ	0.957
r	-	0.047
s	s	0.869
s	k_s	0.067
s	-	0.045
s	z	0.035
t	t	0.598
t	d	0.195
t	tʰ	0.171
t	θ	0.032
t_n	t	1.0
v	v	0.708
v	w	0.199
w	w	0.934
w	-	0.066
x	ɡ	0.619
x	f	0.108
x	t	0.108
x	-	0.102
x	j	0.046
x_t	t	1.0
z	z	1.0
ç	-	0.744
ç	t	0.184
ŋ	ŋ	0.849
ŋ	-	0.143
ɐ	ə	0.919
ɐ	-	0.057
ɐ	əʊ̯	0.036
ə	-	0.935
ə	ə	0.065
ɡ	-	1.0
ɣ	-	0.594
ɣ	ʤ	0.392
ɪ	ɪ	1.0
ʃ	s	0.66
ʃ	ʃ	0.337
ʃ_k	ʃ	1.0
ˈa	ˈæ	0.43
ˈa	ˈaɪ̯	0.132
ˈa	ˈɒ	0.115
ˈa	ˈɔː	0.115
ˈa	ˈɑː	0.076
ˈa_x	ˈeɪ̯	1.0
ˈa_ɐ	ˈɑː	1.0
ˈaɪ̯	ˈiː	0.594
ˈaɪ̯	ˈaɪ̯	0.146
ˈaɪ̯	ˈəʊ̯	0.097
ˈaɪ̯	ˈe	0.075
ˈaɪ̯	ˈɪ	0.075
ˈaʊ̯	ˈiː	0.343
ˈaʊ̯	ˈe	0.245
ˈaʊ̯	ˈaɪ̯	0.182
ˈaʊ̯	ˈuː	0.104
ˈaʊ̯	ˈaʊ̯	0.061
ˈaː	ˈeɪ̯	0.336
ˈaː	ˈɑː	0.336
ˈaː	ˈɔː	0.292
ˈeː	ˈəʊ̯	0.398
ˈeː	ˈe	0.136
ˈeː	ˈuː	0.136
ˈeː	ˈɔː	0.136
ˈeː	ˈɐ	0.095
ˈiə̯	ˈɪ	1.0
ˈiɛ̯	ˈe	0.239
ˈiː	ˈaɪ̯	0.46
ˈiː	ˈɪ	0.267
ˈiː	ˈiː	0.207
ˈiː	j	0.062
ˈoː	ˈɐ	0.361
ˈoː	ˈuː	0.283
ˈoː	ˈʊ	0.187
ˈoː	ˈəʊ̯	0.114
ˈuə̯	ˈaʊ̯	0.323
ˈuə̯	ˈʊ	0.323
ˈuː	ˈaʊ̯	0.724
ˈuː	ˈaɪ̯	0.127
ˈuː	ˈɐ	0.086
ˈuːə̯	ˈɐ	0.326
ˈuːə̯	ˈɔː	0.183
ˈuːə̯	ˈɒ	0.105
ˈuːə̯	ˈɜː	0.105
ˈuːə̯	ˈe	0.064
ˈyː	ˈaɪ̯	0.594
ˈyː	ˈɪ	0.253
ˈyːœ̯	ˈəʊ̯	1.0
ˈø	ˈe	0.489
ˈøː	ˈiː	1.0
ˈœː	ˈɔː	0.371
ˈœː	ˈɪ	0.181
ˈɒː	ˈɛ	0.489
ˈɔ	ˈəʊ̯	0.412
ˈɔ	ˈɒ	0.312
ˈɔ	ˈɔː	0.125
ˈɔ	ˈe	0.085
ˈɔː	ˈiː	0.429
ˈɔː	ˈeɪ̯	0.173
ˈɔː	ˈɪ	0.15
ˈɔː	ˈuː	0.099
ˈɔː	ˈɛ	0.074
ˈɛ	ˈe	0.196
ˈɛ	ˈeɪ̯	0.196
ˈɛ	ˈɪ	0.171
ˈɛ	ˈaɪ̯	0.141
ˈɛ	ˈæ	0.085
ˈɛː	ˈɑː	0.548
ˈɛː	ˈɛ	0.361
ˈɛː	ˈɜː	0.046
ˈɪ	ˈɪ	0.652
ˈɪ	ˈaɪ̯	0.212
ˈɪ	ˈe	0.098
ˈɪ	ˈəʊ̯	0.038
ˈɪə̯	ˈe	0.298
ˈɪə̯	ˈaɪ̯	0.167
ˈɪə̯	ˈəʊ̯	0.082
ˈɪɛ̯	ˈe	0.308
ˈɪɛ̯	ˈəʊ̯	0.139
ˈɪɛ̯	ˈɪ	0.139
ˈɪɛ̯	ˈiː	0.1
ˈɪɛ̯	ˈɑː	0.093
ˈʊ	ˈɐ	0.451
ˈʊ	ˈʊ	0.279
ˈʊ	ˈaʊ̯	0.257
ˈʏ	ˈɪ	0.776
ˈʏ	ˈəʊ̯	0.171
