Meixian	Sichuanese	probability
⁵	²¹	1.0
ʨʰ	ʨʰ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʊ_k̚	u	1.0
ʊ	o	1.0
ɕ	ɕ	1.0
ɔ_k̚	o	1.0
ç	ʨʰ	1.0
¹¹	²¹	1.0
¹	²¹	1.0
z̩	z̩	1.0
z	-	1.0
w	w	1.0
u_t̚	u	1.0
t̚_¹	²¹	1.0
pʰ	pʰ	1.0
n	n	1.0
kʰ	kʰ	1.0
e	ə	1.0
cʰ	ʨʰ	1.0
c	ʨ	1.0
a_m	a_n	1.0
a_k̚	ɛ	1.0
<#_ʋ	<#_w	1.0
<#_l	<#_n	1.0
⁵³	²¹³	0.917
³¹	⁵³	0.913
ŋ	ŋ	0.905
⁴⁴	⁵⁵	0.889
s	s	0.846
ɔ	a	0.8
a	a	0.767
m	m	0.714
h	x	0.714
tʰ	tʰ	0.667
k	k	0.667
f	f	0.667
ɛ	ɛ	0.625
p	p	0.625
ɲ	z	0.6
o	a	0.6
j	j	0.6
u	ə	0.583
i	i	0.565
t	ʦ	0.5
t	t	0.5
a_ŋ	ə_n	0.5
a_ŋ	i_n	0.5
u	u	0.417
ɲ	nʲ	0.4
o	o	0.4
ɛ	-	0.375
p	f	0.375
<#	<#_ʦ	0.375
<#	<#_ŋ	0.375
tʰ	t	0.333
k	ʨ	0.333
f	x	0.333
m	n	0.286
h	kʰ	0.286
j	-	0.267
<#	<#_w	0.25
ɔ	w_a	0.2
i	z̩	0.174
a	ɛ	0.167
s	-	0.154
j	ɥ	0.133
⁴⁴	⁵³	0.111
ŋ	-	0.095
³¹	w_⁵³	0.087
i	y	0.087
i	j_ə	0.087
i	j	0.087
⁵³	⁵⁵	0.083
a	j_a	0.067
