Gallurese	Romanian	probability
ʦː	-	1.0
ʣ	-	1.0
ʒ	ʦ	1.0
ɲː_u	m_n	1.0
ɲː	n	1.0
ɟː	-	1.0
ɟ	ʒ	1.0
ɖː_u_#>	l_#>	1.0
ɖː_a	e̯ˈa	1.0
ŋ	-	1.0
z	s	1.0
v	v	1.0
u_#>	#>	1.0
t_u_#>	t_#>	1.0
sː	s	1.0
s	s	1.0
rː_u	r_n	1.0
rː	r	1.0
r	r	1.0
p_u_#>	p_#>	1.0
p	p	1.0
o	-	1.0
nː	n	1.0
n_u_#>	n_#>	1.0
mː	m	1.0
m	m	1.0
l_u_#>	r_#>	1.0
k	k	1.0
j_#>	j_#>	1.0
i_m	i_m	1.0
i_#>	#>	1.0
f	f	1.0
cː	kʲ	1.0
b	b	1.0
a_r	e_r	1.0
a_#>	#>	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɟ	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_z	1.0
<#	<#_j	1.0
t	t	0.905
ˈu	ˈu	0.818
n	n	0.794
ʧ	ʧ	0.789
d	d	0.783
a	ə	0.755
ˈa	ˈa	0.723
ˈe	ˈe	0.722
ɖː	-	0.714
l	r	0.7
j	l	0.667
i	e	0.647
ɡ	ɡ	0.583
tː	p_t	0.583
ˈo	ˈo	0.556
ʃː	ʃ_t	0.5
ʃː	-	0.5
<#_a	<#_a	0.5
<#_a	<#	0.5
#>	r_e_#>	0.469
ˈo	ˈu	0.444
#>	e_#>	0.438
tː	t	0.417
ˈi	ˈi	0.394
ˈɔ	ˈo	0.387
u	u	0.372
ˈɛ	ˈi	0.333
j	j	0.333
ˈɔ	ˈu	0.323
l	l	0.3
ˈɔ	o̯ˈa	0.29
ɖː	l	0.286
u	e	0.279
ˈɛ	ˈe	0.25
ɡ	k	0.25
ʧ	-	0.211
ˈa	ˈɨ	0.191
ˈu	ˈo	0.182
ˈɛ	j_ˈe	0.167
ˈe	-	0.167
ɡ	-	0.167
u	w	0.163
ˈi	e_r	0.152
ˈi	-	0.152
d	-	0.13
ˈi	ˈi_r	0.121
n	-	0.118
i	-	0.118
ˈe	j	0.111
i	ə	0.098
t	ʦ	0.095
a	-	0.094
#>	j_#>	0.094
u	-	0.093
ˈi	ˈə	0.091
ˈi	ˈe	0.091
n	j_n	0.088
d	z	0.087
ˈa	-	0.085
ˈɛ	ˈɨ	0.083
ˈɛ	e̯ˈa	0.083
ˈɛ	-	0.083
i	i	0.078
i	ˈi	0.059
a	ˈa	0.057
a	a	0.057
