Dutch	Dutch	probability
χ_#>	k_#>	1.0
ˈʏ	ˈœ	1.0
ˈøː	ˈaː	1.0
ˈyː	ˈyː	1.0
ˈoː_ɾ	ˈɔː	1.0
ˈoː_m	m	1.0
ˈi_ɾ	ˈiː_ɐ	1.0
ˈaː_n	n	1.0
ʋ	ʋ	1.0
ɦ	h	1.0
ə_ɾ	ɐ	1.0
ə_ɫ	ɫ	1.0
ə_n	ə	1.0
z̥	z̥	1.0
w	ˈøʏ̯	1.0
v_ə	v	1.0
s_χ	ʃ	1.0
n_d	ŋ	1.0
m	m	1.0
j	j	1.0
i	e	1.0
d̥_#>	#>	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_ʀ	1.0
<#_n	<#_n	1.0
v	f	0.857
z	z	0.8
n	n	0.756
ŋ	ŋ	0.75
d̥	d̥	0.733
s	ʃ	0.727
ˈi	ˈeː	0.706
ˈu	ˈoː	0.688
ˈɑ	ˈa	0.667
k	k	0.636
ɫ	l	0.608
ˈɑu̯	ˈa_ɫ	0.6
ˈœy̯	ˈuː	0.583
ə	-	0.583
v̥	v̥	0.583
χ_t	ɕ	0.571
p	p	0.571
ˈɪ	ˈe	0.52
ɾ	ʀ	0.478
χ	j	0.438
χ_t	x	0.429
ˈɛi̯	-	0.429
p	f	0.429
ə	ə	0.417
ɾ	ɐ	0.413
ˈaː	ˈoː	0.409
ˈɑu̯	ˈɔʊ̯	0.4
ɫ	ɫ	0.392
t	s	0.386
ˈɔ	ˈɔ	0.375
ˈɔ	ˈo	0.375
ˈɛ	ˈɛ	0.368
ˈɛi̯	ˈiː	0.357
ˈɪ	ˈɪ	0.32
t	ʦ	0.318
ˈɛ	-	0.316
ˈu	ˈøː	0.312
ˈi	-	0.294
ˈoː	ˈuː	0.292
ˈeː	ˈeː	0.28
ˈaː	-	0.273
k	ɕ	0.273
d̥	ɡ̊	0.267
ˈœy̯	-	0.25
ŋ	ŋ_ɡ̊	0.25
v̥	f	0.25
t	t	0.25
n	ŋ	0.244
ˈɑ	ˈaː	0.233
ˈaː	ˈaː	0.227
χ	ɕ	0.219
ˈɛi̯	ˈeɪ̯	0.214
z	ʃ	0.2
ˈœy̯	ˈɔʊ̯	0.167
ˈoː	ˈɔʊ̯	0.167
ˈoː	ˈyː	0.167
ˈoː	-	0.167
v̥	-	0.167
ˈeː	ˈɛː	0.16
ˈeː	ˈɛ	0.16
ˈeː	ˈeɪ̯	0.16
ˈeː	-	0.16
ˈɛ	ˈɛː	0.158
ˈɛ	ˈe	0.158
v	v	0.143
ˈɔ	ˈʊ	0.125
ˈɔ	-	0.125
ˈoː	ˈoː	0.125
ɾ	-	0.109
ˈɑ	ˈɛ	0.1
χ	ɣ̊	0.094
χ	ɣ	0.094
χ	-	0.094
ˈaː	ˈa	0.091
s	s	0.091
s	k_s	0.091
s	-	0.091
k	x	0.091
ˈoː	ˈɔ	0.083
ˈɪ	ˈeː	0.08
ˈɪ	ˈa	0.08
ˈeː	ˈɛ_d	0.08
χ	x	0.062
