Westphalian	West Flemish	probability
aɪ̯	iə̯	1.0
b	b	0.978
d	d	0.618
d	d̥	0.35
f	v	0.926
f	v̥	0.074
h	-	1.0
j	j	1.0
k	k	0.919
k	ɦ	0.072
l	l	0.697
l	w	0.271
m	m	0.907
m	-	0.057
n	n	0.943
p	p	0.956
r	ɾ	1.0
s	z	0.592
s	s	0.394
t	t	0.737
t	ɾ_t	0.129
t	d̥	0.084
v	ʋ	0.682
v	v	0.245
v	v̥	0.073
x	ɦ	0.677
x	h	0.323
z	z	0.594
z	s	0.266
z	z̥	0.14
ç	h	0.707
ç	k	0.138
ç	-	0.092
ç	ç	0.064
ŋ	ŋ	0.837
ŋ	-	0.109
ŋ	n	0.054
ɐ	ɾ	0.808
ɐ	ə_ɾ	0.1
ɐ	-	0.092
ə	ə	0.874
ə	-	0.08
ɡ	ɦ	1.0
ɣ	ɦ	1.0
ɪ	ə	0.665
ɪ	-	0.335
ʃ	s	0.559
ʃ	ʃ	0.373
ʃ	z	0.067
ʋ	ʋ	0.704
ʋ	v̥	0.268
ˈa	ˈɑ	0.861
ˈa	ˈɛː	0.053
ˈaɪ̯	ˈiə̯	0.855
ˈaɪ̯	ˈɛː	0.096
ˈaʊ̯	ˈoː	0.798
ˈaʊ̯	ˈuə̯	0.081
ˈaʊ̯	ˈɑ	0.08
ˈaː	ˈɒː	0.668
ˈaː	ˈɑ	0.332
ˈeː	ˈɛː	0.601
ˈeː	ˈeː	0.315
ˈeː	ˈiə̯	0.084
ˈiɛ̯	ˈeː	0.333
ˈiɛ̯	ˈæ	0.333
ˈiɛ̯	ˈi	0.27
ˈiɛ̯	ˈɔ	0.064
ˈiː	ˈi	0.72
ˈiː	ˈiə̯	0.138
ˈiː	ˈyː	0.071
ˈiː	ˈœ	0.071
ˈoː	ˈuə̯	1.0
ˈuə̯	ˈoː	0.46
ˈuə̯	ˈøː	0.325
ˈuə̯	ˈuə̯	0.215
ˈuː	ˈyː	0.616
ˈuː	ˈu	0.384
ˈuːə̯	ˈɔ	0.637
ˈuːə̯	ˈoː	0.237
ˈuːə̯	ˈøː	0.127
ˈyː	ˈiə̯	0.604
ˈyː	ˈyː	0.288
ˈyː	ˈoː	0.107
ˈyːœ̯	ˈoː	1.0
ˈø	ˈiə̯	0.73
ˈø	ˈæ	0.27
ˈøː	ˈuə̯	0.629
ˈøː	ˈoː	0.306
ˈøː	ˈøː	0.065
ˈœː	ˈoː	0.638
ˈœː	ˈɒː	0.362
ˈɒː	ˈɒː	1.0
ˈɔ	ˈɔ	0.506
ˈɔ	ˈu	0.383
ˈɔ	ˈoː	0.111
ˈɔː	ˈɒː	0.91
ˈɔː	ˈoː	0.09
ˈɛ	ˈæ	0.563
ˈɛ	ˈɛ	0.173
ˈɛ	ˈɪ	0.122
ˈɛ	ˈɑ	0.072
ˈɛ	ˈœ	0.07
ˈɛː	ˈæ	0.639
ˈɛː	ˈɛː	0.202
ˈɛː	ˈɑ	0.16
ˈɪ	ˈɪ	0.755
ˈɪ	ˈiə̯	0.115
ˈɪ	ˈɛ	0.09
ˈɪə̯	ˈeː	0.718
ˈɪə̯	ˈøː	0.282
ˈɪɛ̯	ˈeː	0.544
ˈɪɛ̯	ˈæ	0.373
ˈɪɛ̯	ˈiə̯	0.083
ˈʊ	ˈu	0.446
ˈʊ	ˈyː	0.187
ˈʊ	ˈoː	0.142
ˈʊ	ˈœ	0.126
ˈʊ	ˈɔ	0.1
ˈʏ	ˈœ	0.684
ˈʏ	ˈɪ	0.204
ˈʏ	ˈu	0.112
