Swabian	Swedish	probability
a	a	0.907
a	-	0.058
b	b	0.601
b	v	0.247
b	-	0.131
b̥͡f	p	1.0
d	d	0.642
d	-	0.14
d	tʰ	0.091
d	t	0.081
eə̯	ɔ	1.0
f	f	0.611
f	p	0.177
f	v	0.099
f	pː	0.067
h	h	0.863
h	-	0.137
i	ŋ	1.0
kʰ	kʰ	0.938
kʰ	ɕ	0.062
l	l	0.828
l	lː	0.07
m	m	0.664
m	mː	0.199
m	-	0.137
n	n	0.712
n	ʊ	0.124
n	-	0.117
s	s	0.528
s	t	0.223
s	ɧ	0.069
s	sː	0.053
t	-	0.333
t	d	0.333
t	n	0.333
x	k	0.637
x	-	0.22
x	ɡ	0.085
x	kː	0.058
ç	k	0.759
ç	s	0.166
ç	tː	0.075
ŋ	ŋː	0.63
ŋ	ŋ	0.195
ŋ	-	0.175
ɐ	ɛ	1.0
ə	a	1.0
ɡ	ɡ	0.503
ɡ	-	0.156
ɡ	j	0.118
ɡ	ŋ	0.071
ɡ	k	0.066
ɪ	ɪ	0.5
ɪ	ɵ	0.5
ʁ	r	0.919
ʃ	s	0.397
ʃ	ɧ	0.344
ʃ	s_k	0.233
ʋ	v	0.83
ʋ	-	0.17
ʌ	ɛ	0.654
ʌ	r	0.279
ʌ	e	0.066
ʕ	r	0.775
ʕ	-	0.09
ʕ	ɳ	0.079
ʦ	tʰ	0.627
ʦ	tː	0.23
ʦ	t	0.106
ˈa	ˈa	0.465
ˈa	ˈɑː	0.238
ˈa	ˈoː	0.149
ˈa	ˈɛ	0.057
ˈae̯	ˈɛ	0.286
ˈae̯	ˈiː	0.227
ˈae̯	ˈœ	0.226
ˈae̯	ˈɵ	0.111
ˈae̯	ˈeː	0.094
ˈae̯	ˈoː	0.057
ˈao̯	ˈʉː	0.577
ˈao̯	ˈøː	0.182
ˈao̯	ˈuː	0.087
ˈao̯	ˈœ	0.086
ˈao̯	ˈɵ	0.058
ˈaː	ˈɑː	0.364
ˈaː	ˈoː	0.27
ˈaː	ˈa_n	0.166
ˈaː	jː	0.133
ˈaː	ˈɛː	0.067
ˈe	ˈɪ	0.649
ˈe	ˈiː	0.155
ˈe	ˈɔ	0.087
ˈe	ˈæ	0.057
ˈe	ˈɛ	0.052
ˈeə̯	ʊ	0.605
ˈeə̯	ˈʉː	0.247
ˈeə̯	ˈøː	0.148
ˈeː	ˈœː	0.363
ˈeː	ˈɵ	0.197
ˈeː	ˈɪ	0.172
ˈeː	ˈeː	0.107
ˈeː	ˈɛ	0.106
ˈeː	ˈøː	0.055
ˈi	ˈɪ	0.264
ˈi	ˈœ	0.183
ˈi	ˈiː	0.115
ˈi	ˈɛ	0.114
ˈi	ˈeː	0.092
ˈi	j	0.072
ˈi	ˈɔ	0.063
ˈiə̯	ˈʉː	0.659
ˈiə̯	ˈyː	0.141
ˈiə̯	ˈœ	0.141
ˈiə̯	ˈøː	0.06
ˈiː	ˈyː	0.5
ˈiː	ˈʉː	0.38
ˈiː	ˈiː	0.12
ˈo	ˈɵ	0.414
ˈo	ˈʊ	0.284
ˈo	ˈoː	0.085
ˈo	ˈuː	0.07
ˈo	ˈœ	0.07
ˈo	ˈɔ	0.051
ˈoː	ˈoː	0.527
ˈoː	ˈøː	0.172
ˈoː	ˈɛː	0.166
ˈoː	ˈœː	0.091
ˈu	ˈʏ	0.557
ˈu	ˈœ	0.219
ˈu	ˈuː	0.132
ˈu	ˈɵ	0.093
ˈuə̯	ˈuː	0.734
ˈuə̯	ˈøː	0.266
ˈuː	ˈuː	0.666
ˈuː	ˈʉː	0.334
ˈɔ	ˈɔ	0.584
ˈɔ	ˈuː	0.173
ˈɔ	ˈʉː	0.173
ˈɔ	ˈœ	0.07
ˈɔe̯	ˈeː	0.52
ˈɔe̯	ˈɛ	0.226
ˈɔe̯	ˈɛː	0.148
ˈɔe̯	ˈoː	0.107
ˈɔə̯	ˈʊ	1.0
ˈɔː	ˈoː	0.566
ˈɔː	ˈa	0.295
ˈɔː	ˈɛː	0.139
ˈəi̯	ˈiː	0.674
ˈəi̯	ˈyː	0.195
ˈəi̯	ˈɛ	0.089
ˈɛ	ˈɛ	0.497
ˈɛ	ˈa	0.117
ˈɛ	ˈæː	0.115
ˈɛ	ˈɛː	0.097
ˈɛ	ˈɪ	0.062
ˈɛː	ˈeː	0.428
ˈɛː	ˈɛː	0.428
ˈɛː	j	0.145
ˈɪ	ˈɪ	0.702
ˈɪ	ˈɵ	0.133
ˈɪ	ˈœ	0.123
ˈʌ	ˈɛ	0.5
ˈʌ	ˈʏ	0.5
