Swabian	Swedish	probability
a	a	0.701
a	-	0.298
b	b	0.633
b	v	0.239
b	-	0.108
b̥͡f	p	0.473
d	d	0.565
d	-	0.236
d	t	0.102
d	tʰ	0.062
d	ɕ	0.024
d_ʌ	r	1.0
e	lː	0.436
e	-	0.04
f	f	0.616
f	p	0.163
f	v	0.154
f	-	0.051
f	pː	0.026
h	h	1.0
i	ŋ	0.473
j	-	1.0
kʰ	kʰ	0.616
kʰ	h	0.215
kʰ	ɕ	0.088
l	l	0.783
l	-	0.111
l	lː	0.068
l	nː	0.034
m	m	0.837
m	mː	0.125
m	-	0.033
n	n	0.649
n	-	0.271
n	ʊ	0.044
n	nː	0.033
p͡f	v	1.0
s	s	0.491
s	t	0.287
s	sː	0.066
s	ɧ	0.056
s	tː	0.042
s	d	0.03
s	-	0.029
t	d	0.231
t	n	0.231
t	-	0.144
x	ɡ	0.392
x	-	0.213
x	k	0.213
x_d	tː	1.0
ç	k	0.616
ç	s	0.187
ç	tː	0.187
ŋ	ŋː	0.844
ŋ	ŋ	0.123
ŋ_ɡ	kː	1.0
ɐ	ɛ	0.473
ə	a	1.0
ɡ	ɡ	0.477
ɡ	j	0.181
ɡ	-	0.097
ɡ	ɡː	0.078
ɡ	k	0.063
ɡ	ŋ	0.063
ɡ	rː	0.033
ɪ	ɪ	0.272
ɪ	ɵ	0.272
ʁ	r	0.909
ʁ	s	0.058
ʁ	-	0.039
ʃ	s	0.529
ʃ	s_k	0.309
ʃ	ɧ	0.105
ʃ	f	0.036
ʋ	v	0.65
ʋ	-	0.348
ʋ_ˈo	ˈɵ	1.0
ʌ	ɛ	0.624
ʌ	r	0.136
ʌ	-	0.11
ʌ	e	0.089
ʕ	r	0.43
ʕ	ɳ	0.204
ʕ	r_a	0.132
ʕ	ɖ	0.093
ʕ	-	0.065
ʕ	ɳː	0.039
ʦ	tʰ	0.479
ʦ	-	0.107
ʦ	t	0.107
ʦ	tː	0.107
ʦ	ɕ	0.107
ʦ	ʈː	0.079
ˈa	ˈa	0.533
ˈa	ˈɑː	0.232
ˈa	ˈɛ	0.067
ˈa	ˈʉː	0.052
ˈa	ˈoː	0.045
ˈa	ˈeː	0.044
ˈa	ˈɔ	0.032
ˈae̯	ˈeː	0.295
ˈae̯	ˈœ	0.257
ˈae̯	ˈiː	0.194
ˈae̯	ˈɛ	0.082
ˈae̯	ˈɵ	0.079
ˈao̯	ˈʉː	0.563
ˈao̯	ˈøː	0.222
ˈao̯	ˈɵ	0.102
ˈao̯	ˈuː	0.056
ˈao̯	ˈœ	0.043
ˈaː	ˈɑː	0.423
ˈaː	ˈa_n	0.191
ˈaː	ˈoː	0.191
ˈaː	jː	0.088
ˈaː	ˈɛː	0.061
ˈe	ˈɪ	0.454
ˈe	ˈiː	0.209
ˈe	ˈɛ	0.137
ˈe	ˈɔ	0.131
ˈeə̯	ʊ	0.245
ˈeə̯	ˈøː	0.213
ˈeə̯	ˈʉː	0.213
ˈeː	ˈœː	0.151
ˈeː	ˈɵ	0.151
ˈeː	ˈøː	0.143
ˈeː	ˈɛ	0.143
ˈeː	ˈɪ	0.093
ˈeː	ˈeː	0.062
ˈi	j	0.309
ˈi	ˈɪ	0.309
ˈi	ˈeː	0.112
ˈi	ˈyː	0.112
ˈi	ˈøː	0.08
ˈi	ˈiː	0.036
ˈi	ˈɛ	0.032
ˈiə̯	ˈʉː	0.478
ˈiə̯	ˈøː	0.275
ˈiə̯	ˈyː	0.149
ˈiə̯	ˈœ	0.036
ˈiː	ˈʉː	0.594
ˈiː	ˈyː	0.392
ˈo	ˈɵ	0.457
ˈo	ˈœ	0.123
ˈo	ˈɔ	0.123
ˈo	ˈʊ	0.087
ˈo	ˈoː	0.08
ˈo	ˈuː	0.06
ˈoː	ˈoː	0.496
ˈoː	ˈøː	0.398
ˈoː	ˈœː	0.075
ˈu	ˈʏ	0.44
ˈu	ˈuː	0.333
ˈu	ˈœ	0.116
ˈuə̯	ˈuː	1.0
ˈuː	ˈuː	0.195
ˈuː	ˈʉː	0.195
ˈɔ	ˈʉː	0.407
ˈɔ	ˈɔ	0.308
ˈɔ	ˈuː	0.138
ˈɔ	ˈœ	0.054
ˈɔe̯	ˈeː	0.47
ˈɔe̯	ˈeː_n	0.296
ˈɔe̯	ˈoː	0.106
ˈɔe̯	ˈɛː	0.072
ˈɔə̯	ˈʊ	1.0
ˈɔː	ˈoː	0.556
ˈɔː	ˈa	0.359
ˈɔː	ˈɛː	0.054
ˈəi̯	ˈiː	0.643
ˈəi̯	ˈyː	0.211
ˈəi̯	ˈɛ	0.09
ˈəi̯	ˈʏ	0.052
ˈɛ	ˈɛ	0.35
ˈɛ	ˈɛː	0.196
ˈɛ	ˈæː	0.113
ˈɛ	ˈa	0.112
ˈɛ	ˈøː	0.098
ˈɛ	ˈʏ	0.074
ˈɛ	ˈuː	0.031
ˈɛː	ˈeː	0.437
ˈɛː	ˈɛː	0.331
ˈɛː	j	0.219
ˈɪ	ˈɪ	0.407
ˈɪ	ˈœ	0.268
ˈɪ	ˈɵ	0.158
ˈɪ	ˈeː	0.058
ˈʌ	ˈɛ	0.312
ˈʌ	ˈʏ	0.148
